Time(s) 	 Volt (v) 
0.00000 	 3.06776 
0.05000 	 3.06647 
0.10000 	 3.06647 
0.15000 	 3.06776 
0.20000 	 3.06776 
0.25000 	 3.06647 
0.30000 	 3.06647 
0.35000 	 3.06647 
0.40000 	 3.06647 
0.45000 	 3.06776 
0.50000 	 3.06647 
0.55000 	 3.06647 
0.60000 	 3.06647 
0.65000 	 3.06647 
0.70000 	 3.06776 
0.75000 	 3.06776 
0.80000 	 3.06647 
0.85000 	 3.06647 
0.90000 	 3.06776 
0.95000 	 3.06647 
1.00000 	 3.06776 
1.05000 	 3.06776 
1.10000 	 3.06647 
1.15000 	 3.06647 
1.20000 	 3.06776 
1.25000 	 3.06776 
1.30000 	 3.06647 
1.35000 	 3.06647 
1.40000 	 3.06776 
1.45000 	 3.06776 
1.50000 	 3.06776 
1.55000 	 3.06647 
1.60000 	 3.06647 
1.65000 	 3.06647 
1.70000 	 3.06647 
1.75000 	 3.06647 
1.80000 	 3.06647 
1.85000 	 3.06647 
1.90000 	 3.06647 
1.95000 	 3.06647 
2.00000 	 3.06647 
2.05000 	 3.06647 
2.10000 	 3.06647 
2.15000 	 3.06647 
2.20000 	 3.06647 
2.25000 	 3.06776 
2.30000 	 3.06647 
2.35000 	 3.06776 
2.40000 	 3.06647 
2.45000 	 3.06776 
2.50000 	 3.06647 
2.55000 	 3.06647 
2.60000 	 3.06647 
2.65000 	 3.06647 
2.70000 	 3.06647 
2.75000 	 3.06647 
2.80000 	 3.06647 
2.85000 	 3.06647 
2.90000 	 3.06647 
2.95000 	 3.06647 
3.00000 	 3.06647 
3.05000 	 3.06647 
3.10000 	 3.06647 
3.15000 	 3.06647 
3.20000 	 3.06647 
3.25000 	 3.06647 
3.30000 	 3.06647 
3.35000 	 3.06647 
3.40000 	 3.06647 
3.45000 	 3.06647 
3.50000 	 3.06647 
3.55000 	 3.06647 
3.60000 	 3.06647 
3.65000 	 3.06647 
3.70000 	 3.06647 
3.75000 	 3.06647 
3.80000 	 3.06647 
3.85000 	 3.06647 
3.90000 	 3.06647 
3.95000 	 3.06647 
4.00000 	 3.06647 
4.05000 	 3.06647 
4.10000 	 3.06647 
4.15000 	 3.06776 
4.20000 	 3.06647 
4.25000 	 3.06647 
4.30000 	 3.06647 
4.35000 	 3.06647 
4.40000 	 3.06647 
4.45000 	 3.06776 
4.50000 	 3.06647 
4.55000 	 3.06647 
4.60000 	 3.06647 
4.65000 	 3.06647 
4.70000 	 3.06776 
4.75000 	 3.06647 
4.80000 	 3.06647 
4.85000 	 3.06647 
4.90000 	 3.06647 
4.95000 	 3.06647 
