Times (s) 	 Angular Position (degrees) 
0.000000 	 -93.965396 
0.005000 	 -93.989479 
0.010000 	 -93.917230 
0.015000 	 -93.941313 
0.020000 	 -93.941313 
0.025000 	 -93.917230 
0.030000 	 -93.820897 
0.035000 	 -93.917230 
0.040000 	 -93.869064 
0.045000 	 -93.893147 
0.050000 	 -93.917230 
0.055000 	 -93.941313 
0.060000 	 -93.965396 
0.065000 	 -93.965396 
0.070000 	 -93.965396 
0.075000 	 -94.013563 
0.080000 	 -94.061729 
0.085000 	 -93.989479 
0.090000 	 -94.133978 
0.095000 	 -94.133978 
0.100000 	 -94.037646 
0.105000 	 -94.109895 
0.110000 	 -94.061729 
0.115000 	 -94.061729 
0.120000 	 -94.037646 
0.125000 	 -93.965396 
0.130000 	 -93.965396 
0.135000 	 -93.965396 
0.140000 	 -93.965396 
0.145000 	 -93.965396 
0.150000 	 -93.965396 
0.155000 	 -93.965396 
0.160000 	 -93.965396 
0.165000 	 -93.989479 
0.170000 	 -93.917230 
0.175000 	 -93.989479 
0.180000 	 -93.989479 
0.185000 	 -93.941313 
0.190000 	 -93.893147 
0.195000 	 -93.989479 
0.200000 	 -93.965396 
0.205000 	 -94.037646 
0.210000 	 -93.965396 
0.215000 	 -94.013563 
0.220000 	 -93.965396 
0.225000 	 -94.061729 
0.230000 	 -94.085812 
0.235000 	 -93.941313 
0.240000 	 -93.965396 
0.245000 	 -93.989479 
0.250000 	 -93.989479 
0.255000 	 -93.893147 
0.260000 	 -93.965396 
0.265000 	 -93.989479 
0.270000 	 -93.965396 
0.275000 	 -93.917230 
0.280000 	 -93.869064 
0.285000 	 -93.820897 
0.290000 	 -93.844981 
0.295000 	 -93.820897 
0.300000 	 -93.820897 
0.305000 	 -93.820897 
0.310000 	 -93.869064 
0.315000 	 -93.820897 
0.320000 	 -93.820897 
0.325000 	 -93.844981 
0.330000 	 -93.820897 
0.335000 	 -93.844981 
0.340000 	 -93.844981 
0.345000 	 -93.796814 
0.350000 	 -93.917230 
0.355000 	 -93.893147 
0.360000 	 -93.941313 
0.365000 	 -93.941313 
0.370000 	 -93.965396 
0.375000 	 -94.037646 
0.380000 	 -93.893147 
0.385000 	 -93.965396 
0.390000 	 -93.965396 
0.395000 	 -93.917230 
0.400000 	 -93.893147 
