times (s) 	 Angular position (degrees) 
0.000000 	 -82.689552 
0.005000 	 -82.689552 
0.010000 	 -82.689552 
0.015000 	 -82.689552 
0.020000 	 -82.689552 
0.025000 	 -82.689552 
0.030000 	 -82.689552 
0.035000 	 -82.689552 
0.040000 	 -82.689552 
0.045000 	 -82.689552 
0.050000 	 -82.689552 
0.055000 	 -82.689552 
0.060000 	 -82.689552 
0.065000 	 -82.689552 
0.070000 	 -82.689552 
0.075000 	 -82.689552 
0.080000 	 -82.689552 
0.085000 	 -82.689552 
0.090000 	 -82.689552 
0.095000 	 -82.689552 
0.100000 	 -82.689552 
0.105000 	 -82.689552 
0.110000 	 -82.689552 
0.115000 	 -82.689552 
0.120000 	 -82.773085 
0.125000 	 -82.689552 
0.130000 	 -82.689552 
0.135000 	 -82.773085 
0.140000 	 -82.689552 
0.145000 	 -82.689552 
0.150000 	 -82.689552 
0.155000 	 -82.689552 
0.160000 	 -82.689552 
0.165000 	 -82.773085 
0.170000 	 -82.689552 
0.175000 	 -82.689552 
0.180000 	 -82.689552 
0.185000 	 -82.689552 
0.190000 	 -82.689552 
0.195000 	 -82.689552 
0.200000 	 -82.689552 
0.205000 	 -82.689552 
0.210000 	 -82.689552 
0.215000 	 -82.689552 
0.220000 	 -82.689552 
0.225000 	 -82.689552 
0.230000 	 -82.689552 
0.235000 	 -82.689552 
0.240000 	 -82.689552 
0.245000 	 -82.689552 
0.250000 	 -82.606018 
0.255000 	 -82.689552 
0.260000 	 -82.689552 
0.265000 	 -82.689552 
0.270000 	 -82.689552 
0.275000 	 -82.606018 
0.280000 	 -82.689552 
0.285000 	 -82.606018 
0.290000 	 -82.606018 
0.295000 	 -82.689552 
0.300000 	 -82.689552 
0.305000 	 -82.606018 
0.310000 	 -82.606018 
0.315000 	 -82.689552 
0.320000 	 -82.606018 
0.325000 	 -82.606018 
0.330000 	 -82.606018 
0.335000 	 -82.606018 
0.340000 	 -82.606018 
0.345000 	 -82.606018 
0.350000 	 -82.606018 
0.355000 	 -82.689552 
0.360000 	 -82.606018 
0.365000 	 -82.689552 
0.370000 	 -82.689552 
0.375000 	 -82.606018 
0.380000 	 -82.606018 
0.385000 	 -82.689552 
0.390000 	 -82.689552 
0.395000 	 -82.689552 
0.400000 	 -82.689552 
0.405000 	 -82.606018 
0.410000 	 -82.689552 
0.415000 	 -82.689552 
0.420000 	 -82.689552 
0.425000 	 -82.689552 
0.430000 	 -82.689552 
0.435000 	 -82.689552 
0.440000 	 -82.689552 
0.445000 	 -82.689552 
0.450000 	 -82.689552 
0.455000 	 -82.689552 
0.460000 	 -82.689552 
0.465000 	 -82.689552 
0.470000 	 -82.689552 
0.475000 	 -82.689552 
0.480000 	 -82.689552 
0.485000 	 -82.689552 
0.490000 	 -82.689552 
0.495000 	 -82.689552 
0.500000 	 -82.773085 
0.505000 	 -82.773085 
0.510000 	 -82.689552 
0.515000 	 -82.773085 
0.520000 	 -82.689552 
0.525000 	 -82.689552 
0.530000 	 -82.689552 
0.535000 	 -82.689552 
0.540000 	 -82.689552 
0.545000 	 -82.689552 
0.550000 	 -82.773085 
0.555000 	 -82.689552 
0.560000 	 -82.689552 
0.565000 	 -82.689552 
0.570000 	 -82.773085 
0.575000 	 -82.689552 
0.580000 	 -82.773085 
0.585000 	 -82.773085 
0.590000 	 -82.773085 
0.595000 	 -82.773085 
0.600000 	 -82.773085 
0.605000 	 -82.773085 
0.610000 	 -82.773085 
0.615000 	 -82.773085 
0.620000 	 -82.773085 
0.625000 	 -82.773085 
0.630000 	 -82.773085 
0.635000 	 -82.773085 
0.640000 	 -82.773085 
0.645000 	 -82.773085 
0.650000 	 -82.773085 
0.655000 	 -82.773085 
0.660000 	 -82.773085 
0.665000 	 -82.773085 
0.670000 	 -82.773085 
0.675000 	 -82.773085 
0.680000 	 -82.773085 
0.685000 	 -82.773085 
0.690000 	 -82.773085 
0.695000 	 -82.773085 
0.700000 	 -82.773085 
0.705000 	 -82.773085 
0.710000 	 -82.773085 
0.715000 	 -82.773085 
0.720000 	 -82.773085 
0.725000 	 -82.773085 
0.730000 	 -82.773085 
0.735000 	 -82.773085 
0.740000 	 -82.856619 
0.745000 	 -82.856619 
0.750000 	 -82.856619 
0.755000 	 -82.773085 
0.760000 	 -82.856619 
0.765000 	 -82.856619 
0.770000 	 -82.856619 
0.775000 	 -82.856619 
0.780000 	 -82.856619 
0.785000 	 -82.940152 
0.790000 	 -82.940152 
0.795000 	 -82.940152 
0.800000 	 -82.940152 
0.805000 	 -82.940152 
0.810000 	 -82.940152 
0.815000 	 -83.023686 
0.820000 	 -83.023686 
0.825000 	 -83.023686 
0.830000 	 -83.023686 
0.835000 	 -83.023686 
0.840000 	 -83.023686 
0.845000 	 -83.023686 
0.850000 	 -83.023686 
0.855000 	 -83.023686 
0.860000 	 -83.023686 
0.865000 	 -83.023686 
0.870000 	 -83.023686 
0.875000 	 -83.023686 
0.880000 	 -83.023686 
0.885000 	 -83.023686 
0.890000 	 -83.023686 
0.895000 	 -83.023686 
0.900000 	 -83.023686 
0.905000 	 -83.023686 
0.910000 	 -83.023686 
0.915000 	 -82.940152 
0.920000 	 -82.940152 
0.925000 	 -82.940152 
0.930000 	 -82.856619 
0.935000 	 -82.856619 
0.940000 	 -82.773085 
0.945000 	 -82.773085 
0.950000 	 -82.773085 
0.955000 	 -82.689552 
0.960000 	 -82.606018 
0.965000 	 -82.606018 
0.970000 	 -82.606018 
0.975000 	 -82.522485 
0.980000 	 -82.522485 
0.985000 	 -82.438951 
0.990000 	 -82.438951 
0.995000 	 -82.355417 
1.000000 	 -82.188350 
1.005000 	 -82.104817 
1.010000 	 -82.021283 
1.015000 	 -81.770683 
1.020000 	 -81.687149 
1.025000 	 -81.436548 
1.030000 	 -81.269481 
1.035000 	 -80.935347 
1.040000 	 -80.601213 
1.045000 	 -80.434146 
1.050000 	 -80.267079 
1.055000 	 -79.932944 
1.060000 	 -79.598810 
1.065000 	 -79.264676 
1.070000 	 -78.930542 
1.075000 	 -78.512874 
1.080000 	 -78.262273 
