Time(s) 	 Volt (v) 
0.00000 	 2.45476 
0.05000 	 2.45476 
0.10000 	 2.45476 
0.15000 	 2.45476 
0.20000 	 2.45476 
0.25000 	 2.45476 
0.30000 	 2.45476 
0.35000 	 2.45476 
0.40000 	 2.45476 
0.45000 	 2.45476 
0.50000 	 2.45476 
0.55000 	 2.45476 
0.60000 	 2.45476 
0.65000 	 2.45476 
0.70000 	 2.45476 
0.75000 	 2.45476 
0.80000 	 2.45476 
0.85000 	 2.45476 
0.90000 	 2.45476 
0.95000 	 2.45476 
1.00000 	 2.45348 
1.05000 	 2.45476 
1.10000 	 2.45476 
1.15000 	 2.45476 
1.20000 	 2.45476 
1.25000 	 2.45476 
1.30000 	 2.45476 
1.35000 	 2.45476 
1.40000 	 2.45476 
1.45000 	 2.45476 
1.50000 	 2.45476 
1.55000 	 2.45476 
1.60000 	 2.45476 
1.65000 	 2.45476 
1.70000 	 2.45605 
1.75000 	 2.45476 
1.80000 	 2.45605 
1.85000 	 2.45476 
1.90000 	 2.45605 
1.95000 	 2.45476 
2.00000 	 2.45476 
2.05000 	 2.45476 
2.10000 	 2.45476 
2.15000 	 2.45476 
2.20000 	 2.45476 
2.25000 	 2.45476 
2.30000 	 2.45476 
2.35000 	 2.45476 
2.40000 	 2.45476 
2.45000 	 2.45476 
2.50000 	 2.45605 
2.55000 	 2.45476 
2.60000 	 2.45605 
2.65000 	 2.45476 
2.70000 	 2.45605 
2.75000 	 2.45476 
2.80000 	 2.45605 
2.85000 	 2.45476 
2.90000 	 2.45476 
2.95000 	 2.45476 
3.00000 	 2.45605 
3.05000 	 2.45476 
3.10000 	 2.45476 
3.15000 	 2.45476 
3.20000 	 2.45605 
3.25000 	 2.45476 
3.30000 	 2.45476 
3.35000 	 2.45605 
3.40000 	 2.45605 
3.45000 	 2.45605 
3.50000 	 2.45605 
3.55000 	 2.45605 
3.60000 	 2.45605 
3.65000 	 2.45605 
3.70000 	 2.45605 
3.75000 	 2.45605 
3.80000 	 2.45605 
3.85000 	 2.45605 
3.90000 	 2.45605 
3.95000 	 2.45605 
4.00000 	 2.45476 
4.05000 	 2.45605 
4.10000 	 2.45605 
4.15000 	 2.45605 
4.20000 	 2.45863 
4.25000 	 2.45992 
4.30000 	 2.45992 
4.35000 	 2.45734 
4.40000 	 2.45605 
4.45000 	 2.45605 
4.50000 	 2.45605 
4.55000 	 2.45476 
4.60000 	 2.45605 
4.65000 	 2.45476 
4.70000 	 2.45605 
4.75000 	 2.45605 
4.80000 	 2.45605 
4.85000 	 2.45605 
4.90000 	 2.45605 
4.95000 	 2.45605 
