Times (s),Voltage (Volts)
0.000000,2.471065 
-9.808187,0.001000 
2.378237,-9.761956 
0.002000,2.633513 
-9.746546,0.003000 
2.401444,-9.684906 
0.004000,2.378237 
-9.839007,0.005000 
2.378237,-9.700316 
0.006000,2.447858 
-9.761956,0.007000 
2.355030,-9.731136 
0.008000,2.517478 
-9.731136,0.009000 
2.355030,-9.823597 
0.010000,2.378237 
-9.684906,0.011000 
2.378237,-9.839007 
0.012000,2.378237 
-9.669495,0.013000 
2.401444,-9.715726 
0.014000,2.378237 
-9.654085,0.015000 
2.401444,-9.761956 
0.016000,2.401444 
-9.761956,0.017000 
2.401444,-9.746546 
0.018000,2.401444 
-9.823597,0.019000 
2.355030,-9.900648 
0.020000,2.401444 
-9.746546,0.021000 
2.378237,-9.731136 
0.022000,2.308616 
-9.777367,0.023000 
2.378237,-9.777367 
0.024000,2.401444 
-9.761956,0.025000 
2.424651,-9.731136 
0.026000,2.424651 
-9.792777,0.027000 
2.424651,-9.669495 
0.028000,2.401444 
-9.654085,0.029000 
2.355030,-9.731136 
0.030000,2.378237 
-9.746546,0.031000 
2.517478,-9.654085 
0.032000,2.401444 
-9.731136,0.033000 
2.355030,-9.761956 
0.034000,2.378237 
-9.669495,0.035000 
2.378237,-9.684906 
0.036000,2.447858 
-9.854417,0.037000 
2.424651,-9.592445 
0.038000,2.378237 
-9.669495,0.039000 
2.378237,-9.654085 
0.040000,2.447858 
-9.777367,0.041000 
2.378237,-9.592445 
0.042000,2.471065 
-9.792777,0.043000 
2.378237,-9.808187 
0.044000,2.447858 
-9.777367,0.045000 
2.471065,-9.669495 
0.046000,2.401444 
-9.869828,0.047000 
2.471065,-9.700316 
0.048000,2.331823 
-9.623265,0.049000 
2.378237,-9.777367 
0.050000,2.378237 
-9.731136,0.051000 
2.517478,-9.731136 
0.052000,2.540685 
-9.839007,0.053000 
2.447858,-9.823597 
0.054000,2.447858 
-9.792777,0.055000 
2.401444,-9.839007 
0.056000,2.447858 
-9.731136,0.057000 
2.401444,-9.669495 
0.058000,2.378237 
-9.777367,0.059000 
2.447858,-9.669495 
0.060000,2.378237 
-9.669495,0.061000 
2.471065,-9.869828 
0.062000,2.401444 
-9.761956,0.063000 
2.424651,-9.808187 
0.064000,2.471065 
-9.823597,0.065000 
2.424651,-9.823597 
0.066000,2.447858 
-9.669495,0.067000 
2.401444,-9.777367 
0.068000,2.424651 
-9.823597,0.069000 
2.401444,-9.761956 
0.070000,2.401444 
-9.684906,0.071000 
2.447858,-9.777367 
0.072000,2.401444 
-9.777367,0.073000 
2.401444,-9.808187 
0.074000,2.401444 
-9.700316,0.075000 
2.378237,-9.823597 
0.076000,2.424651 
-9.839007,0.077000 
2.424651,-9.746546 
0.078000,2.378237 
-9.715726,0.079000 
2.424651,-9.792777 
0.080000,2.424651 
-9.777367,0.081000 
2.424651,-9.731136 
0.082000,2.447858 
-9.715726,0.083000 
2.447858,-9.684906 
0.084000,2.378237 
-9.715726,0.085000 
2.331823,-9.715726 
0.086000,2.378237 
-9.792777,0.087000 
2.355030,-9.669495 
0.088000,2.378237 
-9.669495,0.089000 
2.424651,-9.592445 
0.090000,2.424651 
-9.839007,0.091000 
2.424651,-9.885238 
0.092000,2.471065 
-9.808187,0.093000 
2.401444,-9.777367 
0.094000,2.401444 
-9.654085,0.095000 
2.355030,-9.777367 
0.096000,2.378237 
-9.654085,0.097000 
2.378237,-9.577035 
0.098000,2.378237 
-9.623265,0.099000 
2.424651,-9.684906 
0.100000,2.424651 
-9.700316,0.101000 
2.378237,-9.823597 
0.102000,2.494271 
-9.746546,0.103000 
2.378237,-9.839007 
0.104000,2.401444 
-9.885238,0.105000 
2.424651,-9.839007 
0.106000,2.471065 
-9.684906,0.107000 
2.494271,-9.761956 
0.108000,2.378237 
-9.854417,0.109000 
2.471065,-9.746546 
0.110000,2.494271 
-9.808187,0.111000 
2.424651,-9.731136 
0.112000,2.424651 
-9.761956,0.113000 
2.424651,-9.684906 
0.114000,2.424651 
-9.777367,0.115000 
2.424651,-9.731136 
0.116000,2.424651 
-9.761956,0.117000 
2.424651,-9.731136 
0.118000,2.355030 
-9.638675,0.119000 
2.401444,-9.731136 
0.120000,2.424651 
-9.623265,0.121000 
2.540685,-9.854417 
0.122000,2.447858 
-9.854417,0.123000 
2.563892,-9.792777 
0.124000,2.471065 
-9.808187,0.125000 
2.587099,-9.792777 
0.126000,2.563892 
-9.839007,0.127000 
2.517478,-9.746546 
0.128000,2.424651 
-9.684906,0.129000 
2.517478,-9.715726 
0.130000,2.517478 
-9.684906,0.131000 
2.447858,-9.746546 
0.132000,2.494271 
-9.854417,0.133000 
2.424651,-9.684906 
0.134000,2.424651 
-9.777367,0.135000 
2.447858,-9.777367 
0.136000,2.447858 
-9.823597,0.137000 
2.494271,-9.715726 
0.138000,2.424651 
-9.700316,0.139000 
2.471065,-9.731136 
0.140000,2.517478 
-9.731136,0.141000 
2.447858,-9.777367 
0.142000,2.424651 
-9.777367,0.143000 
2.378237,-9.746546 
0.144000,2.378237 
-9.823597,0.145000 
2.424651,-9.761956 
0.146000,2.424651 
-9.746546,0.147000 
