Times (s)	Voltage (Volts)
0.000000	1.865669
0.005000	1.865019
0.010000	1.866967
0.015000	1.865344
0.020000	1.866967
0.025000	1.864370
0.030000	1.865669
0.035000	1.865019
0.040000	1.865344
0.045000	1.864370
0.050000	1.862748
0.055000	1.865344
0.060000	1.865019
0.065000	1.865344
0.070000	1.861774
0.075000	1.864370
0.080000	1.865019
0.085000	1.866318
0.090000	1.865993
0.095000	1.864370
0.100000	1.863072
0.105000	1.864370
0.110000	1.863721
0.115000	1.864695
0.120000	1.862423
0.125000	1.866642
0.130000	1.864046
0.135000	1.864046
0.140000	1.864695
0.145000	1.862748
0.150000	1.864695
0.155000	1.865344
0.160000	1.863721
0.165000	1.864695
0.170000	1.865019
0.175000	1.862423
0.180000	1.863397
0.185000	1.865019
0.190000	1.863721
0.195000	1.863397
0.200000	1.863397
0.205000	1.863072
0.210000	1.864695
0.215000	1.865019
0.220000	1.865019
0.225000	1.862423
0.230000	1.864370
0.235000	1.864046
0.240000	1.864046
0.245000	1.862098
0.250000	1.865019
0.255000	1.865019
0.260000	1.862748
0.265000	1.864695
0.270000	1.864370
0.275000	1.865344
0.280000	1.864046
0.285000	1.864695
0.290000	1.865019
0.295000	1.862423
0.300000	1.865019
0.305000	1.864046
0.310000	1.863072
0.315000	1.864046
0.320000	1.863072
0.325000	1.864695
0.330000	1.864046
0.335000	1.863397
0.340000	1.865019
0.345000	1.862423
0.350000	1.864046
0.355000	1.863721
0.360000	1.864046
0.365000	1.865669
0.370000	1.865993
0.375000	1.866642
0.380000	1.865344
0.385000	1.863397
0.390000	1.863072
0.395000	1.861125
0.400000	1.865669
0.405000	1.865669
0.410000	1.865019
0.415000	1.864046
0.420000	1.866318
0.425000	1.865019
0.430000	1.865993
0.435000	1.864695
0.440000	1.864370
0.445000	1.865019
0.450000	1.862423
0.455000	1.864046
0.460000	1.865669
0.465000	1.864370
0.470000	1.863397
0.475000	1.865669
0.480000	1.861774
0.485000	1.864695
0.490000	1.863397
0.495000	1.865019
0.500000	1.865344
0.505000	1.864046
0.510000	1.865344
0.515000	1.865993
0.520000	1.864695
0.525000	1.865993
0.530000	1.865993
0.535000	1.865344
0.540000	1.865669
0.545000	1.865344
0.550000	1.863721
0.555000	1.865344
0.560000	1.865993
0.565000	1.865993
0.570000	1.864370
0.575000	1.865993
0.580000	1.865344
0.585000	1.864695
0.590000	1.865669
0.595000	1.864370
0.600000	1.864695
0.605000	1.865993
0.610000	1.864695
0.615000	1.865344
0.620000	1.865993
0.625000	1.866318
0.630000	1.865993
0.635000	1.866318
0.640000	1.865993
0.645000	1.866318
0.650000	1.865993
0.655000	1.865993
0.660000	1.865993
0.665000	1.865019
0.670000	1.864695
0.675000	1.865344
0.680000	1.865993
0.685000	1.865344
0.690000	1.865344
0.695000	1.864046
0.700000	1.864370
0.705000	1.865669
0.710000	1.865669
0.715000	1.865344
0.720000	1.865019
0.725000	1.865344
0.730000	1.865344
0.735000	1.864695
0.740000	1.864695
0.745000	1.864370
0.750000	1.864695
0.755000	1.865019
0.760000	1.863721
0.765000	1.865019
0.770000	1.864695
0.775000	1.864046
0.780000	1.864695
0.785000	1.865019
0.790000	1.866642
0.795000	1.865344
0.800000	1.865344
0.805000	1.865669
0.810000	1.865019
0.815000	1.865019
0.820000	1.865344
0.825000	1.862098
0.830000	1.864046
0.835000	1.865669
0.840000	1.862748
