Times (s),Voltage (Volts)
0.000000,1.921081 
0.050000,1.922057 
0.100000,1.921732 
0.150000,1.923033 
0.200000,1.919780 
0.250000,1.918479 
0.300000,1.920430 
0.350000,1.920756 
0.400000,1.921732 
0.450000,1.921406 
0.500000,1.920756 
0.550000,1.921081 
0.600000,1.924009 
0.650000,1.919129 
0.700000,1.920430 
0.750000,1.922057 
0.800000,1.920105 
0.850000,1.922057 
0.900000,1.919129 
0.950000,1.923033 
1.000000,1.926937 
1.050000,1.921081 
1.100000,1.917503 
1.150000,1.920756 
1.200000,1.920105 
1.250000,1.920430 
1.300000,1.918479 
1.350000,1.920430 
1.400000,1.921732 
1.450000,1.921732 
1.500000,1.920756 
1.550000,1.922382 
1.600000,1.920430 
1.650000,1.920430 
1.700000,1.921732 
1.750000,1.919780 
1.800000,1.922382 
1.850000,1.923033 
1.900000,1.921732 
1.950000,1.923033 
2.000000,1.922382 
2.050000,1.918479 
2.100000,1.922382 
2.150000,1.923358 
2.200000,1.921081 
2.250000,1.919129 
2.300000,1.919129 
2.350000,1.919780 
2.400000,1.921081 
2.450000,1.919455 
2.500000,1.919455 
2.550000,1.917177 
2.600000,1.922708 
2.650000,1.923358 
2.700000,1.920105 
2.750000,1.923358 
2.800000,1.919455 
2.850000,1.922382 
2.900000,1.921732 
2.950000,1.922382 
3.000000,1.920756 
3.050000,1.922708 
3.100000,1.921732 
3.150000,1.920756 
3.200000,1.919129 
3.250000,1.921406 
3.300000,1.920105 
3.350000,1.919780 
3.400000,1.921081 
3.450000,1.919455 
3.500000,1.920105 
3.550000,1.921406 
3.600000,1.920430 
3.650000,1.920105 
3.700000,1.920105 
3.750000,1.922382 
3.800000,1.917177 
3.850000,1.922057 
3.900000,1.922708 
3.950000,1.919129 
4.000000,1.921406 
4.050000,1.922382 
4.100000,1.920430 
4.150000,1.922382 
4.200000,1.921081 
4.250000,1.919780 
4.300000,1.920105 
4.350000,1.918804 
4.400000,1.923358 
4.450000,1.921406 
4.500000,1.921406 
4.550000,1.920105 
4.600000,1.921081 
4.650000,1.920430 
4.700000,1.919455 
4.750000,1.921406 
4.800000,1.923684 
4.850000,1.922057 
4.900000,1.921081 
4.950000,1.920756 
5.000000,1.920756 
5.050000,1.923033 
5.100000,1.919780 
5.150000,1.921081 
5.200000,1.922057 
5.250000,1.920430 
5.300000,1.921406 
5.350000,1.919129 
5.400000,1.922057 
5.450000,1.919780 
5.500000,1.922382 
5.550000,1.923033 
5.600000,1.920756 
5.650000,1.922057 
5.700000,1.921732 
5.750000,1.919455 
5.800000,1.920430 
5.850000,1.920105 
5.900000,1.922057 
5.950000,1.920105 
6.000000,1.923033 
6.050000,1.921732 
6.100000,1.922708 
6.150000,1.920105 
6.200000,1.922708 
6.250000,1.920756 
6.300000,1.919129 
6.350000,1.920105 
6.400000,1.920756 
6.450000,1.920756 
6.500000,1.921081 
6.550000,1.918479 
6.600000,1.919129 
6.650000,1.922708 
6.700000,1.920430 
6.750000,1.921732 
6.800000,1.919129 
6.850000,1.921406 
6.900000,1.921732 
6.950000,1.923358 
7.000000,1.919455 
7.050000,1.920756 
7.100000,1.919129 
7.150000,1.919129 
7.200000,1.920105 
7.250000,1.919455 
7.300000,1.918153 
7.350000,1.919780 
7.400000,1.921081 
7.450000,1.918479 
7.500000,1.920430 
7.550000,1.922057 
7.600000,1.920430 
7.650000,1.920756 
7.700000,1.924985 
7.750000,1.921081 
7.800000,1.921081 
7.850000,1.921081 
7.900000,1.920756 
7.950000,1.924334 
8.000000,1.922057 
8.050000,1.923033 
8.100000,1.921081 
8.150000,1.920756 
8.200000,1.922382 
8.250000,1.923684 
8.300000,1.920756 
8.350000,1.919129 
8.400000,1.918804 
8.450000,1.922708 
8.500000,1.920756 
8.550000,1.920105 
8.600000,1.919455 
8.650000,1.921406 
8.700000,1.920105 
8.750000,1.924985 
8.800000,1.919455 
8.850000,1.921732 
8.900000,1.919129 
8.950000,1.920430 
9.000000,1.921732 
9.050000,1.921732 
9.100000,1.920430 
9.150000,1.920756 
9.200000,1.921406 
9.250000,1.922382 
9.300000,1.922382 
9.350000,1.919780 
9.400000,1.919129 
9.450000,1.921081 
9.500000,1.921732 
9.550000,1.920430 
9.600000,1.919129 
9.650000,1.919455 
9.700000,1.922708 
9.750000,1.919780 
9.800000,1.921732 
9.850000,1.920756 
9.900000,1.923358 
9.950000,1.921081 
10.000000,1.919455 
10.050000,1.922382 
10.100000,1.919780 
10.150000,1.922057 
10.200000,1.919455 
10.250000,1.921732 
10.300000,1.921732 
10.350000,1.922382 
10.400000,1.920430 
10.450000,1.921406 
10.500000,1.922708 
10.550000,1.921406 
10.600000,1.921081 
10.650000,1.920756 
10.700000,1.921732 
10.750000,1.921732 
10.800000,1.919455 
10.850000,1.921081 
10.900000,1.921081 
10.950000,1.920430 
11.000000,1.919129 
11.050000,1.919455 
11.100000,1.920756 
11.150000,1.920430 
11.200000,1.923033 
11.250000,1.918804 
11.300000,1.919129 
11.350000,1.919129 
11.400000,1.921732 
11.450000,1.918479 
11.500000,1.919455 
11.550000,1.922708 
11.600000,1.923033 
11.650000,1.922057 
11.700000,1.922057 
11.750000,1.922382 
11.800000,1.920756 
11.850000,1.922057 
11.900000,1.918804 
11.950000,1.921732 
12.000000,1.917177 
12.050000,1.920105 
12.100000,1.921406 
12.150000,1.921081 
12.200000,1.921406 
12.250000,1.919129 
12.300000,1.920430 
12.350000,1.922057 
12.400000,1.919129 
12.450000,1.921081 
12.500000,1.921406 
12.550000,1.920756 
12.600000,1.921406 
12.650000,1.921732 
12.700000,1.920105 
12.750000,1.918804 
12.800000,1.920105 
12.850000,1.922382 
12.900000,1.919780 
12.950000,1.920756 
13.000000,1.919455 
13.050000,1.918804 
13.100000,1.918804 
13.150000,1.919780 
13.200000,1.921081 
13.250000,1.920430 
13.300000,1.919780 
13.350000,1.920756 
13.400000,1.920105 
13.450000,1.921732 
13.500000,1.922708 
13.550000,1.921406 
13.600000,1.918479 
13.650000,1.920756 
13.700000,1.920756 
13.750000,1.923684 
13.800000,1.920430 
13.850000,1.920756 
13.900000,1.918479 
13.950000,1.920105 
14.000000,1.918479 
14.050000,1.919129 
14.100000,1.923033 
14.150000,1.920756 
14.200000,1.921081 
14.250000,1.921732 
14.300000,1.919129 
14.350000,1.920105 
14.400000,1.918479 
14.450000,1.920756 
14.500000,1.921081 
14.550000,1.922382 
14.600000,1.920105 
14.650000,1.923358 
14.700000,1.920756 
14.750000,1.920756 
14.800000,1.921406 
14.850000,1.923684 
14.900000,1.920430 
14.950000,1.922057 
15.000000,1.918479 
15.050000,1.921081 
15.100000,1.920105 
15.150000,1.919129 
15.200000,1.921081 
