Times (s),Voltage (Volts)
0.000000,94.439911,0.100544 
0.001000,94.416704,0.223825 
0.002000,94.486325,0.239235 
0.003000,94.555945,0.316286 
0.004000,94.509531,0.316286 
0.005000,94.486325,0.300876 
0.006000,94.509531,0.377926 
0.007000,94.463118,0.285465 
0.008000,94.439911,0.316286 
0.009000,94.509531,0.146774 
0.010000,94.416704,0.393337 
0.011000,94.463118,0.177594 
0.012000,94.463118,0.362516 
0.013000,94.509531,0.300876 
0.014000,94.486325,0.300876 
0.015000,94.463118,0.193005 
0.016000,94.486325,0.223825 
0.017000,94.439911,0.270055 
0.018000,94.463118,0.316286 
0.019000,94.416704,0.316286 
0.020000,94.416704,0.270055 
0.021000,94.463118,0.208415 
0.022000,94.416704,0.347106 
0.023000,94.416704,0.223825 
0.024000,94.439911,0.193005 
0.025000,94.463118,0.239235 
0.026000,94.439911,0.285465 
0.027000,94.439911,0.408747 
0.028000,94.439911,0.131364 
0.029000,94.416704,0.254645 
0.030000,94.463118,0.285465 
0.031000,94.486325,0.208415 
0.032000,94.486325,0.162184 
0.033000,94.439911,0.408747 
0.034000,94.486325,0.270055 
0.035000,94.509531,0.239235 
0.036000,94.463118,0.177594 
0.037000,94.439911,0.300876 
0.038000,94.439911,0.270055 
0.039000,94.463118,0.347106 
0.040000,94.439911,0.331696 
0.041000,94.439911,0.208415 
0.042000,94.439911,0.285465 
0.043000,94.416704,0.362516 
0.044000,94.463118,0.223825 
0.045000,94.463118,0.193005 
0.046000,94.486325,0.131364 
0.047000,94.439911,0.316286 
0.048000,94.555945,0.316286 
0.049000,94.509531,0.239235 
0.050000,94.602359,0.254645 
0.051000,94.463118,0.285465 
0.052000,94.463118,0.223825 
0.053000,94.532738,0.300876 
0.054000,94.486325,0.377926 
0.055000,94.486325,0.285465 
0.056000,94.439911,0.193005 
0.057000,94.463118,0.162184 
0.058000,94.463118,0.254645 
0.059000,94.509531,0.223825 
0.060000,94.463118,0.254645 
0.061000,94.509531,0.285465 
0.062000,94.555945,0.223825 
0.063000,94.486325,0.208415 
0.064000,94.486325,0.316286 
0.065000,94.486325,0.270055 
0.066000,94.463118,0.208415 
0.067000,94.486325,0.270055 
0.068000,94.439911,0.131364 
0.069000,94.509531,0.270055 
0.070000,94.393497,0.254645 
0.071000,94.463118,0.177594 
0.072000,94.463118,0.177594 
0.073000,94.439911,0.362516 
0.074000,94.486325,0.424157 
0.075000,94.439911,0.208415 
0.076000,94.439911,0.100544 
0.077000,94.439911,0.177594 
0.078000,94.463118,0.193005 
0.079000,94.416704,0.316286 
0.080000,94.509531,0.146774 
0.081000,94.439911,0.193005 
0.082000,94.439911,0.331696 
0.083000,94.463118,0.285465 
0.084000,94.416704,0.254645 
0.085000,94.393497,0.393337 
0.086000,94.416704,0.454977 
0.087000,94.439911,0.239235 
0.088000,94.393497,0.115954 
0.089000,94.416704,0.162184 
0.090000,94.416704,0.193005 
0.091000,94.439911,0.254645 
0.092000,94.439911,0.331696 
0.093000,94.439911,0.177594 
0.094000,94.439911,0.223825 
0.095000,94.463118,0.362516 
0.096000,94.393497,0.347106 
0.097000,94.439911,0.223825 
0.098000,94.416704,0.223825 
0.099000,94.439911,0.239235 
0.100000,94.439911,0.162184 
0.101000,94.463118,0.239235 
0.102000,94.532738,0.239235 
0.103000,94.463118,0.193005 
0.104000,94.416704,0.131364 
0.105000,94.463118,0.254645 
0.106000,94.463118,0.300876 
0.107000,94.463118,0.270055 
0.108000,94.439911,0.300876 
0.109000,94.463118,0.223825 
0.110000,94.509531,0.162184 
0.111000,94.486325,0.223825 
0.112000,94.463118,0.254645 
0.113000,94.416704,0.331696 
0.114000,94.463118,0.177594 
0.115000,94.463118,0.193005 
0.116000,94.509531,0.347106 
0.117000,94.532738,0.362516 
0.118000,94.463118,0.285465 
0.119000,94.463118,0.347106 
0.120000,94.463118,0.254645 
0.121000,94.463118,0.239235 
0.122000,94.439911,0.239235 
0.123000,94.509531,0.347106 
0.124000,94.532738,0.239235 
0.125000,94.463118,0.177594 
0.126000,94.555945,0.193005 
0.127000,94.532738,0.254645 
0.128000,94.509531,0.254645 
0.129000,94.532738,0.239235 
0.130000,94.509531,0.193005 
0.131000,94.509531,0.270055 
0.132000,94.463118,0.300876 
0.133000,94.555945,0.193005 
0.134000,94.486325,0.331696 
0.135000,94.486325,0.254645 
0.136000,94.463118,0.254645 
0.137000,94.509531,0.223825 
0.138000,94.532738,0.177594 
0.139000,94.509531,0.193005 
0.140000,94.532738,0.239235 
0.141000,94.532738,0.347106 
