Times (s),Voltage (Volts)
0.000000,2.638952 
0.033333,2.638952 
0.066667,2.640254 
0.100000,2.645461 
0.133333,2.636348 
0.166667,2.637650 
0.200000,2.636023 
0.233333,2.637650 
0.266667,2.640579 
0.300000,2.639928 
0.333333,2.637650 
0.366667,2.641556 
0.400000,2.642857 
0.433333,2.638626 
0.466667,2.641556 
0.500000,2.641881 
0.533333,2.640579 
0.566667,2.633419 
0.600000,2.639928 
0.633333,2.640579 
0.666667,2.640579 
0.700000,2.642857 
0.733333,2.643508 
0.766667,2.643183 
0.800000,2.638626 
0.833333,2.635697 
0.866667,2.639603 
0.900000,2.639603 
0.933333,2.640905 
0.966667,2.646112 
1.000000,2.641881 
1.033333,2.638626 
1.066667,2.640254 
1.100000,2.643508 
1.133333,2.638626 
1.166667,2.643834 
1.200000,2.639928 
1.233333,2.637650 
1.266667,2.639928 
1.300000,2.635372 
1.333333,2.638301 
1.366667,2.640905 
1.400000,2.640254 
1.433333,2.643183 
1.466667,2.637650 
1.500000,2.639277 
1.533333,2.639277 
1.566667,2.641230 
1.600000,2.642207 
1.633333,2.642532 
1.666667,2.640905 
1.700000,2.641881 
1.733333,2.644485 
1.766666,2.639277 
1.800000,2.638952 
1.833333,2.634721 
1.866666,2.638952 
1.900000,2.641230 
1.933333,2.635697 
1.966666,2.639603 
2.000000,2.640579 
2.033333,2.640905 
2.066666,2.638301 
2.100000,2.636023 
2.133333,2.640254 
2.166666,2.640254 
2.200000,2.638626 
2.233333,2.640905 
2.266666,2.640579 
2.300000,2.640905 
2.333333,2.634070 
2.366666,2.634721 
2.400000,2.638626 
2.433333,2.642207 
2.466666,2.638626 
2.500000,2.639277 
2.533333,2.635372 
2.566666,2.637324 
2.600000,2.642207 
2.633333,2.643183 
2.666666,2.641556 
2.700000,2.640254 
2.733333,2.640905 
2.766666,2.638952 
2.800000,2.637324 
2.833333,2.643183 
2.866666,2.642532 
2.900000,2.640905 
2.933333,2.640579 
2.966666,2.636023 
3.000000,2.640905 
3.033333,2.636348 
