Times (s),Voltage (Volts)
0.000000,2.563116 
0.033333,2.562465 
0.066667,2.558560 
0.100000,2.563442 
0.133333,2.562465 
0.166667,2.561164 
0.200000,2.562465 
0.233333,2.561814 
0.266667,2.564418 
0.300000,2.564744 
0.333333,2.562140 
0.366667,2.563116 
0.400000,2.561489 
0.433333,2.562791 
0.466667,2.560838 
0.500000,2.561164 
0.533333,2.562791 
0.566667,2.561814 
0.600000,2.560513 
0.633333,2.562465 
0.666667,2.562465 
0.700000,2.561814 
0.733333,2.561164 
0.766667,2.563442 
0.800000,2.562791 
0.833333,2.561164 
0.866667,2.560513 
0.900000,2.565069 
0.933333,2.564093 
0.966667,2.560513 
1.000000,2.559536 
1.033333,2.561164 
1.066667,2.561164 
1.100000,2.564093 
1.133333,2.562465 
1.166667,2.563442 
1.200000,2.559862 
1.233333,2.562465 
1.266667,2.564093 
1.300000,2.563442 
1.333333,2.562791 
1.366667,2.561489 
1.400000,2.561814 
1.433333,2.563116 
1.466667,2.562140 
1.500000,2.565069 
1.533333,2.562465 
1.566667,2.559862 
1.600000,2.562140 
1.633333,2.562791 
1.666667,2.561814 
1.700000,2.563116 
1.733333,2.565395 
1.766666,2.563767 
1.800000,2.558560 
1.833333,2.566046 
1.866666,2.561489 
1.900000,2.561814 
1.933333,2.561489 
1.966666,2.562465 
2.000000,2.564418 
2.033333,2.563116 
2.066666,2.562791 
2.100000,2.562465 
2.133333,2.563767 
2.166666,2.560187 
2.200000,2.562791 
2.233333,2.559862 
2.266666,2.564418 
2.300000,2.562140 
2.333333,2.564744 
2.366666,2.560513 
2.400000,2.559862 
2.433333,2.561164 
2.466666,2.561489 
2.500000,2.563442 
2.533333,2.562465 
2.566666,2.558234 
2.600000,2.562465 
2.633333,2.560187 
2.666666,2.559862 
2.700000,2.560838 
2.733333,2.561489 
2.766666,2.561814 
2.800000,2.561164 
2.833333,2.561164 
2.866666,2.562465 
2.900000,2.562791 
2.933333,2.562465 
2.966666,2.562465 
3.000000,2.561814 
3.033333,2.560513 
3.066666,2.562791 
3.100000,2.562791 
3.133333,2.565720 
3.166666,2.565069 
3.200000,2.565069 
3.233333,2.559862 
3.266666,2.562140 
3.300000,2.564418 
3.333333,2.564093 
3.366666,2.561814 
3.400000,2.562140 
3.433333,2.559862 
3.466666,2.564093 
3.500000,2.561489 
3.533333,2.564093 
3.566666,2.561489 
3.600000,2.559536 
3.633333,2.559862 
3.666666,2.561814 
3.700000,2.561164 
3.733333,2.562140 
3.766666,2.563116 
3.800000,2.559862 
3.833333,2.564093 
3.866666,2.561814 
3.900000,2.563442 
3.933333,2.563116 
3.966666,2.566046 
4.000000,2.563442 
4.033333,2.563116 
4.066666,2.561489 
4.100000,2.561164 
4.133333,2.563442 
4.166666,2.560513 
4.200000,2.561164 
4.233333,2.561489 
4.266666,2.561489 
4.300000,2.560187 
4.333333,2.561814 
4.366666,2.558234 
4.400000,2.560187 
4.433333,2.560513 
4.466666,2.564093 
4.500000,2.563767 
4.533333,2.562465 
4.566666,2.561164 
4.600000,2.559862 
4.633333,2.558560 
4.666666,2.561164 
4.700000,2.561164 
4.733333,2.562140 
4.766666,2.559862 
4.800000,2.561489 
4.833333,2.563767 
4.866666,2.560187 
4.900000,2.560187 
4.933333,2.559862 
4.966666,2.560513 
5.000000,2.561164 
5.033333,2.559862 
5.066666,2.564418 
5.099999,2.562791 
5.133333,2.562465 
5.166666,2.564744 
5.199999,2.560513 
5.233333,2.561489 
5.266666,2.563767 
5.299999,2.561164 
5.333333,2.561489 
5.366666,2.563767 
5.399999,2.559211 
5.433333,2.561814 
5.466666,2.560187 
5.499999,2.562465 
5.533333,2.564418 
5.566666,2.562140 
5.599999,2.565395 
5.633333,2.559536 
5.666666,2.559862 
5.699999,2.561164 
5.733333,2.561489 
5.766666,2.561814 
5.799999,2.561164 
5.833333,2.563116 
5.866666,2.561814 
5.899999,2.562465 
5.933333,2.561814 
5.966666,2.562140 
5.999999,2.561814 
6.033333,2.562791 
6.066666,2.562465 
6.099999,2.562791 
6.133333,2.562791 
6.166666,2.561164 
6.199999,2.562465 
6.233333,2.562465 
6.266666,2.563767 
6.299999,2.565069 
6.333333,2.560838 
6.366666,2.561814 
6.399999,2.560513 
6.433333,2.562465 
6.466666,2.562140 
6.499999,2.562140 
6.533333,2.559862 
6.566666,2.563116 
6.599999,2.558885 
6.633333,2.561489 
6.666666,2.563116 
6.699999,2.561164 
6.733333,2.560838 
6.766666,2.563116 
6.799999,2.564093 
6.833333,2.563442 
6.866666,2.561164 
6.899999,2.558885 
6.933333,2.563442 
6.966666,2.561814 
6.999999,2.560838 
7.033333,2.565720 
7.066666,2.564418 
7.099999,2.564418 
7.133333,2.560187 
7.166666,2.562465 
7.199999,2.563767 
7.233333,2.564093 
7.266666,2.562140 
7.299999,2.562140 
7.333333,2.561489 
7.366666,2.560187 
7.399999,2.564744 
7.433333,2.560513 
7.466666,2.561164 
7.499999,2.562140 
7.533333,2.564418 
7.566666,2.558885 
7.599999,2.561489 
7.633333,2.563767 
7.666666,2.563116 
7.699999,2.562791 
7.733333,2.563116 
7.766666,2.562465 
7.799999,2.563116 
7.833333,2.565069 
7.866666,2.561164 
7.899999,2.563116 
7.933333,2.563116 
7.966666,2.561489 
7.999999,2.562465 
8.033333,2.563116 
8.066666,2.561489 
8.099999,2.563116 
8.133333,2.560513 
8.166666,2.563116 
8.199999,2.562140 
8.233333,2.563116 
8.266666,2.563767 
8.299999,2.562140 
8.333333,2.560187 
8.366666,2.563767 
8.399999,2.561814 
8.433332,2.563116 
8.466666,2.562465 
8.499999,2.561164 
8.533332,2.561164 
8.566666,2.562140 
8.599999,2.559536 
8.633332,2.562791 
8.666666,2.560513 
8.699999,2.565395 
8.733332,2.562791 
8.766666,2.562791 
8.799999,2.558885 
8.833332,2.560187 
8.866666,2.560513 
8.899999,2.561164 
8.933332,2.561164 
8.966666,2.563116 
8.999999,2.563116 
9.033332,2.562791 
9.066666,2.563442 
9.099999,2.563767 
9.133332,2.562140 
9.166666,2.559211 
9.199999,2.561489 
9.233332,2.561164 
9.266666,2.563767 
9.299999,2.561814 
9.333332,2.564093 
9.366666,2.561164 
9.399999,2.559536 
9.433332,2.564093 
9.466666,2.562465 
9.499999,2.562465 
9.533332,2.561489 
9.566666,2.563442 
9.599999,2.564093 
9.633332,2.562791 
9.666666,2.561814 
9.699999,2.561814 
9.733332,2.561814 
9.766666,2.559211 
9.799999,2.559536 
9.833332,2.560838 
9.866666,2.565069 
9.899999,2.561164 
9.933332,2.560187 
9.966666,2.562791 
9.999999,2.563767 
10.033332,2.560513 
