Times (s),Input Voltage (v),Output Voltage (v)
0.000000,4.073679,1.550875 
0.020000,3.541792,2.207357 
0.040000,3.290650,2.560972 
0.060000,3.167682,2.754859 
0.080000,3.116933,2.869369 
0.100000,3.099366,2.941264 
0.120000,3.087004,2.986482 
0.140000,3.070413,3.012182 
0.160000,3.057400,3.024869 
0.180000,3.057726,3.034303 
0.200000,3.066184,3.042761 
0.220000,3.067811,3.051545 
0.240000,3.057726,3.053822 
0.260000,3.048617,3.053171 
0.280000,3.052521,3.052195 
0.300000,3.060979,3.056425 
0.320000,3.063907,3.059352 
0.340000,3.055123,3.060003 
0.360000,3.046015,3.056425 
0.380000,3.050244,3.056099 
0.400000,3.059678,3.058051 
0.420000,3.062931,3.062280 
0.440000,3.054798,3.061304 
0.460000,3.046015,3.058702 
0.480000,3.050244,3.058051 
0.500000,3.060003,3.060003 
0.520000,3.062280,3.063581 
0.540000,3.055123,3.063907 
0.560000,3.046015,3.060654 
0.580000,3.049593,3.059027 
0.600000,3.060003,3.062606 
0.620000,3.061955,3.065533 
0.640000,3.054798,3.065208 
0.660000,3.046340,3.062606 
0.680000,3.049918,3.060328 
0.700000,3.060003,3.063907 
0.720000,3.064232,3.066835 
0.740000,3.055774,3.066835 
0.760000,3.046665,3.063581 
0.780000,3.051870,3.062606 
0.800000,3.060654,3.065208 
0.820000,3.064557,3.068786 
0.840000,3.057075,3.068461 
0.860000,3.047641,3.064883 
0.880000,3.052521,3.064232 
0.900000,3.061630,3.066509 
0.920000,3.065533,3.070413 
0.940000,3.058702,3.070088 
0.960000,3.048942,3.066509 
0.980000,3.052846,3.065208 
1.000000,3.063581,3.068461 
1.020000,3.066509,3.071714 
1.040000,3.059027,3.071714 
1.060000,3.050894,3.068786 
1.080000,3.054147,3.067485 
1.100000,3.064557,3.070088 
1.120000,3.068461,3.073666 
1.140000,3.060328,3.073991 
1.160000,3.052521,3.070738 
1.180000,3.056425,3.070088 
1.200000,3.065208,3.072040 
1.220000,3.069762,3.076269 
1.240000,3.061955,3.075293 
1.260000,3.053822,3.072690 
1.280000,3.057400,3.071064 
1.300000,3.066835,3.073666 
1.320000,3.070738,3.077570 
