Times (s)	Angular Position (degrees)
0.000000	91.268303
0.005000	91.358577
0.010000	91.268303
0.015000	91.268303
0.020000	91.336009
0.025000	91.313440
0.030000	91.268303
0.035000	91.290872
0.040000	91.268303
0.045000	91.313440
0.050000	91.448850
0.055000	91.336009
0.060000	91.381145
0.065000	91.381145
0.070000	91.358577
0.075000	91.290872
0.080000	91.426282
0.085000	91.358577
0.090000	91.313440
0.095000	91.313440
0.100000	91.223167
0.105000	91.471419
0.110000	91.268303
0.115000	91.245735
0.120000	91.403714
0.125000	91.516555
0.130000	91.426282
0.135000	91.268303
0.140000	91.336009
0.145000	91.358577
0.150000	91.313440
0.155000	91.313440
0.160000	91.336009
0.165000	91.358577
0.170000	91.358577
0.175000	91.336009
0.180000	91.358577
0.185000	91.313440
0.190000	91.358577
0.195000	91.336009
0.200000	91.268303
0.205000	91.313440
0.210000	91.336009
0.215000	91.290872
0.220000	91.313440
0.225000	91.403714
0.230000	91.313440
0.235000	91.336009
0.240000	91.336009
0.245000	91.268303
0.250000	91.358577
0.255000	91.381145
0.260000	91.313440
0.265000	91.268303
0.270000	91.268303
0.275000	91.268303
0.280000	91.245735
0.285000	91.313440
0.290000	91.358577
0.295000	91.403714
0.300000	91.381145
0.305000	91.426282
0.310000	91.403714
0.315000	91.358577
0.320000	91.403714
0.325000	91.403714
0.330000	91.403714
0.335000	91.426282
0.340000	91.426282
0.345000	91.268303
0.350000	91.336009
0.355000	91.471419
0.360000	91.290872
0.365000	91.358577
0.370000	91.290872
0.375000	91.403714
0.380000	91.358577
0.385000	91.313440
0.390000	91.358577
0.395000	91.358577
0.400000	91.313440
0.405000	91.358577
0.410000	91.313440
0.415000	91.313440
0.420000	91.336009
0.425000	91.313440
0.430000	91.336009
0.435000	91.381145
0.440000	91.471419
0.445000	91.606829
0.450000	91.561692
0.455000	91.516555
0.460000	91.403714
0.465000	91.268303
0.470000	91.358577
0.475000	91.336009
0.480000	91.290872
0.485000	91.426282
0.490000	91.268303
0.495000	91.448850
0.500000	91.448850
0.505000	91.584261
0.510000	91.448850
0.515000	91.448850
0.520000	91.584261
0.525000	91.584261
0.530000	91.426282
0.535000	91.403714
0.540000	91.448850
0.545000	91.426282
0.550000	91.539124
0.555000	91.674534
0.560000	91.448850
0.565000	91.629397
