Times (s) 	 Angular Position (degrees) 
0.000000 	 93.003466 
0.005000 	 93.049878 
0.010000 	 93.073083 
0.015000 	 93.073083 
0.020000 	 93.073083 
0.025000 	 93.026672 
0.030000 	 93.073083 
0.035000 	 93.049878 
0.040000 	 93.073083 
0.045000 	 93.049878 
0.050000 	 93.096289 
0.055000 	 93.096289 
0.060000 	 93.049878 
0.065000 	 93.073083 
0.070000 	 93.049878 
0.075000 	 92.980260 
0.080000 	 93.049878 
0.085000 	 92.957054 
0.090000 	 92.980260 
0.095000 	 93.026672 
0.100000 	 93.049878 
0.105000 	 93.049878 
0.110000 	 93.049878 
0.115000 	 93.026672 
0.120000 	 93.049878 
0.125000 	 93.096289 
0.130000 	 93.165907 
0.135000 	 93.096289 
0.140000 	 93.096289 
0.145000 	 93.142701 
0.150000 	 93.119495 
0.155000 	 93.235524 
0.160000 	 93.165907 
0.165000 	 93.165907 
0.170000 	 93.212318 
0.175000 	 93.189112 
0.180000 	 93.189112 
0.185000 	 93.119495 
0.190000 	 93.119495 
0.195000 	 93.189112 
0.200000 	 93.165907 
0.205000 	 93.096289 
0.210000 	 93.096289 
0.215000 	 93.142701 
0.220000 	 93.119495 
0.225000 	 93.212318 
0.230000 	 93.119495 
0.235000 	 93.165907 
0.240000 	 93.096289 
0.245000 	 93.049878 
0.250000 	 93.142701 
0.255000 	 93.073083 
0.260000 	 93.073083 
0.265000 	 93.258730 
0.270000 	 93.142701 
0.275000 	 93.142701 
0.280000 	 93.026672 
0.285000 	 93.096289 
0.290000 	 93.026672 
0.295000 	 92.980260 
0.300000 	 93.049878 
0.305000 	 92.957054 
0.310000 	 92.933849 
0.315000 	 92.933849 
0.320000 	 92.887437 
0.325000 	 92.864231 
0.330000 	 92.910643 
0.335000 	 92.817820 
0.340000 	 92.864231 
0.345000 	 92.887437 
0.350000 	 92.887437 
0.355000 	 92.864231 
0.360000 	 92.794614 
0.365000 	 92.887437 
0.370000 	 92.794614 
0.375000 	 92.841025 
0.380000 	 92.864231 
0.385000 	 92.771408 
0.390000 	 92.655379 
0.395000 	 92.632173 
0.400000 	 92.678585 
0.405000 	 92.608967 
0.410000 	 92.608967 
0.415000 	 92.585762 
0.420000 	 92.608967 
0.425000 	 92.585762 
0.430000 	 92.585762 
0.435000 	 92.585762 
0.440000 	 92.562556 
0.445000 	 92.539350 
0.450000 	 92.608967 
0.455000 	 92.585762 
0.460000 	 92.678585 
0.465000 	 92.724996 
0.470000 	 92.655379 
0.475000 	 92.748202 
0.480000 	 92.910643 
0.485000 	 93.049878 
0.490000 	 92.933849 
0.495000 	 92.980260 
0.500000 	 93.049878 
0.505000 	 93.026672 
0.510000 	 93.119495 
0.515000 	 93.026672 
0.520000 	 93.096289 
0.525000 	 93.026672 
0.530000 	 93.049878 
0.535000 	 93.003466 
0.540000 	 93.026672 
0.545000 	 93.073083 
0.550000 	 93.049878 
0.555000 	 92.980260 
0.560000 	 93.026672 
0.565000 	 93.096289 
0.570000 	 92.980260 
0.575000 	 93.026672 
0.580000 	 93.026672 
0.585000 	 93.026672 
0.590000 	 93.003466 
0.595000 	 93.003466 
0.600000 	 93.026672 
0.605000 	 93.049878 
0.610000 	 93.003466 
0.615000 	 93.026672 
0.620000 	 93.003466 
0.625000 	 93.026672 
0.630000 	 93.049878 
0.635000 	 93.073083 
0.640000 	 93.049878 
0.645000 	 92.957054 
0.650000 	 92.980260 
0.655000 	 92.933849 
0.660000 	 92.864231 
0.665000 	 92.608967 
0.670000 	 92.562556 
0.675000 	 92.423321 
0.680000 	 92.284086 
0.685000 	 92.307292 
0.690000 	 92.260880 
0.695000 	 92.144851 
0.700000 	 91.959205 
0.705000 	 91.634324 
0.710000 	 91.332648 
0.715000 	 90.891738 
0.720000 	 90.636474 
0.725000 	 90.474034 
0.730000 	 90.172358 
0.735000 	 89.569007 
0.740000 	 89.012068 
0.745000 	 88.478335 
0.750000 	 87.712543 
0.755000 	 86.853929 
0.760000 	 86.134549 
0.765000 	 85.043876 
0.770000 	 84.046027 
0.775000 	 82.955354 
0.780000 	 81.841475 
0.785000 	 80.472333 
0.790000 	 79.312043 
0.795000 	 77.687637 
0.800000 	 76.225671 
0.805000 	 74.786912 
0.810000 	 73.208917 
0.815000 	 71.723746 
0.820000 	 69.844076 
0.825000 	 68.057229 
0.830000 	 66.131148 
0.835000 	 64.158655 
0.840000 	 62.395014 
0.845000 	 60.190462 
0.850000 	 57.916294 
0.855000 	 56.152653 
0.860000 	 53.901690 
0.865000 	 51.766757 
0.870000 	 49.144501 
0.875000 	 46.731098 
0.880000 	 44.294488 
0.885000 	 41.950702 
0.890000 	 39.537299 
0.895000 	 36.961455 
0.900000 	 34.223170 
0.905000 	 31.832973 
0.910000 	 29.001865 
0.915000 	 26.449227 
0.920000 	 23.687737 
0.925000 	 20.949452 
0.930000 	 18.002315 
0.935000 	 15.287236 
0.940000 	 12.525746 
0.945000 	 9.625021 
0.950000 	 6.817119 
0.955000 	 4.102040 
0.960000 	 1.154903 
0.965000 	 -1.629793 
0.970000 	 -4.437695 
0.975000 	 -7.152774 
0.980000 	 -9.983882 
0.985000 	 -12.675755 
0.990000 	 -15.298010 
0.995000 	 -18.129118 
1.000000 	 -20.751374 
1.005000 	 -23.187983 
1.010000 	 -25.856650 
1.015000 	 -28.478905 
1.020000 	 -30.961926 
1.025000 	 -33.375330 
1.030000 	 -35.672704 
1.035000 	 -38.318165 
1.040000 	 -40.499511 
1.045000 	 -42.727268 
1.050000 	 -45.047848 
1.055000 	 -47.298811 
1.060000 	 -49.387333 
1.065000 	 -51.522266 
1.070000 	 -53.494760 
1.075000 	 -55.444047 
1.080000 	 -57.114865 
1.085000 	 -59.064152 
1.090000 	 -60.827793 
1.095000 	 -62.545022 
1.100000 	 -64.215840 
1.105000 	 -65.840246 
1.110000 	 -67.302212 
1.115000 	 -68.648148 
1.120000 	 -70.017290 
1.125000 	 -71.084757 
1.130000 	 -72.407488 
1.135000 	 -73.242897 
1.140000 	 -74.820891 
1.145000 	 -75.795535 
1.150000 	 -76.120416 
1.155000 	 -77.466353 
1.160000 	 -78.232144 
1.165000 	 -78.696260 
1.170000 	 -79.531669 
1.175000 	 -79.949373 
1.180000 	 -80.599136 
1.185000 	 -81.109663 
1.190000 	 -81.411339 
1.195000 	 -81.945072 
1.200000 	 -81.829043 
1.205000 	 -82.246748 
1.210000 	 -82.293159 
1.215000 	 -82.687658 
1.220000 	 -82.664452 
1.225000 	 -82.571629 
1.230000 	 -82.385983 
1.235000 	 -82.037896 
1.240000 	 -81.805838 
1.245000 	 -81.527368 
1.250000 	 -81.156075 
1.255000 	 -80.622342 
1.260000 	 -80.181431 
1.265000 	 -79.508463 
1.270000 	 -78.835495 
1.275000 	 -78.116115 
1.280000 	 -77.141471 
1.285000 	 -76.097210 
1.290000 	 -75.192184 
1.295000 	 -74.240746 
1.300000 	 -72.964427 
1.305000 	 -72.036195 
1.310000 	 -70.945522 
1.315000 	 -69.483557 
1.320000 	 -67.835945 
1.325000 	 -66.722067 
1.330000 	 -65.213689 
1.335000 	 -63.635695 
1.340000 	 -62.173729 
1.345000 	 -60.294059 
1.350000 	 -58.576830 
1.355000 	 -56.697160 
1.360000 	 -55.003137 
1.365000 	 -53.146673 
1.370000 	 -51.267003 
1.375000 	 -49.248098 
1.380000 	 -47.275605 
1.385000 	 -45.140671 
1.390000 	 -42.820091 
1.395000 	 -40.963627 
1.400000 	 -38.410989 
1.405000 	 -36.577730 
1.410000 	 -34.117915 
1.415000 	 -31.727718 
1.420000 	 -29.244697 
1.425000 	 -26.784882 
1.430000 	 -24.626742 
1.435000 	 -22.050898 
1.440000 	 -19.475054 
1.445000 	 -16.876005 
1.450000 	 -14.323366 
1.455000 	 -11.933169 
1.460000 	 -9.496560 
1.465000 	 -6.735069 
1.470000 	 -4.205637 
1.475000 	 -1.490558 
1.480000 	 0.853228 
1.485000 	 3.382660 
1.490000 	 5.981710 
1.495000 	 8.557554 
1.500000 	 11.411868 
1.505000 	 13.778859 
1.510000 	 16.122645 
1.515000 	 18.721695 
1.520000 	 21.065481 
1.525000 	 23.664531 
1.530000 	 26.031523 
1.535000 	 28.421720 
1.540000 	 30.951152 
1.545000 	 33.248527 
1.550000 	 35.638724 
1.555000 	 37.704041 
1.560000 	 39.978209 
1.565000 	 42.136349 
1.570000 	 44.271283 
1.575000 	 46.220570 
1.580000 	 48.355504 
1.585000 	 50.142350 
1.590000 	 52.068432 
1.595000 	 53.948102 
1.600000 	 55.665331 
1.605000 	 57.196914 
1.610000 	 59.285436 
1.615000 	 60.677784 
1.620000 	 62.325396 
1.625000 	 63.926597 
1.630000 	 64.970858 
1.635000 	 66.340000 
1.640000 	 67.709142 
1.645000 	 69.031873 
1.650000 	 69.983311 
1.655000 	 71.329247 
1.660000 	 72.118245 
1.665000 	 73.301740 
1.670000 	 74.090738 
1.675000 	 74.995764 
1.680000 	 75.575909 
1.685000 	 76.318495 
1.690000 	 77.014669 
1.695000 	 77.548402 
1.700000 	 78.082136 
1.705000 	 78.615869 
1.710000 	 78.824721 
1.715000 	 79.219220 
1.720000 	 79.497689 
1.725000 	 79.590513 
1.730000 	 79.660130 
1.735000 	 79.613718 
1.740000 	 79.636924 
1.745000 	 79.544101 
1.750000 	 79.288837 
1.755000 	 78.917544 
1.760000 	 78.639075 
1.765000 	 78.244576 
1.770000 	 77.618019 
1.775000 	 77.153903 
1.780000 	 76.411318 
1.785000 	 75.552703 
1.790000 	 75.111793 
1.795000 	 74.183561 
1.800000 	 73.255329 
1.805000 	 72.048627 
1.810000 	 71.120395 
1.815000 	 69.936899 
1.820000 	 68.660580 
1.825000 	 67.407467 
1.830000 	 66.177559 
1.835000 	 64.924446 
1.840000 	 63.369657 
1.845000 	 61.791663 
1.850000 	 60.352903 
1.855000 	 58.751703 
1.860000 	 56.988062 
1.865000 	 55.502891 
1.870000 	 53.901690 
1.875000 	 51.952403 
1.880000 	 49.724646 
1.885000 	 48.262680 
1.890000 	 46.197364 
1.895000 	 44.248077 
1.900000 	 42.043526 
1.905000 	 39.931798 
1.910000 	 37.680835 
1.915000 	 35.522695 
1.920000 	 33.364556 
1.925000 	 30.974358 
1.930000 	 28.746601 
1.935000 	 26.333198 
