Times (s),Voltage (Volts)
0.000000,1.710929 
0.050000,1.710278 
0.100000,1.709953 
0.150000,1.711579 
0.200000,1.711905 
0.250000,1.710929 
0.300000,1.710929 
0.350000,1.710929 
0.400000,1.711579 
0.450000,1.710603 
0.500000,1.708652 
0.550000,1.710278 
0.600000,1.711905 
0.650000,1.710929 
0.700000,1.710929 
0.750000,1.708977 
0.800000,1.710603 
0.850000,1.711579 
0.900000,1.712230 
0.950000,1.711254 
1.000000,1.712230 
1.050000,1.709953 
1.100000,1.710278 
1.150000,1.709302 
1.200000,1.711905 
1.250000,1.711579 
1.300000,1.712555 
1.350000,1.711254 
1.400000,1.709953 
1.450000,1.709627 
1.500000,1.712555 
1.550000,1.710278 
1.600000,1.709302 
1.650000,1.710603 
1.700000,1.710278 
1.750000,1.709627 
1.800000,1.711579 
1.850000,1.709953 
1.900000,1.712555 
1.950000,1.709302 
2.000000,1.709953 
2.050000,1.710603 
2.100000,1.712230 
2.150000,1.709953 
2.200000,1.710278 
2.250000,1.709953 
2.300000,1.711254 
2.350000,1.708326 
2.400000,1.708977 
2.450000,1.711254 
2.500000,1.712230 
2.550000,1.711905 
2.600000,1.710278 
2.650000,1.710603 
2.700000,1.710278 
2.750000,1.708977 
2.800000,1.710278 
2.850000,1.712881 
2.900000,1.710603 
2.950000,1.707350 
3.000000,1.711254 
3.050000,1.712230 
3.100000,1.711905 
3.150000,1.708652 
3.200000,1.710603 
3.250000,1.710929 
3.300000,1.712230 
3.350000,1.710603 
3.400000,1.709953 
3.450000,1.708652 
3.500000,1.710929 
3.550000,1.712881 
3.600000,1.711905 
3.650000,1.709627 
3.700000,1.709302 
3.750000,1.709627 
3.800000,1.710278 
3.850000,1.708652 
3.900000,1.708326 
3.950000,1.709627 
4.000000,1.710929 
4.050000,1.710603 
4.100000,1.708977 
4.150000,1.711905 
4.200000,1.712230 
4.250000,1.712555 
4.300000,1.710929 
4.350000,1.711905 
4.400000,1.711254 
4.450000,1.710603 
4.500000,1.709953 
4.550000,1.709953 
4.600000,1.710278 
4.650000,1.712555 
4.700000,1.711905 
4.750000,1.710603 
4.800000,1.712555 
4.850000,1.709302 
4.900000,1.709953 
4.950000,1.712230 
5.000000,1.709953 
5.050000,1.711905 
5.100000,1.709627 
5.150000,1.711254 
5.200000,1.711579 
5.250000,1.712555 
5.300000,1.712230 
5.350000,1.710278 
5.400000,1.710929 
5.450000,1.712555 
5.500000,1.711905 
5.550000,1.710929 
5.600000,1.711579 
5.650000,1.709302 
5.700000,1.714182 
5.750000,1.708977 
5.800000,1.708326 
5.850000,1.709953 
5.900000,1.710929 
5.950000,1.709627 
6.000000,1.708652 
6.050000,1.711254 
6.100000,1.708977 
6.150000,1.709953 
6.200000,1.712555 
6.250000,1.709953 
6.300000,1.710929 
6.350000,1.710929 
6.400000,1.708977 
6.450000,1.710603 
6.500000,1.709953 
6.550000,1.710278 
6.600000,1.711579 
6.650000,1.708977 
6.700000,1.711254 
6.750000,1.709627 
6.800000,1.710929 
6.850000,1.712555 
6.900000,1.711254 
6.950000,1.711905 
7.000000,1.712881 
7.050000,1.711579 
7.100000,1.711579 
7.150000,1.711254 
7.200000,1.710929 
7.250000,1.712555 
7.300000,1.711254 
7.350000,1.714182 
7.400000,1.712230 
7.450000,1.713531 
7.500000,1.709627 
7.550000,1.710929 
7.600000,1.708977 
7.650000,1.711579 
7.700000,1.708977 
7.750000,1.710929 
7.800000,1.710603 
7.850000,1.709953 
7.900000,1.711905 
7.950000,1.708652 
8.000000,1.709627 
8.050000,1.713531 
8.100000,1.710278 
8.150000,1.711254 
8.200000,1.713531 
8.250000,1.713857 
8.300000,1.712881 
8.350000,1.711254 
8.400000,1.708652 
8.450000,1.711905 
8.500000,1.710278 
8.550000,1.711905 
8.600000,1.711254 
8.650000,1.711905 
8.700000,1.712555 
8.750000,1.708326 
8.800000,1.712230 
8.850000,1.709627 
8.900000,1.715158 
8.950000,1.711254 
9.000000,1.712555 
9.050000,1.709627 
9.100000,1.709302 
9.150000,1.712555 
9.200000,1.711579 
9.250000,1.710929 
9.300000,1.711579 
9.350000,1.711579 
9.400000,1.711905 
9.450000,1.709302 
9.500000,1.712881 
9.550000,1.708001 
9.600000,1.712881 
9.650000,1.713531 
9.700000,1.709627 
9.750000,1.711254 
9.800000,1.711254 
9.850000,1.709627 
9.900000,1.712230 
9.950000,1.710278 
10.000000,1.708977 
10.050000,1.710603 
10.100000,1.712230 
10.150000,1.712881 
10.200000,1.710603 
10.250000,1.710603 
10.300000,1.710278 
10.350000,1.709953 
10.400000,1.711254 
10.450000,1.710929 
10.500000,1.711579 
10.550000,1.712555 
10.600000,1.711579 
10.650000,1.710929 
10.700000,1.711905 
10.750000,1.710929 
10.800000,1.711254 
10.850000,1.709953 
10.900000,1.709953 
10.950000,1.714182 
11.000000,1.710278 
11.050000,1.712555 
11.100000,1.711579 
11.150000,1.711579 
11.200000,1.710603 
11.250000,1.708977 
11.300000,1.711905 
11.350000,1.709627 
11.400000,1.710278 
11.450000,1.711254 
11.500000,1.712230 
11.550000,1.713531 
11.600000,1.714182 
11.650000,1.711254 
11.700000,1.712555 
11.750000,1.711579 
11.800000,1.710929 
11.850000,1.714507 
11.900000,1.712555 
11.950000,1.712555 
12.000000,1.710278 
12.050000,1.709627 
12.100000,1.712881 
12.150000,1.710929 
12.200000,1.711905 
12.250000,1.711905 
12.300000,1.711254 
12.350000,1.714507 
12.400000,1.713206 
12.450000,1.709627 
12.500000,1.709302 
12.550000,1.712881 
12.600000,1.711254 
12.650000,1.710603 
12.700000,1.709302 
12.750000,1.710929 
12.800000,1.710278 
12.850000,1.712230 
12.900000,1.712555 
12.950000,1.710278 
13.000000,1.710278 
13.050000,1.711905 
13.100000,1.712230 
13.150000,1.710929 
13.200000,1.713206 
13.250000,1.710278 
13.300000,1.710929 
13.350000,1.711579 
13.400000,1.710278 
13.450000,1.710603 
13.500000,1.711254 
13.550000,1.713206 
13.600000,1.710929 
13.650000,1.710603 
13.700000,1.712881 
13.750000,1.711254 
13.800000,1.711579 
13.850000,1.709627 
13.900000,1.709953 
13.950000,1.711905 
14.000000,1.711254 
14.050000,1.713857 
14.100000,1.711254 
14.150000,1.710603 
14.200000,1.713857 
14.250000,1.712555 
14.300000,1.709627 
14.350000,1.712555 
14.400000,1.709302 
14.450000,1.711905 
14.500000,1.713206 
14.550000,1.710929 
14.600000,1.713206 
14.650000,1.709302 
14.700000,1.710929 
14.750000,1.710929 
14.800000,1.712881 
14.850000,1.712881 
14.900000,1.710929 
14.950000,1.710278 
15.000000,1.712230 
15.050000,1.709953 
15.100000,1.712230 
15.150000,1.710278 
