Times (s),Voltage (Volts)
0.000000,1.508259 
0.050000,1.507933 
0.100000,1.506957 
0.150000,1.505981 
0.200000,1.506307 
0.250000,1.507283 
0.300000,1.506957 
0.350000,1.504029 
0.400000,1.507283 
0.450000,1.506632 
0.500000,1.505331 
0.550000,1.508584 
0.600000,1.507283 
0.650000,1.505656 
0.700000,1.505331 
0.750000,1.506957 
0.800000,1.507933 
0.850000,1.508584 
0.900000,1.506307 
0.950000,1.506957 
1.000000,1.507283 
1.050000,1.506632 
1.100000,1.505005 
1.150000,1.509234 
1.200000,1.509234 
1.250000,1.507283 
1.300000,1.507283 
1.350000,1.509234 
1.400000,1.509560 
1.450000,1.504355 
1.500000,1.505981 
1.550000,1.509560 
1.600000,1.507933 
1.650000,1.505981 
1.700000,1.506957 
1.750000,1.507608 
1.800000,1.505331 
1.850000,1.508584 
1.900000,1.506632 
1.950000,1.506307 
2.000000,1.507933 
2.050000,1.507283 
2.100000,1.506307 
2.150000,1.503379 
2.200000,1.506957 
2.250000,1.506957 
2.300000,1.503704 
2.350000,1.505656 
2.400000,1.505331 
2.450000,1.506307 
2.500000,1.509234 
2.550000,1.507608 
2.600000,1.505656 
2.650000,1.504680 
2.700000,1.506632 
2.750000,1.508259 
2.800000,1.507283 
2.850000,1.511512 
2.900000,1.505656 
2.950000,1.505331 
3.000000,1.505331 
3.050000,1.506957 
3.100000,1.508259 
3.150000,1.509560 
3.200000,1.505981 
3.250000,1.507933 
3.300000,1.505331 
3.350000,1.506957 
3.400000,1.506307 
3.450000,1.508259 
3.500000,1.505331 
3.550000,1.505981 
3.600000,1.506632 
3.650000,1.507283 
3.700000,1.506307 
3.750000,1.506957 
3.800000,1.505656 
3.850000,1.507283 
3.900000,1.505981 
3.950000,1.508259 
4.000000,1.508584 
4.050000,1.506307 
4.100000,1.502728 
4.150000,1.505331 
4.200000,1.505656 
4.250000,1.507933 
4.300000,1.505331 
4.350000,1.507933 
4.400000,1.508584 
4.450000,1.505981 
4.500000,1.506957 
4.550000,1.506307 
4.600000,1.509234 
4.650000,1.507283 
4.700000,1.507608 
4.750000,1.506957 
4.800000,1.505981 
4.850000,1.507933 
4.900000,1.505981 
4.950000,1.506957 
5.000000,1.506957 
5.050000,1.506957 
5.100000,1.506957 
5.150000,1.504029 
5.200000,1.506957 
5.250000,1.508584 
5.300000,1.505331 
5.350000,1.506307 
5.400000,1.508584 
5.450000,1.508584 
5.500000,1.506307 
5.550000,1.509234 
5.600000,1.505981 
5.650000,1.503704 
5.700000,1.506632 
5.750000,1.505656 
5.800000,1.506307 
5.850000,1.507283 
5.900000,1.505331 
5.950000,1.507283 
6.000000,1.506957 
6.050000,1.508584 
6.100000,1.507933 
6.150000,1.509885 
6.200000,1.507283 
6.250000,1.507283 
6.300000,1.508259 
6.350000,1.508259 
6.400000,1.505331 
6.450000,1.506307 
6.500000,1.503704 
6.550000,1.508584 
6.600000,1.506957 
6.650000,1.507608 
6.700000,1.507933 
6.750000,1.505656 
6.800000,1.506632 
6.850000,1.507608 
6.900000,1.506957 
6.950000,1.505005 
7.000000,1.507608 
7.050000,1.508584 
7.100000,1.509234 
7.150000,1.505331 
7.200000,1.506957 
7.250000,1.507933 
7.300000,1.503054 
7.350000,1.506957 
7.400000,1.506307 
7.450000,1.510861 
7.500000,1.507283 
7.550000,1.507283 
7.600000,1.508259 
7.650000,1.506957 
7.700000,1.505656 
7.750000,1.505331 
7.800000,1.507283 
7.850000,1.506957 
7.900000,1.506632 
7.950000,1.506307 
8.000000,1.508259 
8.050000,1.505656 
8.100000,1.506307 
8.150000,1.507608 
8.200000,1.505005 
8.250000,1.506632 
8.300000,1.508909 
8.350000,1.506307 
8.400000,1.504680 
8.450000,1.506632 
8.500000,1.508584 
8.550000,1.506957 
8.600000,1.508584 
8.650000,1.506632 
8.700000,1.507283 
8.750000,1.506957 
8.800000,1.505005 
8.850000,1.507608 
8.900000,1.507283 
8.950000,1.507608 
9.000000,1.506632 
9.050000,1.507608 
9.100000,1.506632 
9.150000,1.507283 
9.200000,1.506957 
9.250000,1.504680 
9.300000,1.508909 
9.350000,1.506957 
9.400000,1.507933 
9.450000,1.503054 
9.500000,1.507933 
9.550000,1.507283 
9.600000,1.506957 
9.650000,1.507933 
9.700000,1.505981 
9.750000,1.505656 
9.800000,1.505656 
9.850000,1.506632 
9.900000,1.508259 
9.950000,1.506307 
10.000000,1.506957 
10.050000,1.504355 
10.100000,1.507283 
10.150000,1.505656 
10.200000,1.502728 
10.250000,1.507283 
10.300000,1.505331 
10.350000,1.506957 
10.400000,1.506957 
10.450000,1.508259 
10.500000,1.505981 
10.550000,1.507933 
10.600000,1.506307 
10.650000,1.506957 
10.700000,1.507283 
10.750000,1.504029 
10.800000,1.506957 
10.850000,1.507933 
10.900000,1.506957 
10.950000,1.505331 
11.000000,1.506307 
11.050000,1.506957 
11.100000,1.507283 
11.150000,1.504355 
11.200000,1.507933 
11.250000,1.507933 
11.300000,1.504680 
11.350000,1.507933 
11.400000,1.509234 
11.450000,1.506632 
11.500000,1.504680 
11.550000,1.506632 
11.600000,1.508259 
11.650000,1.506957 
11.700000,1.505981 
11.750000,1.507283 
11.800000,1.510210 
11.850000,1.507933 
11.900000,1.504680 
11.950000,1.505656 
12.000000,1.508909 
12.050000,1.505981 
12.100000,1.507283 
12.150000,1.504680 
12.200000,1.504680 
12.250000,1.506307 
12.300000,1.506632 
12.350000,1.505656 
12.400000,1.508259 
12.450000,1.506632 
12.500000,1.508259 
12.550000,1.505981 
12.600000,1.506632 
12.650000,1.507283 
12.700000,1.507283 
12.750000,1.506307 
12.800000,1.506307 
12.850000,1.507933 
12.900000,1.507933 
12.950000,1.507933 
13.000000,1.506957 
13.050000,1.508259 
13.100000,1.508259 
13.150000,1.508259 
13.200000,1.505981 
13.250000,1.503704 
13.300000,1.506957 
13.350000,1.505331 
13.400000,1.506632 
13.450000,1.507608 
13.500000,1.505981 
13.550000,1.506307 
13.600000,1.504355 
13.650000,1.506307 
13.700000,1.507608 
13.750000,1.506307 
13.800000,1.505005 
13.850000,1.505331 
13.900000,1.507283 
13.950000,1.505331 
14.000000,1.504680 
14.050000,1.508584 
14.100000,1.506957 
14.150000,1.505981 
14.200000,1.505981 
14.250000,1.505656 
14.300000,1.508909 
14.350000,1.506307 
14.400000,1.507608 
14.450000,1.508584 
14.500000,1.506307 
14.550000,1.506307 
14.600000,1.505981 
14.650000,1.505656 
14.700000,1.508259 
14.750000,1.505005 
14.800000,1.504029 
14.850000,1.507933 
14.900000,1.507933 
14.950000,1.506957 
15.000000,1.505656 
15.050000,1.507283 
15.100000,1.506632 
15.150000,1.507933 
15.200000,1.507283 
15.250000,1.508259 
15.300000,1.506957 
15.350000,1.507283 
15.400000,1.506957 
15.450000,1.508259 
15.500000,1.507283 
15.550000,1.506957 
15.600000,1.505331 
15.650000,1.504680 
15.700000,1.506632 
15.750000,1.505005 
15.800000,1.505005 
15.850000,1.507933 
15.900000,1.506957 
15.950000,1.507283 
16.000000,1.507283 
16.050000,1.508259 
16.100000,1.506307 
16.150000,1.506307 
16.200000,1.505331 
16.250000,1.503704 
16.300000,1.505656 
16.350000,1.505656 
16.400000,1.505981 
16.450000,1.506307 
16.500000,1.507283 
16.550000,1.508259 
16.600000,1.505005 
16.650000,1.507283 
16.700000,1.505656 
16.750000,1.508584 
16.800000,1.507283 
16.850000,1.507933 
16.900000,1.505981 
16.950000,1.505005 
17.000000,1.507608 
17.050000,1.504680 
17.100000,1.503054 
17.150000,1.507283 
17.200000,1.506632 
17.250000,1.510536 
17.300000,1.507283 
17.350000,1.507933 
17.400000,1.506957 
17.450000,1.507283 
17.500000,1.506957 
17.550000,1.507608 
17.600000,1.502728 
17.650000,1.505981 
17.700000,1.506307 
17.750000,1.508259 
17.800000,1.504680 
