Times (s),Voltage (Volts)
0.000000,3.226758 
0.033333,3.230338 
0.066667,3.231640 
0.100000,3.226107 
0.133333,3.228059 
0.166667,3.220899 
0.200000,3.227409 
0.233333,3.231314 
0.266667,3.228710 
0.300000,3.234894 
0.333333,3.229036 
0.366667,3.229361 
0.400000,3.228059 
0.433333,3.229361 
0.466667,3.221875 
0.500000,3.224479 
0.533333,3.226107 
0.566667,3.230989 
0.600000,3.229361 
0.633333,3.227409 
0.666667,3.230012 
0.700000,3.228385 
0.733333,3.238475 
0.766667,3.232942 
0.800000,3.229036 
0.833333,3.218295 
0.866667,3.226107 
0.900000,3.234243 
0.933333,3.229361 
0.966667,3.220899 
1.000000,3.227083 
1.033333,3.226758 
1.066667,3.226758 
1.100000,3.228710 
1.133333,3.230012 
1.166667,3.223503 
1.200000,3.230338 
1.233333,3.233267 
1.266667,3.230989 
1.300000,3.226107 
1.333333,3.230338 
1.366667,3.222526 
1.400000,3.225781 
1.433333,3.225781 
1.466667,3.226432 
1.500000,3.225456 
1.533333,3.228385 
1.566667,3.226107 
1.600000,3.229361 
1.633333,3.231640 
1.666667,3.228710 
1.700000,3.224805 
1.733333,3.222852 
1.766666,3.223177 
1.800000,3.225456 
1.833333,3.229361 
1.866666,3.217644 
1.900000,3.224154 
1.933333,3.227734 
1.966666,3.233593 
2.000000,3.223828 
2.033333,3.230989 
2.066666,3.226432 
2.100000,3.226107 
2.133333,3.224805 
2.166666,3.226107 
2.200000,3.223503 
2.233333,3.228385 
2.266666,3.230012 
2.300000,3.228385 
2.333333,3.229361 
2.366666,3.226432 
2.400000,3.231314 
2.433333,3.231965 
2.466666,3.222852 
2.500000,3.224479 
2.533333,3.229036 
2.566666,3.232616 
2.600000,3.224479 
2.633333,3.223177 
2.666666,3.227734 
2.700000,3.218946 
2.733333,3.228710 
2.766666,3.227734 
2.800000,3.229361 
2.833333,3.225456 
2.866666,3.228710 
2.900000,3.221225 
2.933333,3.222852 
2.966666,3.224479 
3.000000,3.221875 
3.033333,3.223503 
3.066666,3.228385 
3.100000,3.230012 
3.133333,3.223503 
3.166666,3.226758 
3.200000,3.226758 
3.233333,3.233267 
3.266666,3.226107 
3.300000,3.226432 
3.333333,3.226107 
3.366666,3.225456 
3.400000,3.228710 
3.433333,3.229036 
3.466666,3.231965 
3.500000,3.220248 
3.533333,3.221225 
3.566666,3.229687 
3.600000,3.225781 
3.633333,3.226758 
3.666666,3.226432 
3.700000,3.225781 
3.733333,3.223828 
3.766666,3.233593 
3.800000,3.218621 
3.833333,3.226432 
3.866666,3.231965 
3.900000,3.228710 
3.933333,3.223828 
3.966666,3.227734 
4.000000,3.223828 
4.033333,3.217644 
4.066666,3.223828 
4.100000,3.230012 
4.133333,3.230663 
4.166666,3.231640 
4.200000,3.230338 
4.233333,3.223828 
4.266666,3.230663 
4.300000,3.223503 
4.333333,3.229361 
4.366666,3.228385 
4.400000,3.224154 
4.433333,3.225781 
4.466666,3.223177 
4.500000,3.223503 
4.533333,3.230989 
4.566666,3.226107 
4.600000,3.223828 
4.633333,3.223177 
4.666666,3.223828 
4.700000,3.222201 
4.733333,3.223177 
4.766666,3.232942 
4.800000,3.229361 
4.833333,3.228710 
4.866666,3.229361 
4.900000,3.224154 
4.933333,3.222526 
4.966666,3.222852 
5.000000,3.228385 
5.033333,3.231965 
5.066666,3.219923 
5.099999,3.228059 
5.133333,3.224154 
5.166666,3.231640 
5.199999,3.228385 
5.233333,3.225456 
5.266666,3.225130 
5.299999,3.226758 
5.333333,3.224805 
5.366666,3.232616 
5.399999,3.224154 
5.433333,3.227734 
5.466666,3.225781 
5.499999,3.227409 
5.533333,3.221550 
5.566666,3.232616 
5.599999,3.222526 
5.633333,3.226107 
5.666666,3.226432 
5.699999,3.232942 
5.733333,3.229361 
5.766666,3.227409 
5.799999,3.230663 
5.833333,3.223503 
5.866666,3.227083 
5.899999,3.227734 
5.933333,3.230012 
5.966666,3.226432 
5.999999,3.231965 
6.033333,3.229036 
6.066666,3.227083 
6.099999,3.224479 
6.133333,3.233593 
6.166666,3.227734 
6.199999,3.217319 
6.233333,3.228710 
6.266666,3.221875 
6.299999,3.215366 
6.333333,3.227083 
6.366666,3.227409 
6.399999,3.225130 
6.433333,3.230989 
6.466666,3.228710 
6.499999,3.230663 
6.533333,3.230989 
6.566666,3.225456 
6.599999,3.231314 
6.633333,3.228710 
6.666666,3.232942 
6.699999,3.227734 
6.733333,3.228710 
6.766666,3.227083 
6.799999,3.222526 
6.833333,3.220574 
6.866666,3.217644 
6.899999,3.221875 
6.933333,3.229036 
6.966666,3.220248 
6.999999,3.228385 
7.033333,3.230663 
7.066666,3.231314 
7.099999,3.230989 
7.133333,3.229361 
7.166666,3.229687 
7.199999,3.227083 
7.233333,3.229687 
7.266666,3.231640 
7.299999,3.237498 
7.333333,3.228385 
7.366666,3.233918 
7.399999,3.222852 
7.433333,3.229361 
7.466666,3.222526 
7.499999,3.226107 
7.533333,3.230012 
7.566666,3.225781 
7.599999,3.226432 
7.633333,3.234243 
7.666666,3.231640 
7.699999,3.228710 
7.733333,3.233918 
7.766666,3.225130 
7.799999,3.229036 
7.833333,3.231314 
7.866666,3.224154 
7.899999,3.225130 
7.933333,3.229036 
7.966666,3.226758 
7.999999,3.230012 
8.033333,3.225781 
8.066666,3.228385 
8.099999,3.222201 
8.133333,3.228059 
8.166666,3.220899 
8.199999,3.223828 
8.233333,3.222852 
8.266666,3.216342 
8.299999,3.221225 
8.333333,3.225130 
8.366666,3.222852 
8.399999,3.231314 
8.433332,3.228059 
8.466666,3.226107 
8.499999,3.224479 
8.533332,3.229036 
8.566666,3.221225 
8.599999,3.228059 
8.633332,3.226758 
8.666666,3.231314 
8.699999,3.227734 
8.733332,3.226432 
8.766666,3.229036 
8.799999,3.228710 
8.833332,3.227083 
8.866666,3.230989 
8.899999,3.230012 
8.933332,3.221875 
8.966666,3.221875 
8.999999,3.227409 
9.033332,3.231314 
9.066666,3.226758 
9.099999,3.224805 
9.133332,3.222852 
9.166666,3.228385 
9.199999,3.226107 
9.233332,3.221875 
9.266666,3.227409 
9.299999,3.231314 
9.333332,3.215041 
9.366666,3.224479 
9.399999,3.225781 
9.433332,3.231314 
9.466666,3.229687 
9.499999,3.229361 
9.533332,3.231965 
9.566666,3.228059 
9.599999,3.223503 
9.633332,3.222852 
9.666666,3.224805 
9.699999,3.235871 
9.733332,3.228059 
9.766666,3.227734 
9.799999,3.234243 
9.833332,3.227409 
9.866666,3.220899 
9.899999,3.228710 
9.933332,3.221225 
9.966666,3.226107 
9.999999,3.230989 
10.033332,3.230338 
10.066666,3.226107 
10.099999,3.225456 
10.133332,3.229036 
10.166666,3.221875 
10.199999,3.230663 
10.233332,3.229687 
10.266666,3.232291 
10.299999,3.228059 
10.333332,3.223828 
10.366666,3.226107 
10.399999,3.228385 
10.433332,3.228385 
10.466666,3.229361 
10.499999,3.226432 
10.533332,3.228385 
10.566666,3.220574 
10.599999,3.220574 
10.633332,3.228059 
10.666666,3.224805 
10.699999,3.229687 
10.733332,3.223177 
10.766666,3.229036 
10.799999,3.230012 
10.833332,3.229036 
10.866666,3.226432 
10.899999,3.217970 
10.933332,3.230012 
10.966666,3.229687 
10.999999,3.231314 
11.033332,3.218295 
11.066666,3.230989 
11.099999,3.221225 
11.133332,3.229361 
11.166666,3.233918 
11.199999,3.221550 
11.233332,3.231314 
11.266666,3.230338 
11.299999,3.222852 
11.333332,3.223177 
11.366666,3.223503 
11.399999,3.221225 
11.433332,3.228059 
11.466666,3.222852 
11.499999,3.232942 
11.533332,3.218295 
11.566666,3.229687 
11.599999,3.223177 
11.633332,3.234894 
11.666666,3.221225 
11.699999,3.230989 
11.733332,3.228385 
11.766665,3.224154 
11.799999,3.226107 
11.833332,3.225456 
11.866665,3.231640 
11.899999,3.227734 
11.933332,3.220574 
11.966665,3.228385 
11.999999,3.223503 
12.033332,3.227083 
12.066665,3.230012 
12.099999,3.229687 
12.133332,3.230989 
12.166665,3.228710 
12.199999,3.232291 
12.233332,3.232942 
12.266665,3.225130 
12.299999,3.222526 
12.333332,3.230338 
12.366665,3.227734 
12.399999,3.220574 
12.433332,3.227734 
12.466665,3.227083 
12.499999,3.228385 
12.533332,3.221875 
12.566665,3.224805 
12.599999,3.224154 
12.633332,3.233593 
12.666665,3.223177 
12.699999,3.223828 
12.733332,3.229036 
12.766665,3.219923 
12.799999,3.225130 
12.833332,3.229036 
12.866665,3.228710 
12.899999,3.223177 
12.933332,3.227409 
12.966665,3.228059 
12.999999,3.219923 
13.033332,3.231965 
13.066665,3.229036 
13.099999,3.229687 
13.133332,3.230663 
13.166665,3.229361 
13.199999,3.231314 
13.233332,3.229036 
13.266665,3.227734 
13.299999,3.227083 
13.333332,3.227734 
13.366665,3.224805 
13.399999,3.229036 
13.433332,3.221550 
13.466665,3.224154 
13.499999,3.223177 
13.533332,3.230663 
13.566665,3.228710 
13.599999,3.225456 
13.633332,3.228385 
13.666665,3.233593 
13.699999,3.228710 
13.733332,3.218946 
13.766665,3.231640 
13.799999,3.235871 
13.833332,3.222852 
13.866665,3.230012 
13.899999,3.234243 
13.933332,3.227734 
13.966665,3.228385 
13.999999,3.225781 
14.033332,3.231640 
14.066665,3.228385 
14.099999,3.224479 
14.133332,3.229036 
14.166665,3.221875 
14.199999,3.229687 
14.233332,3.228385 
14.266665,3.226432 
14.299999,3.224154 
14.333332,3.228385 
14.366665,3.227734 
14.399999,3.230338 
14.433332,3.222852 
14.466665,3.226432 
14.499999,3.231314 
14.533332,3.231965 
14.566665,3.223828 
14.599999,3.225456 
14.633332,3.233267 
14.666665,3.227734 
14.699999,3.227734 
14.733332,3.233918 
14.766665,3.228385 
14.799999,3.218946 
14.833332,3.222526 
14.866665,3.227409 
14.899999,3.230012 
14.933332,3.225781 
14.966665,3.233918 
14.999999,3.228710 
15.033332,3.234894 
15.066665,3.228710 
15.099998,3.233918 
15.133332,3.217644 
15.166665,3.220899 
15.199998,3.238149 
15.233332,3.226432 
15.266665,3.222852 
15.299998,3.235220 
15.333332,3.224154 
15.366665,3.229361 
15.399998,3.222201 
15.433332,3.226758 
15.466665,3.227083 
15.499998,3.227734 
15.533332,3.220248 
15.566665,3.222526 
15.599998,3.231640 
15.633332,3.233267 
15.666665,3.223503 
15.699998,3.218621 
15.733332,3.230663 
15.766665,3.228059 
15.799998,3.231640 
15.833332,3.228059 
15.866665,3.224805 
15.899998,3.227734 
15.933332,3.227734 
15.966665,3.231640 
15.999998,3.233267 
16.033332,3.230338 
16.066665,3.227409 
16.099998,3.226107 
16.133332,3.225456 
16.166665,3.228710 
16.199998,3.228059 
16.233332,3.234243 
16.266665,3.226107 
16.299998,3.223177 
16.333332,3.233918 
16.366665,3.222201 
16.399998,3.225130 
16.433332,3.229036 
16.466665,3.227734 
16.499998,3.230012 
16.533332,3.222201 
16.566665,3.226758 
16.599998,3.219597 
16.633332,3.221225 
16.666665,3.228385 
16.699998,3.229687 
16.733332,3.228385 
16.766665,3.231640 
16.799998,3.228385 
16.833332,3.222201 
16.866665,3.216342 
16.899998,3.222201 
16.933332,3.212762 
16.966665,3.233593 
16.999998,3.229361 
17.033332,3.219272 
17.066665,3.222526 
17.099998,3.228710 
17.133332,3.218621 
17.166665,3.231314 
17.199998,3.226758 
17.233332,3.224479 
17.266665,3.228059 
17.299998,3.223828 
17.333332,3.227734 
17.366665,3.227409 
17.399998,3.223503 
17.433332,3.228385 
17.466665,3.231640 
17.499998,3.221875 
17.533332,3.219272 
17.566665,3.232616 
17.599998,3.223828 
17.633332,3.224479 
17.666665,3.230338 
17.699998,3.233918 
17.733332,3.230989 
17.766665,3.230989 
17.799998,3.226432 
17.833332,3.225130 
17.866665,3.230338 
17.899998,3.229687 
17.933332,3.223503 
17.966665,3.227734 
17.999998,3.228385 
18.033332,3.223177 
18.066665,3.231640 
18.099998,3.224154 
18.133332,3.230012 
18.166665,3.229687 
18.199998,3.230012 
18.233332,3.229036 
18.266665,3.231314 
18.299998,3.227083 
18.333331,3.228710 
18.366665,3.228385 
18.399998,3.231314 
18.433331,3.226107 
18.466665,3.231314 
18.499998,3.223177 
18.533331,3.225130 
18.566665,3.231965 
18.599998,3.231640 
18.633331,3.229361 
18.666665,3.233267 
18.699998,3.238800 
18.733331,3.230663 
18.766665,3.222526 
18.799998,3.227409 
18.833331,3.225781 
18.866665,3.221550 
18.899998,3.231965 
18.933331,3.230989 
18.966665,3.228710 
