Times (s),Input Voltage (v),Output Voltage (v)
0.000000,0.265607,0.089373 
0.005000,0.282809,0.094566 
0.010000,0.296765,0.098461 
0.015000,0.311370,0.104303 
0.020000,0.328247,0.108198 
0.025000,0.341229,0.113715 
0.030000,0.356808,0.119882 
0.035000,0.371413,0.123776 
0.040000,0.387965,0.128645 
0.045000,0.401921,0.133513 
0.050000,0.416850,0.138706 
0.055000,0.433078,0.144548 
0.060000,0.447034,0.148767 
0.065000,0.459692,0.153311 
0.070000,0.476569,0.158504 
0.075000,0.491498,0.164346 
0.080000,0.507402,0.168890 
0.085000,0.522980,0.174407 
0.090000,0.538234,0.178302 
0.095000,0.551541,0.184144 
0.100000,0.568743,0.188688 
0.105000,0.580102,0.193231 
0.110000,0.596005,0.199073 
0.115000,0.612558,0.203617 
0.120000,0.627163,0.207836 
0.125000,0.643066,0.214003 
0.130000,0.656373,0.218547 
0.135000,0.671627,0.223740 
0.140000,0.687855,0.228608 
0.145000,0.702135,0.234450 
0.150000,0.718363,0.238994 
0.155000,0.732319,0.243862 
0.160000,0.747249,0.248730 
0.165000,0.762178,0.254248 
0.170000,0.776459,0.258792 
0.175000,0.791388,0.264634 
0.180000,0.806642,0.268853 
0.185000,0.824168,0.274046 
0.190000,0.836177,0.278914 
0.195000,0.852080,0.284432 
0.200000,0.867983,0.288975 
0.205000,0.883562,0.294817 
0.210000,0.898167,0.298712 
0.215000,0.912123,0.304230 
0.220000,0.926079,0.309422 
0.225000,0.942956,0.313966 
0.230000,0.957236,0.319484 
0.235000,0.972815,0.323378 
0.240000,0.987420,0.329220 
0.245000,1.003648,0.334413 
0.250000,1.017279,0.339282 
0.255000,1.033182,0.343176 
0.260000,1.047787,0.348694 
0.265000,1.061419,0.354211 
0.270000,1.078620,0.358430 
0.275000,1.092901,0.363623 
0.280000,1.107506,0.368492 
0.285000,1.123409,0.374009 
0.290000,1.137689,0.379851 
0.295000,1.152294,0.384719 
0.300000,1.169496,0.389588 
0.305000,1.184425,0.394132 
0.310000,1.199030,0.400298 
0.315000,1.212337,0.403868 
0.320000,1.228890,0.409386 
0.325000,1.244468,0.415228 
0.330000,1.258424,0.420096 
0.335000,1.273029,0.423342 
0.340000,1.288608,0.428210 
0.345000,1.302564,0.434052 
0.350000,1.317169,0.439569 
0.355000,1.332098,0.443789 
0.360000,1.346379,0.448982 
0.365000,1.363905,0.453850 
0.370000,1.379159,0.459043 
0.375000,1.392790,0.463587 
0.380000,1.409343,0.468779 
0.385000,1.422650,0.474297 
0.390000,1.439527,0.479490 
0.395000,1.452509,0.483709 
0.400000,1.469710,0.489226 
0.405000,1.484964,0.494419 
0.410000,1.497622,0.499288 
0.415000,1.513201,0.503831 
0.420000,1.527806,0.509998 
0.425000,1.543060,0.514542 
0.430000,1.558963,0.520384 
0.435000,1.572270,0.523629 
0.440000,1.587524,0.529796 
0.445000,1.604401,0.534664 
0.450000,1.619331,0.538884 
0.455000,1.632962,0.543427 
0.460000,1.649190,0.548945 
0.465000,1.663146,0.554138 
0.470000,1.678075,0.559331 
0.475000,1.693329,0.564848 
0.480000,1.708908,0.569716 
0.485000,1.723838,0.574909 
0.490000,1.739741,0.580102 
0.495000,1.752723,0.584321 
0.500000,1.768302,0.589514 
0.505000,1.783231,0.595032 
0.510000,1.797512,0.599251 
0.515000,1.813090,0.604119 
0.520000,1.826722,0.609637 
0.525000,1.842950,0.613856 
0.530000,1.858528,0.619698 
0.535000,1.871511,0.625215 
0.540000,1.887738,0.629435 
0.545000,1.903317,0.633978 
0.550000,1.918896,0.639820 
0.555000,1.932527,0.645338 
0.560000,1.947457,0.648908 
0.565000,1.962711,0.654750 
0.570000,1.978290,0.659618 
0.575000,1.993544,0.664811 
0.580000,2.008798,0.669355 
0.585000,2.023727,0.674548 
0.590000,2.037683,0.680065 
0.595000,2.053911,0.684609 
0.600000,2.068192,0.690127 
0.605000,2.083446,0.694670 
0.610000,2.099024,0.699863 
0.615000,2.113954,0.705056 
0.620000,2.128234,0.709275 
0.625000,2.143489,0.715767 
0.630000,2.159716,0.720310 
0.635000,2.172699,0.725179 
0.640000,2.189575,0.729073 
0.645000,2.203856,0.735240 
0.650000,2.219435,0.740433 
0.655000,2.233391,0.745626 
0.660000,2.248969,0.749520 
0.665000,2.263250,0.755687 
0.670000,2.278828,0.760231 
0.675000,2.294407,0.765748 
0.680000,2.307065,0.770292 
0.685000,2.322643,0.774836 
0.690000,2.338871,0.780029 
0.695000,2.354125,0.785871 
0.700000,2.369055,0.790090 
0.705000,2.383985,0.794634 
0.710000,2.396642,0.800151 
0.715000,2.414493,0.804695 
0.720000,2.429098,0.810212 
0.725000,2.444027,0.814756 
0.730000,2.458957,0.818651 
0.735000,2.474211,0.824493 
0.740000,2.489141,0.830659 
0.745000,2.503746,0.835528 
0.750000,2.519000,0.840396 
0.755000,2.533929,0.844615 
0.760000,2.550482,0.850457 
0.765000,2.563464,0.855001 
0.770000,2.579367,0.860194 
0.775000,2.594297,0.865711 
0.780000,2.609226,0.869931 
0.785000,2.625454,0.875124 
0.790000,2.639086,0.879343 
0.795000,2.655638,0.886158 
0.800000,2.668945,0.890053 
0.805000,2.682576,0.895246 
0.810000,2.699128,0.900439 
0.815000,2.713084,0.904983 
0.820000,2.728988,0.909202 
0.825000,2.743593,0.915693 
0.830000,2.759171,0.921211 
0.835000,2.773776,0.925430 
0.840000,2.789355,0.930623 
0.845000,2.803960,0.935166 
0.850000,2.820188,0.940359 
0.855000,2.832846,0.944903 
0.860000,2.850372,0.949122 
0.865000,2.863354,0.954964 
0.870000,2.878932,0.959833 
0.875000,2.894511,0.964701 
0.880000,2.909765,0.969894 
0.885000,2.923721,0.975087 
0.890000,2.939300,0.978982 
0.895000,2.955203,0.985148 
0.900000,2.969484,0.990016 
0.905000,2.983764,0.995209 
0.910000,2.997720,1.000402 
0.915000,3.013948,1.004946 
0.920000,3.030176,1.010788 
0.925000,3.046403,1.015656 
0.930000,3.059061,1.020525 
0.935000,3.073991,1.025393 
0.940000,3.088920,1.029612 
0.945000,3.105148,1.035130 
0.950000,3.118130,1.039998 
0.955000,3.135656,1.045515 
0.960000,3.148963,1.050059 
0.965000,3.164866,1.055577 
0.970000,3.179147,1.061094 
0.975000,3.193752,1.065638 
0.980000,3.209980,1.070182 
0.985000,3.223936,1.075699 
0.990000,3.241137,1.080243 
0.995000,3.255742,1.085436 
1.000000,3.270022,1.090953 
1.005000,3.284952,1.096146 
1.010000,3.299233,1.100690 
1.015000,3.313838,1.104585 
1.020000,3.329741,1.111725 
1.025000,3.345969,1.115295 
1.030000,3.357653,1.119514 
1.035000,3.373556,1.124707 
1.040000,3.388485,1.130549 
1.045000,3.404389,1.135093 
1.050000,3.420292,1.140286 
1.055000,3.434248,1.145479 
1.060000,3.449827,1.150023 
1.065000,3.465405,1.155865 
1.070000,3.479361,1.160408 
1.075000,3.493642,1.165601 
1.080000,3.511168,1.170470 
1.085000,3.525448,1.175013 
1.090000,3.540053,1.180206 
1.095000,3.554658,1.185724 
1.100000,3.569263,1.189618 
1.105000,3.584193,1.194811 
1.110000,3.602368,1.200978 
1.115000,3.613727,1.205846 
1.120000,3.630929,1.210390 
1.125000,3.644885,1.215258 
1.130000,3.658516,1.219802 
1.135000,3.673121,1.225320 
1.140000,3.689673,1.230188 
1.145000,3.702331,1.234732 
1.150000,3.719857,1.240574 
1.155000,3.733164,1.245442 
1.160000,3.746795,1.250310 
1.165000,3.763348,1.255503 
1.170000,3.778602,1.261345 
1.175000,3.794830,1.266214 
1.180000,3.808785,1.270433 
1.185000,3.825987,1.275626 
1.190000,3.840917,1.280819 
1.195000,3.854223,1.285362 
1.200000,3.869477,1.291204 
1.205000,3.883433,1.295748 
1.210000,3.897714,1.300617 
1.215000,3.912643,1.305485 
1.220000,3.926275,1.310678 
1.225000,3.942178,1.315546 
1.230000,3.959055,1.320739 
1.235000,3.973011,1.324309 
1.240000,3.987616,1.331125 
1.245000,4.002870,1.335993 
1.250000,4.018773,1.339563 
1.255000,4.033054,1.345730 
1.260000,4.047983,1.350923 
1.265000,4.063562,1.356116 
1.270000,4.077518,1.361633 
1.275000,4.091798,1.365528 
1.280000,4.107052,1.370396 
1.285000,4.123605,1.375589 
1.290000,4.136912,1.381106 
1.295000,4.154113,1.386299 
1.300000,4.168394,1.389869 
1.305000,4.182674,1.396036 
1.310000,4.197604,1.401553 
1.315000,4.212533,1.405773 
1.320000,4.228112,1.410966 
1.325000,4.243041,1.415834 
1.330000,4.257646,1.420702 
1.335000,4.272576,1.426869 
1.340000,4.287181,1.430439 
1.345000,4.303733,1.435956 
1.350000,4.316716,1.440825 
1.355000,4.332943,1.445369 
1.360000,4.348847,1.451211 
1.365000,4.361829,1.455754 
1.370000,4.378381,1.461272 
1.375000,4.393960,1.465491 
1.380000,4.407591,1.470684 
1.385000,4.422196,1.475228 
1.390000,4.437126,1.480745 
1.395000,4.451731,1.485613 
1.400000,4.467310,1.491131 
1.405000,4.482564,1.496648 
1.410000,4.497169,1.501517 
1.415000,4.511125,1.506385 
1.420000,4.526703,1.510604 
1.425000,4.542282,1.516122 
1.430000,4.558834,1.520990 
1.435000,4.573764,1.526508 
1.440000,4.587395,1.531051 
1.445000,4.602000,1.536569 
1.450000,4.618553,1.540463 
1.455000,4.633807,1.545981 
1.460000,4.646789,1.551174 
1.465000,4.662368,1.556042 
1.470000,4.676973,1.561235 
1.475000,4.693201,1.566428 
1.480000,4.706832,1.571296 
1.485000,4.722735,1.576165 
1.490000,4.738963,1.581033 
1.495000,4.754542,1.586226 
1.500000,4.767199,1.591094 
1.505000,4.783103,1.595963 
1.510000,4.796085,1.601155 
1.515000,4.812313,1.606024 
1.520000,4.829190,1.611866 
1.525000,4.841523,1.616410 
1.530000,4.857426,1.620953 
1.535000,4.872031,1.626795 
1.540000,4.889232,1.631339 
1.545000,4.901890,1.636532 
1.550000,4.917793,1.640102 
1.555000,4.933048,1.646269 
1.560000,4.946030,1.651137 
1.565000,4.962258,1.655681 
1.570000,4.976863,1.660549 
1.575000,4.993090,1.666067 
1.580000,5.006073,1.670935 
1.585000,5.021651,1.676128 
1.590000,5.036581,1.681645 
1.595000,5.051186,1.686189 
1.600000,5.067089,1.691057 
1.605000,5.080721,1.695926 
1.610000,5.097597,1.700794 
1.615000,5.111878,1.705987 
1.620000,5.126807,1.711180 
1.625000,5.142386,1.716048 
1.630000,5.157316,1.721566 
1.635000,5.172245,1.725460 
1.640000,5.187499,1.730978 
1.645000,5.201780,1.736820 
1.650000,5.217034,1.741364 
1.655000,5.231964,1.745907 
1.660000,5.247542,1.750127 
1.665000,5.261498,1.756293 
1.670000,5.276428,1.762135 
1.675000,5.291682,1.766030 
1.680000,5.307261,1.771223 
1.685000,5.322515,1.776091 
1.690000,5.335822,1.780310 
1.695000,5.353023,1.786801 
1.700000,5.367303,1.791670 
1.705000,5.383531,1.795889 
1.710000,5.398461,1.801082 
1.715000,5.411443,1.806599 
1.720000,5.427346,1.812117 
1.725000,5.440978,1.816011 
1.730000,5.456232,1.820880 
1.735000,5.472135,1.826397 
1.740000,5.487065,1.831266 
1.745000,5.501345,1.836783 
1.750000,5.516599,1.841976 
1.755000,5.531204,1.846520 
1.760000,5.546458,1.852037 
1.765000,5.561388,1.856256 
1.770000,5.576967,1.860800 
1.775000,5.592221,1.866318 
1.780000,5.607150,1.870537 
1.785000,5.621755,1.876703 
