#Digilent WaveForms Logger
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-09 14:05:12
#Sample rate: 20Hz
#Samples: 200
Time (s),Channel 1 (V)
0.000000,1.092682
0.050000,1.095740
0.100000,1.080899
0.150000,1.082133
0.200000,1.090521
0.250000,1.084836
0.300000,1.086052
0.350000,1.080192
0.400000,1.089082
0.450000,1.082240
0.500000,1.095110
0.550000,1.086142
0.600000,1.098736
0.650000,1.087892
0.700000,1.089615
0.750000,1.093705
0.800000,1.086844
0.850000,1.096955
0.900000,1.089810
0.950000,1.091061
1.000000,1.088372
1.050000,1.093281
1.100000,1.088711
1.150000,1.085892
1.200000,1.084895
1.250000,1.090358
1.300000,1.087863
1.350000,1.085916
1.400000,1.085200
1.450000,1.087932
1.500000,1.091238
1.550000,1.082436
1.600000,1.092060
1.650000,1.097470
1.700000,1.081493
1.750000,1.093299
1.800000,1.081574
1.850000,1.095910
1.900000,1.105890
1.950000,1.101001
2.000000,1.083815
2.050000,1.105407
2.100000,1.094092
2.150000,1.081094
2.200000,1.081702
2.250000,1.093496
2.300000,1.085988
2.350000,1.089029
2.400000,1.085162
2.450000,1.090116
2.500000,1.091306
2.550000,1.088558
2.600000,1.084411
2.650000,1.089267
2.700000,1.085094
2.750000,1.086453
2.800000,1.090263
2.850000,1.093938
2.900000,1.090451
2.950000,1.092106
3.000000,1.093496
3.050000,1.084856
3.100000,1.084219
3.150000,1.069174
3.200000,1.099391
3.250000,1.089711
3.300000,1.091559
3.350000,1.087384
3.400000,1.097035
3.450000,1.087928
3.500000,1.100724
3.550000,1.086705
3.600000,1.087388
3.650000,1.073532
3.700000,1.084435
3.750000,1.093486
3.800000,1.089471
3.850000,1.098461
3.900000,1.104681
3.950000,1.095349
4.000000,1.086398
4.050000,1.081485
4.100000,1.082696
4.150000,1.088700
4.200000,1.096212
4.250000,1.090022
4.300000,1.086098
4.350000,1.082252
4.400000,1.087605
4.450000,1.088495
4.500000,1.085669
4.550000,1.083663
4.600000,1.087037
4.650000,1.091758
4.700000,1.097727
4.750000,1.095631
4.800000,1.090185
4.850000,1.084489
4.900000,1.091160
4.950000,1.097928
5.000000,1.091705
5.050000,1.096563
5.100000,1.093182
5.150000,1.086872
5.200000,1.087414
5.250000,1.092875
5.300000,1.097247
5.350000,1.085349
5.400000,1.087371
5.450000,1.079259
5.500000,1.087701
5.550000,1.083264
5.600000,1.091099
5.650000,1.084798
5.700000,1.092006
5.750000,1.089941
5.800000,1.080191
5.850000,1.084000
5.900000,1.076494
5.950000,1.085281
6.000000,1.092083
6.050000,1.098242
6.100000,1.092932
6.150000,1.083566
6.200000,1.081030
6.250000,1.083098
6.300000,1.086270
6.350000,1.088451
6.400000,1.090263
6.450000,1.085910
6.500000,1.084636
6.550000,1.084401
6.600000,1.078467
6.650000,1.091987
6.700000,1.087962
6.750000,1.098094
6.800000,1.091250
6.850000,1.092557
6.900000,1.098303
6.950000,1.104233
7.000000,1.081478
7.050000,1.078603
7.100000,1.085058
7.150000,1.086283
7.200000,1.093933
7.250000,1.094229
7.300000,1.094676
7.350000,1.090504
7.400000,1.082842
7.450000,1.087816
7.500000,1.088926
7.550000,1.081542
7.600000,1.104912
7.650000,1.069361
7.700000,1.088569
7.750000,1.090363
7.800000,1.090716
7.850000,1.082669
7.900000,1.099635
7.950000,1.092706
8.000000,1.086175
8.050000,1.087853
8.100000,1.088296
8.150000,1.090622
8.200000,1.085439
8.250000,1.086326
8.300000,1.078997
8.350000,1.088779
8.400000,1.101554
8.450000,1.091977
8.500000,1.093636
8.550000,1.083790
8.600000,1.095139
8.650000,1.085579
8.700000,1.096421
8.750000,1.077080
8.800000,1.088444
8.850000,1.084739
8.900000,1.085513
8.950000,1.091470
9.000000,1.094412
9.050000,1.091976
9.100000,1.083732
9.150000,1.073604
9.200000,1.087252
9.250000,1.082389
9.300000,1.094094
9.350000,1.088986
9.400000,1.087714
9.450000,1.086591
9.500000,1.076661
9.550000,1.090002
9.600000,1.090132
9.650000,1.085139
9.700000,1.097895
9.750000,1.100316
9.800000,1.085430
9.850000,1.087342
9.900000,1.085953
9.950000,1.082883
