#Digilent WaveForms Logger
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-09 14:05:12
#Sample rate: 20Hz
#Samples: 200
Time (s),Channel 1 (V)
0.000000,2.430198
0.050000,2.438613
0.100000,2.444155
0.150000,2.449749
0.200000,2.438797
0.250000,2.442741
0.300000,2.448067
0.350000,2.444436
0.400000,2.446091
0.450000,2.443545
0.500000,2.442498
0.550000,2.443144
0.600000,2.440011
0.650000,2.440840
0.700000,2.438659
0.750000,2.438094
0.800000,2.434491
0.850000,2.441793
0.900000,2.434778
0.950000,2.446621
1.000000,2.441350
1.050000,2.433186
1.100000,2.436361
1.150000,2.434354
1.200000,2.437234
1.250000,2.433559
1.300000,2.442113
1.350000,2.443427
1.400000,2.436432
1.450000,2.437884
1.500000,2.427056
1.550000,2.445000
1.600000,2.441516
1.650000,2.441825
1.700000,2.443329
1.750000,2.444386
1.800000,2.427191
1.850000,2.437153
1.900000,2.444536
1.950000,2.450536
2.000000,2.446827
2.050000,2.439869
2.100000,2.439239
2.150000,2.432998
2.200000,2.441228
2.250000,2.434051
2.300000,2.438430
2.350000,2.440481
2.400000,2.435971
2.450000,2.433636
2.500000,2.434952
2.550000,2.443888
2.600000,2.431573
2.650000,2.438057
2.700000,2.445835
2.750000,2.440646
2.800000,2.445894
2.850000,2.447056
2.900000,2.447881
2.950000,2.439065
3.000000,2.446777
3.050000,2.446673
3.100000,2.441681
3.150000,2.442111
3.200000,2.429322
3.250000,2.438487
3.300000,2.436752
3.350000,2.439301
3.400000,2.440270
3.450000,2.442920
3.500000,2.440219
3.550000,2.439672
3.600000,2.444293
3.650000,2.449982
3.700000,2.442274
3.750000,2.450623
3.800000,2.442683
3.850000,2.430445
3.900000,2.436376
3.950000,2.450455
4.000000,2.431600
4.050000,2.445177
4.100000,2.436679
4.150000,2.425338
4.200000,2.432521
4.250000,2.442485
4.300000,2.435709
4.350000,2.433718
4.400000,2.444073
4.450000,2.426359
4.500000,2.434278
4.550000,2.438535
4.600000,2.433621
4.650000,2.432520
4.700000,2.440233
4.750000,2.440188
4.800000,2.437444
4.850000,2.434039
4.900000,2.441033
4.950000,2.441391
5.000000,2.438661
5.050000,2.430028
5.100000,2.451611
5.150000,2.449376
5.200000,2.429323
5.250000,2.434576
5.300000,2.430703
5.350000,2.431727
5.400000,2.440555
5.450000,2.449628
5.500000,2.445093
5.550000,2.435865
5.600000,2.450534
5.650000,2.441576
5.700000,2.429952
5.750000,2.434036
5.800000,2.437642
5.850000,2.432891
5.900000,2.434588
5.950000,2.433659
6.000000,2.439746
6.050000,2.436969
6.100000,2.427755
6.150000,2.437033
6.200000,2.444125
6.250000,2.441233
6.300000,2.442975
6.350000,2.439080
6.400000,2.440389
6.450000,2.438885
6.500000,2.445979
6.550000,2.439023
6.600000,2.437741
6.650000,2.437222
6.700000,2.444776
6.750000,2.437622
6.800000,2.443549
6.850000,2.436424
6.900000,2.439601
6.950000,2.444455
7.000000,2.429594
7.050000,2.434561
7.100000,2.433593
7.150000,2.438611
7.200000,2.432075
7.250000,2.436987
7.300000,2.449585
7.350000,2.431562
7.400000,2.440491
7.450000,2.437047
7.500000,2.445394
7.550000,2.452375
7.600000,2.436899
7.650000,2.436899
7.700000,2.438086
7.750000,2.428292
7.800000,2.427014
7.850000,2.435759
7.900000,2.443146
7.950000,2.436583
8.000000,2.443697
8.050000,2.441604
8.100000,2.438886
8.150000,2.438445
8.200000,2.429132
8.250000,2.440249
8.300000,2.427460
8.350000,2.443635
8.400000,2.438730
8.450000,2.443552
8.500000,2.436326
8.550000,2.447009
8.600000,2.434309
8.650000,2.437574
8.700000,2.439326
8.750000,2.442319
8.800000,2.446242
8.850000,2.434295
8.900000,2.435915
8.950000,2.438381
9.000000,2.445095
9.050000,2.441341
9.100000,2.427253
9.150000,2.445191
9.200000,2.437879
9.250000,2.443462
9.300000,2.439715
9.350000,2.432112
9.400000,2.445070
9.450000,2.432447
9.500000,2.444434
9.550000,2.433179
9.600000,2.433201
9.650000,2.434480
9.700000,2.437195
9.750000,2.440036
9.800000,2.440904
9.850000,2.436741
9.900000,2.444599
9.950000,2.439420
