#Digilent WaveForms Logger
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-09 14:05:12
#Sample rate: 100Hz
#Samples: 2000
Time (s),Channel 1 (V)
0.000000,2.622803
0.010000,2.624149
0.020000,2.624078
0.030000,2.626057
0.040000,2.622854
0.050000,2.622320
0.060000,2.622442
0.070000,2.621785
0.080000,2.619575
0.090000,2.623244
0.100000,2.622418
0.110000,2.620206
0.120000,2.621293
0.130000,2.622989
0.140000,2.622237
0.150000,2.622935
0.160000,2.623438
0.170000,2.621609
0.180000,2.622453
0.190000,2.621192
0.200000,2.623380
0.210000,2.622871
0.220000,2.621755
0.230000,2.621616
0.240000,2.622271
0.250000,2.619780
0.260000,2.620617
0.270000,2.619735
0.280000,2.619001
0.290000,2.620263
0.300000,2.620437
0.310000,2.620255
0.320000,2.624460
0.330000,2.622148
0.340000,2.620697
0.350000,2.620945
0.360000,2.620633
0.370000,2.621681
0.380000,2.621840
0.390000,2.624016
0.400000,2.619172
0.410000,2.622960
0.420000,2.619376
0.430000,2.623829
0.440000,2.622289
0.450000,2.621377
0.460000,2.622486
0.470000,2.621084
0.480000,2.623609
0.490000,2.620469
0.500000,2.621567
0.510000,2.622997
0.520000,2.624732
0.530000,2.619411
0.540000,2.622892
0.550000,2.620415
0.560000,2.622762
0.570000,2.621118
0.580000,2.623972
0.590000,2.618935
0.600000,2.622029
0.610000,2.623512
0.620000,2.623695
0.630000,2.622456
0.640000,2.622208
0.650000,2.622727
0.660000,2.621820
0.670000,2.620541
0.680000,2.621342
0.690000,2.620832
0.700000,2.621952
0.710000,2.622369
0.720000,2.622820
0.730000,2.622385
0.740000,2.620023
0.750000,2.621986
0.760000,2.621514
0.770000,2.619560
0.780000,2.624328
0.790000,2.626134
0.800000,2.623362
0.810000,2.622578
0.820000,2.622635
0.830000,2.621812
0.840000,2.624571
0.850000,2.624363
0.860000,2.621746
0.870000,2.619251
0.880000,2.622238
0.890000,2.624211
0.900000,2.625077
0.910000,2.620900
0.920000,2.622777
0.930000,2.622818
0.940000,2.623210
0.950000,2.622834
0.960000,2.620741
0.970000,2.622430
0.980000,2.623770
0.990000,2.623584
1.000000,2.622743
1.010000,2.623802
1.020000,2.620795
1.030000,2.625944
1.040000,2.621724
1.050000,2.620365
1.060000,2.620651
1.070000,2.623452
1.080000,2.622376
1.090000,2.622097
1.100000,2.619354
1.110000,2.621045
1.120000,2.622139
1.130000,2.623775
1.140000,2.623830
