Time (s),Channel 1 (V)
0.000000000000000000e+00,1.203047170797544307e+00
5.000000000000000278e-02,1.189600158937595076e+00
1.000000000000000056e-01,1.207504511958064519e+00
1.500000000000000222e-01,1.209405647163912079e+00
2.000000000000000111e-01,1.180489648113461687e+00
2.500000000000000000e-01,1.186978204931376846e+00
3.000000000000000444e-01,1.201278404031672853e+00
3.500000000000000333e-01,1.196837574076564215e+00
4.000000000000000222e-01,1.199831988424957085e+00
4.500000000000000111e-01,1.191469560724264243e+00
5.000000000000000000e-01,1.208793979748628233e+00
5.500000000000000444e-01,1.207777919354289464e+00
6.000000000000000888e-01,1.200660306975612102e+00
6.500000000000000222e-01,1.211272412069680282e+00
7.000000000000000666e-01,1.204675093422520327e+00
7.500000000000000000e-01,1.191407075371167634e+00
8.000000000000000444e-01,1.203687507840824900e+00
8.500000000000000888e-01,1.190411173991710037e+00
9.000000000000000222e-01,1.208784503013072609e+00
9.500000000000000666e-01,1.199500740890137473e+00
1.000000000000000000e+00,1.198151376364547271e+00
1.050000000000000044e+00,1.193190704555960435e+00
1.100000000000000089e+00,1.212225413386740280e+00
1.150000000000000133e+00,1.198454705179311963e+00
1.200000000000000178e+00,1.195716721778368852e+00
1.250000000000000000e+00,1.196478664495117750e+00
1.300000000000000044e+00,1.205323091855533546e+00
1.350000000000000089e+00,1.203654440643640688e+00
1.400000000000000133e+00,1.204127326115959740e+00
1.450000000000000178e+00,1.204308210030078818e+00
1.500000000000000000e+00,1.221416476008704510e+00
1.550000000000000044e+00,1.195935849836153864e+00
1.600000000000000089e+00,1.194877572709284630e+00
1.650000000000000133e+00,1.191862272717521209e+00
1.700000000000000178e+00,1.206159794225754922e+00
1.750000000000000000e+00,1.211289722927208823e+00
1.800000000000000044e+00,1.198860525423451229e+00
1.850000000000000089e+00,1.191598435230374786e+00
1.900000000000000133e+00,1.191755187843087649e+00
1.950000000000000178e+00,1.206505927878247064e+00
2.000000000000000000e+00,1.207432541712034402e+00
2.050000000000000266e+00,1.205431542683051971e+00
2.100000000000000089e+00,1.193344902927113038e+00
2.149999999999999911e+00,1.202321613230667108e+00
2.200000000000000178e+00,1.201166858091407219e+00
2.250000000000000000e+00,1.202186885967290175e+00
2.300000000000000266e+00,1.208714287779481866e+00
2.350000000000000089e+00,1.202235955487746866e+00
2.400000000000000355e+00,1.206789135630718990e+00
2.450000000000000178e+00,1.200675790694888834e+00
2.500000000000000000e+00,1.202891193986899809e+00
2.550000000000000266e+00,1.206312882258385288e+00
2.600000000000000089e+00,1.185428441801443356e+00
2.650000000000000355e+00,1.196803287836426977e+00
2.700000000000000178e+00,1.195296273457072012e+00
2.750000000000000000e+00,1.193611221517566490e+00
2.800000000000000266e+00,1.197248577487733057e+00
2.850000000000000089e+00,1.214949413112343946e+00
2.900000000000000355e+00,1.191341688843067459e+00
2.950000000000000178e+00,1.209682783545914742e+00
3.000000000000000000e+00,1.183171302283841930e+00
3.050000000000000266e+00,1.196651149700142192e+00
3.100000000000000089e+00,1.201627530651049991e+00
3.150000000000000355e+00,1.205862223313592718e+00
3.200000000000000178e+00,1.207112265797928519e+00
3.250000000000000000e+00,1.207933472351999216e+00
3.300000000000000266e+00,1.196512749277515608e+00
3.350000000000000089e+00,1.195376482073354341e+00
3.400000000000000355e+00,1.208579758812571514e+00
3.450000000000000178e+00,1.198086956751183818e+00
3.500000000000000000e+00,1.187243136766620744e+00
3.550000000000000266e+00,1.188667127859965200e+00
3.600000000000000089e+00,1.190805477139983859e+00
3.650000000000000355e+00,1.204971607440537662e+00
3.700000000000000178e+00,1.201424257360705683e+00
3.750000000000000000e+00,1.206904853540677669e+00
3.800000000000000266e+00,1.195727473536634555e+00
3.850000000000000089e+00,1.201585396910767045e+00
3.900000000000000355e+00,1.206255903939673413e+00
3.950000000000000178e+00,1.196906534602797612e+00
4.000000000000000000e+00,1.204567752375574008e+00
4.049999999999999822e+00,1.193380740589333522e+00
4.100000000000000533e+00,1.196369461534349199e+00
4.150000000000000355e+00,1.196182621060016604e+00
4.200000000000000178e+00,1.188041603544109481e+00
4.250000000000000000e+00,1.204869724807855702e+00
4.299999999999999822e+00,1.195305976597972775e+00
4.350000000000000533e+00,1.200124941187276750e+00
4.400000000000000355e+00,1.204807466589059128e+00
4.450000000000000178e+00,1.204465311760299473e+00
4.500000000000000000e+00,1.206653851089727780e+00
4.549999999999999822e+00,1.199015145154905815e+00
4.600000000000000533e+00,1.195767016879558442e+00
4.650000000000000355e+00,1.199202817890935968e+00
4.700000000000000178e+00,1.183126655660419635e+00
4.750000000000000000e+00,1.185528875275769112e+00
4.800000000000000711e+00,1.186773003876455901e+00
4.850000000000000533e+00,1.190027531723985232e+00
4.900000000000000355e+00,1.203997742267234328e+00
4.950000000000000178e+00,1.190945209446399256e+00
