#Digilent WaveForms Oscilloscope Record
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-16 14:22:41
#Sample rate: 1000Hz
#Samples: 15000
Time (s),Channel 1 (V),Channel 2 (V)
0.000000,2.628971,1.728536
0.001000,2.632024,1.718234
0.002000,2.632098,1.717429
0.003000,2.632082,1.731225
0.004000,2.635180,1.722475
0.005000,2.634067,1.719678
0.006000,2.632487,1.718947
0.007000,2.631838,1.729213
0.008000,2.633389,1.717031
0.009000,2.633655,1.730047
0.010000,2.630741,1.721516
0.011000,2.630374,1.720205
0.012000,2.632659,1.717301
0.013000,2.634706,1.724073
0.014000,2.632690,1.715408
0.015000,2.633074,1.724407
0.016000,2.631316,1.713408
0.017000,2.630796,1.729329
0.018000,2.630767,1.726023
0.019000,2.629301,1.714172
0.020000,2.630518,1.720274
0.021000,2.630698,1.717810
0.022000,2.632830,1.731316
0.023000,2.629138,1.725388
0.024000,2.632609,1.716648
0.025000,2.636176,1.700795
0.026000,2.631319,1.732200
0.027000,2.631677,1.706037
0.028000,2.629299,1.718853
0.029000,2.634531,1.720205
0.030000,2.633186,1.720130
0.031000,2.631522,1.717102
0.032000,2.629210,1.717551
0.033000,2.632069,1.715679
0.034000,2.634754,1.720700
0.035000,2.629871,1.722853
0.036000,2.634073,1.725818
0.037000,2.630882,1.729364
0.038000,2.631493,1.743358
0.039000,2.631581,1.739078
0.040000,2.631343,1.729277
0.041000,2.631341,1.715718
0.042000,2.632402,1.718493
0.043000,2.630075,1.735485
0.044000,2.631632,1.727949
0.045000,2.630218,1.714940
0.046000,2.632694,1.712607
0.047000,2.630240,1.704875
0.048000,2.631939,1.721182
0.049000,2.632322,1.719911
0.050000,2.629434,1.721219
0.051000,2.632599,1.714978
0.052000,2.632044,1.710557
0.053000,2.630286,1.725860
0.054000,2.634453,1.716259
0.055000,2.631675,1.727593
0.056000,2.631870,1.725156
0.057000,2.634339,1.719263
0.058000,2.633151,1.715601
0.059000,2.631814,1.720969
0.060000,2.632593,1.713643
0.061000,2.632812,1.712503
0.062000,2.631364,1.730026
0.063000,2.633467,1.731213
0.064000,2.630010,1.714261
0.065000,2.632629,1.731449
0.066000,2.634001,1.715380
0.067000,2.633388,1.719235
0.068000,2.634124,1.717976
0.069000,2.633084,1.722601
0.070000,2.633197,1.730160
0.071000,2.633284,1.704973
0.072000,2.631149,1.726925
0.073000,2.630134,1.721467
0.074000,2.631168,1.728852
0.075000,2.633617,1.713400
0.076000,2.633184,1.719465
0.077000,2.632064,1.712073
0.078000,2.629239,1.722536
0.079000,2.632101,1.712716
0.080000,2.632006,1.716406
0.081000,2.631604,1.722782
0.082000,2.630223,1.712866
0.083000,2.634890,1.715351
0.084000,2.631680,1.721472
0.085000,2.632022,1.733462
0.086000,2.631522,1.726391
0.087000,2.631185,1.711724
0.088000,2.631219,1.727872
0.089000,2.632516,1.715440
0.090000,2.632344,1.731422
0.091000,2.631143,1.714237
0.092000,2.631279,1.722535
0.093000,2.632406,1.731642
0.094000,2.632855,1.719326
0.095000,2.630755,1.715779
0.096000,2.632477,1.719532
0.097000,2.632983,1.728203
0.098000,2.631173,1.718164
0.099000,2.631800,1.715272
0.100000,2.628810,1.709786
0.101000,2.633264,1.727959
0.102000,2.630168,1.718370
0.103000,2.633284,1.721860
0.104000,2.632363,1.718953
0.105000,2.629515,1.722500
0.106000,2.630701,1.729563
0.107000,2.629223,1.700343
0.108000,2.631664,1.726826
0.109000,2.631097,1.729367
0.110000,2.631768,1.720285
0.111000,2.630959,1.729656
0.112000,2.632435,1.715555
0.113000,2.628629,1.725280
0.114000,2.631590,1.722305
0.115000,2.633251,1.725140
0.116000,2.631852,1.717632
0.117000,2.633215,1.725659
0.118000,2.632312,1.727112
0.119000,2.634220,1.713412
0.120000,2.634077,1.735620
0.121000,2.633892,1.719698
0.122000,2.631637,1.731381
0.123000,2.632175,1.709877
0.124000,2.632011,1.725583
0.125000,2.631318,1.726299
0.126000,2.632537,1.724501
0.127000,2.631804,1.719011
0.128000,2.631437,1.726565
0.129000,2.630619,1.714876
0.130000,2.632993,1.711968
0.131000,2.631010,1.729493
0.132000,2.631236,1.705559
0.133000,2.631637,1.726412
0.134000,2.633943,1.737591
0.135000,2.632306,1.707241
0.136000,2.635472,1.723987
0.137000,2.633042,1.717736
0.138000,2.633700,1.724932
0.139000,2.631598,1.721959
0.140000,2.628557,1.714136
0.141000,2.635014,1.716286
0.142000,2.631821,1.733476
0.143000,2.631352,1.728980
0.144000,2.631748,1.705721
0.145000,2.632619,1.713549
0.146000,2.631669,1.711699
0.147000,2.632094,1.730874
0.148000,2.630335,1.708329
0.149000,2.631229,1.719739
0.150000,2.632265,1.717989
0.151000,2.631525,1.723922
0.152000,2.633484,1.727009
0.153000,2.632657,1.719796
0.154000,2.631632,1.736451
0.155000,2.632454,1.731874
0.156000,2.631727,1.711506
0.157000,2.632001,1.719439
0.158000,2.631440,1.718944
0.159000,2.632289,1.719628
0.160000,2.632476,1.712711
0.161000,2.632762,1.732772
0.162000,2.631123,1.708058
0.163000,2.633279,1.721028
0.164000,2.635171,1.725373
0.165000,2.631326,1.724185
0.166000,2.632700,1.716916
0.167000,2.631477,1.712824
0.168000,2.633096,1.724271
0.169000,2.631977,1.717853
0.170000,2.632087,1.714747
0.171000,2.630619,1.715372
0.172000,2.632306,1.737511
0.173000,2.634618,1.728628
0.174000,2.632193,1.724980
0.175000,2.631810,1.724591
0.176000,2.631026,1.718389
0.177000,2.630530,1.710301
0.178000,2.632228,1.711268
0.179000,2.630105,1.710827
0.180000,2.633935,1.722367
0.181000,2.633669,1.721140
0.182000,2.632152,1.718479
0.183000,2.630473,1.735367
0.184000,2.629152,1.716473
0.185000,2.633090,1.716284
0.186000,2.634821,1.711196
0.187000,2.630860,1.735497
0.188000,2.630801,1.731360
0.189000,2.632231,1.714105
0.190000,2.633862,1.722653
0.191000,2.634964,1.726810
0.192000,2.631163,1.710334
0.193000,2.631719,1.728841
0.194000,2.631023,1.713599
0.195000,2.631966,1.724809
0.196000,2.633686,1.728792
0.197000,2.631910,1.729912
0.198000,2.632981,1.717813
0.199000,2.631504,1.740162
0.200000,2.633830,1.714848
0.201000,2.633528,1.710653
0.202000,2.632350,1.723379
0.203000,2.630718,1.714203
0.204000,2.635060,1.726036
0.205000,2.630335,1.714989
0.206000,2.634052,1.716737
0.207000,2.632064,1.716305
0.208000,2.630512,1.716491
0.209000,2.629305,1.729977
0.210000,2.629662,1.711174
0.211000,2.632484,1.725264
0.212000,2.631203,1.716177
0.213000,2.631832,1.719608
0.214000,2.631424,1.731171
0.215000,2.630660,1.727698
0.216000,2.630071,1.716933
0.217000,2.634004,1.715892
0.218000,2.633280,1.722157
0.219000,2.632891,1.718558
0.220000,2.632941,1.728733
0.221000,2.631216,1.728734
0.222000,2.631376,1.706854
0.223000,2.632930,1.719075
0.224000,2.632060,1.733490
0.225000,2.631500,1.725371
0.226000,2.631930,1.723238
0.227000,2.631416,1.721584
0.228000,2.632504,1.720761
0.229000,2.632476,1.725469
0.230000,2.634030,1.725829
0.231000,2.630917,1.725696
0.232000,2.632259,1.732598
0.233000,2.629953,1.725999
0.234000,2.631534,1.721821
0.235000,2.633467,1.726581
0.236000,2.630595,1.737604
0.237000,2.633790,1.716282
0.238000,2.633553,1.728252
0.239000,2.634500,1.728092
0.240000,2.630958,1.733526
0.241000,2.635540,1.730154
0.242000,2.631026,1.732840
0.243000,2.632386,1.720778
0.244000,2.631710,1.720292
0.245000,2.631843,1.723210
0.246000,2.631602,1.715722
0.247000,2.634078,1.719989
0.248000,2.630892,1.715765
0.249000,2.632858,1.730466
0.250000,2.631683,1.712085
0.251000,2.632960,1.718995
0.252000,2.630861,1.735276
0.253000,2.632587,1.733921
0.254000,2.631089,1.708435
0.255000,2.629274,1.716204
0.256000,2.633508,1.696789
0.257000,2.631819,1.737856
0.258000,2.631054,1.726723
0.259000,2.631988,1.719792
0.260000,2.632152,1.718740
0.261000,2.632737,1.723058
0.262000,2.632120,1.714174
0.263000,2.630876,1.724225
0.264000,2.630805,1.713284
0.265000,2.632164,1.721036
0.266000,2.632045,1.723337
0.267000,2.629611,1.730122
0.268000,2.634099,1.721197
0.269000,2.629698,1.721851
0.270000,2.631191,1.723045
0.271000,2.630733,1.712259
0.272000,2.634427,1.716964
0.273000,2.633741,1.724833
0.274000,2.632554,1.729124
0.275000,2.632635,1.718281
0.276000,2.631690,1.719758
0.277000,2.630920,1.712339
0.278000,2.630366,1.721958
0.279000,2.633836,1.733391
0.280000,2.632768,1.730422
0.281000,2.632857,1.720466
0.282000,2.629382,1.722122
0.283000,2.633030,1.725731
0.284000,2.630328,1.725929
0.285000,2.633394,1.732367
0.286000,2.632839,1.730203
0.287000,2.631197,1.718573
0.288000,2.632902,1.732309
0.289000,2.632183,1.705680
0.290000,2.629486,1.733741
0.291000,2.633060,1.719626
0.292000,2.631139,1.720906
0.293000,2.633725,1.713348
0.294000,2.631069,1.731940
0.295000,2.629730,1.720002
0.296000,2.634470,1.731791
0.297000,2.632053,1.721798
0.298000,2.630945,1.722880
0.299000,2.631299,1.727169
0.300000,2.632762,1.722489
0.301000,2.631967,1.719650
0.302000,2.632950,1.719152
0.303000,2.632067,1.709748
0.304000,2.633857,1.720335
0.305000,2.632468,1.738359
0.306000,2.631715,1.727989
0.307000,2.633395,1.724357
0.308000,2.633297,1.714807
0.309000,2.629765,1.718891
0.310000,2.632545,1.714385
0.311000,2.631712,1.729637
0.312000,2.630296,1.725986
0.313000,2.633635,1.721460
0.314000,2.631984,1.722833
0.315000,2.631671,1.723165
0.316000,2.632221,1.709780
0.317000,2.632010,1.718833
0.318000,2.630653,1.721485
0.319000,2.631267,1.716584
0.320000,2.632188,1.732949
0.321000,2.630715,1.721633
0.322000,2.632080,1.734695
0.323000,2.631065,1.719524
0.324000,2.632696,1.723046
0.325000,2.633621,1.719495
0.326000,2.632195,1.730328
0.327000,2.629957,1.738629
0.328000,2.633513,1.738992
0.329000,2.633201,1.709453
0.330000,2.630247,1.734659
0.331000,2.634227,1.730614
0.332000,2.631570,1.726185
0.333000,2.631655,1.718363
0.334000,2.635547,1.722575
0.335000,2.632016,1.719405
0.336000,2.632788,1.715077
0.337000,2.632134,1.728949
0.338000,2.632918,1.730155
0.339000,2.630173,1.730910
0.340000,2.630563,1.729971
0.341000,2.631165,1.713715
0.342000,2.630857,1.723605
0.343000,2.629421,1.729739
0.344000,2.630543,1.721506
0.345000,2.631610,1.725560
0.346000,2.633869,1.717939
0.347000,2.630989,1.716311
0.348000,2.632136,1.716875
0.349000,2.630816,1.709658
0.350000,2.632796,1.727664
0.351000,2.628464,1.731728
0.352000,2.633292,1.714660
0.353000,2.630949,1.723169
0.354000,2.633879,1.732476
0.355000,2.634059,1.707634
0.356000,2.633129,1.737845
0.357000,2.633613,1.723996
0.358000,2.633232,1.718165
0.359000,2.633212,1.720950
0.360000,2.631978,1.722807
0.361000,2.632283,1.727115
0.362000,2.631779,1.715563
0.363000,2.631604,1.714962
0.364000,2.631428,1.709427
0.365000,2.631405,1.715214
0.366000,2.630995,1.729545
0.367000,2.633118,1.716562
0.368000,2.630121,1.732151
0.369000,2.634090,1.720082
0.370000,2.630726,1.698684
0.371000,2.632916,1.727805
0.372000,2.630916,1.719111
0.373000,2.632817,1.718141
0.374000,2.632236,1.707127
0.375000,2.630935,1.726123
0.376000,2.629449,1.715324
0.377000,2.631450,1.736596
0.378000,2.632513,1.728417
0.379000,2.632043,1.721642
0.380000,2.631646,1.721653
0.381000,2.630543,1.724880
0.382000,2.631086,1.732300
0.383000,2.633488,1.724629
0.384000,2.631874,1.725696
0.385000,2.630424,1.712683
0.386000,2.630576,1.723676
0.387000,2.633232,1.737562
0.388000,2.633422,1.722594
0.389000,2.631962,1.723506
0.390000,2.632166,1.716465
0.391000,2.632365,1.710609
0.392000,2.633849,1.729117
0.393000,2.634432,1.726570
0.394000,2.629577,1.710767
0.395000,2.631138,1.717689
0.396000,2.631606,1.709171
0.397000,2.632791,1.725744
0.398000,2.631046,1.727209
0.399000,2.633192,1.724533
0.400000,2.632846,1.732634
0.401000,2.631687,1.747808
0.402000,2.633213,1.741776
0.403000,2.633039,1.720519
0.404000,2.630370,1.713340
0.405000,2.634731,1.718752
0.406000,2.632742,1.711560
0.407000,2.633204,1.730017
0.408000,2.633969,1.715899
0.409000,2.630258,1.730997
0.410000,2.630567,1.726561
0.411000,2.632664,1.728295
0.412000,2.631243,1.726171
0.413000,2.631547,1.716843
0.414000,2.630082,1.711229
0.415000,2.632304,1.706677
0.416000,2.630594,1.717798
0.417000,2.633811,1.720084
0.418000,2.631569,1.707900
0.419000,2.634718,1.719275
0.420000,2.632007,1.702641
0.421000,2.632437,1.716121
0.422000,2.633460,1.712541
0.423000,2.631744,1.727495
0.424000,2.634272,1.718947
0.425000,2.632486,1.714533
0.426000,2.632799,1.711151
0.427000,2.632127,1.719473
0.428000,2.633354,1.729235
0.429000,2.632211,1.736214
0.430000,2.631507,1.733037
0.431000,2.631257,1.720096
0.432000,2.632623,1.697971
0.433000,2.631999,1.721433
0.434000,2.631513,1.725647
0.435000,2.631334,1.723872
0.436000,2.632017,1.715894
0.437000,2.632843,1.723956
0.438000,2.630643,1.714734
0.439000,2.633049,1.715008
0.440000,2.634401,1.724285
0.441000,2.630407,1.713691
0.442000,2.633358,1.719039
0.443000,2.630427,1.734083
0.444000,2.634011,1.729411
0.445000,2.636506,1.714113
0.446000,2.635284,1.707302
0.447000,2.630987,1.705000
0.448000,2.636385,1.728660
0.449000,2.633557,1.715321
0.450000,2.630307,1.713777
0.451000,2.630459,1.717848
0.452000,2.633408,1.714837
0.453000,2.631531,1.721481
0.454000,2.632291,1.727620
0.455000,2.631324,1.728472
0.456000,2.632563,1.739741
0.457000,2.632860,1.725194
0.458000,2.632173,1.714643
0.459000,2.631136,1.727514
0.460000,2.632350,1.732154
0.461000,2.631307,1.713146
0.462000,2.631647,1.725385
0.463000,2.632599,1.736404
0.464000,2.633518,1.736913
0.465000,2.632646,1.725711
0.466000,2.633060,1.712971
0.467000,2.633408,1.733595
0.468000,2.631248,1.720828
0.469000,2.631088,1.729808
0.470000,2.627327,1.720185
0.471000,2.634881,1.727230
0.472000,2.632461,1.719236
0.473000,2.632923,1.730065
0.474000,2.631880,1.715936
0.475000,2.634292,1.718782
0.476000,2.632016,1.726752
0.477000,2.635215,1.721331
0.478000,2.631710,1.725062
0.479000,2.631881,1.723225
0.480000,2.628417,1.720929
0.481000,2.631142,1.703440
0.482000,2.633405,1.718140
0.483000,2.632401,1.709565
0.484000,2.634649,1.715909
0.485000,2.636204,1.725808
0.486000,2.633871,1.711712
0.487000,2.631633,1.715514
0.488000,2.630405,1.718169
0.489000,2.630708,1.729054
0.490000,2.632209,1.727731
0.491000,2.634086,1.722385
0.492000,2.632539,1.740384
0.493000,2.631558,1.725085
0.494000,2.630597,1.730907
0.495000,2.631935,1.721601
0.496000,2.632157,1.716428
0.497000,2.631451,1.729130
0.498000,2.630949,1.729141
0.499000,2.631793,1.717836
0.500000,2.632973,1.732247
0.501000,2.634465,1.715713
0.502000,2.633941,1.720515
0.503000,2.632580,1.708489
0.504000,2.631156,1.711929
0.505000,2.632824,1.725915
0.506000,2.634516,1.727897
0.507000,2.632960,1.716790
0.508000,2.634174,1.710633
0.509000,2.633329,1.711728
0.510000,2.631752,1.720229
0.511000,2.631887,1.714414
0.512000,2.633252,1.717633
0.513000,2.634345,1.728663
0.514000,2.631371,1.725773
0.515000,2.631876,1.743051
0.516000,2.629848,1.724521
0.517000,2.631959,1.736935
0.518000,2.630850,1.717950
0.519000,2.632808,1.736296
0.520000,2.631233,1.716553
0.521000,2.633035,1.730069
0.522000,2.632519,1.711931
0.523000,2.630081,1.719841
0.524000,2.631034,1.709926
0.525000,2.629157,1.730570
0.526000,2.631354,1.703481
0.527000,2.633054,1.709309
0.528000,2.634594,1.715469
0.529000,2.633267,1.712047
0.530000,2.630925,1.722619
0.531000,2.630291,1.722975
0.532000,2.630808,1.730231
0.533000,2.631601,1.726942
0.534000,2.632146,1.739281
0.535000,2.632599,1.725243
0.536000,2.631511,1.732451
0.537000,2.631193,1.720850
0.538000,2.631134,1.708099
0.539000,2.629650,1.723489
0.540000,2.633030,1.726236
0.541000,2.632024,1.707275
0.542000,2.634557,1.712710
0.543000,2.632846,1.712176
0.544000,2.633173,1.717004
0.545000,2.634609,1.729999
0.546000,2.636092,1.712022
0.547000,2.630403,1.726620
0.548000,2.629684,1.716079
0.549000,2.631298,1.726685
0.550000,2.631604,1.721761
0.551000,2.633517,1.731133
0.552000,2.633591,1.722885
0.553000,2.633703,1.719026
0.554000,2.632659,1.730978
0.555000,2.630744,1.709091
0.556000,2.631988,1.718580
0.557000,2.632265,1.712735
0.558000,2.630419,1.730446
0.559000,2.636262,1.721126
0.560000,2.627374,1.718822
0.561000,2.632176,1.712085
0.562000,2.632624,1.712861
0.563000,2.632713,1.723378
0.564000,2.630701,1.724652
0.565000,2.634942,1.723706
0.566000,2.633210,1.717120
0.567000,2.631577,1.708329
0.568000,2.631997,1.719153
0.569000,2.632108,1.714903
0.570000,2.632689,1.710945
0.571000,2.631393,1.727119
0.572000,2.631615,1.709068
0.573000,2.629783,1.714238
0.574000,2.632228,1.731962
0.575000,2.635422,1.735552
0.576000,2.633028,1.714417
0.577000,2.633443,1.722998
0.578000,2.630981,1.738931
0.579000,2.633818,1.724085
0.580000,2.631428,1.716147
0.581000,2.634139,1.710184
0.582000,2.629304,1.713632
0.583000,2.632145,1.724253
0.584000,2.631218,1.729697
