# Time (s),Channel 1 (V)
0.000000000000000000e+00,6.412598850669888328e-01
1.000000000000000021e-03,4.034451770170342400e+00
2.000000000000000042e-03,1.430452595659319703e+00
3.000000000000000062e-03,2.988438873940928886e+00
4.000000000000000083e-03,2.631338411628963758e+00
5.000000000000000104e-03,1.758007498589860385e+00
6.000000000000000125e-03,3.778163880506053118e+00
7.000000000000000146e-03,8.043839379196175976e-01
8.000000000000000167e-03,4.441286981861272132e+00
8.999999999999999320e-03,5.070876393249441616e-01
1.000000000000000021e-02,4.352395098792126937e+00
1.099999999999999936e-02,9.637455025160209798e-01
1.200000000000000025e-02,3.571942917039191645e+00
1.299999999999999940e-02,2.011147626118495957e+00
1.400000000000000029e-02,2.366868625889915645e+00
1.499999999999999944e-02,3.240879414605148501e+00
1.600000000000000033e-02,1.219501431931186541e+00
1.700000000000000122e-02,4.191834067906334838e+00
1.799999999999999864e-02,5.611386778744350545e-01
1.899999999999999953e-02,4.502709466336938249e+00
2.000000000000000042e-02,6.430550608377846311e-01
2.100000000000000130e-02,4.036760454968537637e+00
2.199999999999999872e-02,1.432323056803872730e+00
2.299999999999999961e-02,2.989529234303194283e+00
2.400000000000000050e-02,2.632597867242126188e+00
2.500000000000000139e-02,1.754089512582490462e+00
2.599999999999999881e-02,3.780126054975414540e+00
2.699999999999999969e-02,8.088778022152457448e-01
2.800000000000000058e-02,4.438809459947455238e+00
2.900000000000000147e-02,5.031445813944903644e-01
2.999999999999999889e-02,4.357838267514972941e+00
3.099999999999999978e-02,9.616398257217028123e-01
3.200000000000000067e-02,3.566972187164605845e+00
3.300000000000000155e-02,2.010094950846657902e+00
3.400000000000000244e-02,2.371516944990371911e+00
3.500000000000000333e-02,3.244035391787033706e+00
3.599999999999999728e-02,1.221708208686427044e+00
3.699999999999999817e-02,4.194334735328763664e+00
3.799999999999999906e-02,5.588882979862881406e-01
3.899999999999999994e-02,4.497410441921373625e+00
4.000000000000000083e-02,6.401139428253973529e-01
4.100000000000000172e-02,4.032233336495189668e+00
4.200000000000000261e-02,1.431320386344234308e+00
4.299999999999999656e-02,2.989102715203785898e+00
4.399999999999999745e-02,2.631369039431488144e+00
4.499999999999999833e-02,1.757947935663943362e+00
4.599999999999999922e-02,3.778140014704287619e+00
4.700000000000000011e-02,8.082324128829040388e-01
4.800000000000000100e-02,4.436778802235680885e+00
4.900000000000000189e-02,4.999560837353907439e-01
5.000000000000000278e-02,4.359315902122544273e+00
5.099999999999999672e-02,9.612006264351460327e-01
5.199999999999999761e-02,3.567659736173030449e+00
5.299999999999999850e-02,2.013191081762261359e+00
5.399999999999999939e-02,2.365295934657257515e+00
5.500000000000000028e-02,3.243315928188363895e+00
5.600000000000000117e-02,1.214581786441772060e+00
5.700000000000000205e-02,4.191018716209446104e+00
5.800000000000000294e-02,5.604562788014415542e-01
5.899999999999999689e-02,4.491799531114131661e+00
5.999999999999999778e-02,6.450165714980119480e-01
6.099999999999999867e-02,4.039688557959455473e+00
6.199999999999999956e-02,1.432225553722118239e+00
6.300000000000000044e-02,2.989702402502861123e+00
6.400000000000000133e-02,2.633290475789666907e+00
6.500000000000000222e-02,1.762579290139001609e+00
6.600000000000000311e-02,3.778679033357591699e+00
6.700000000000000400e-02,8.098765828781000486e-01
6.800000000000000488e-02,4.439137271540422702e+00
6.900000000000000577e-02,5.016198498617453483e-01
7.000000000000000666e-02,4.357821873724367912e+00
7.099999999999999367e-02,9.645572386784481145e-01
7.199999999999999456e-02,3.566664009127650470e+00
7.299999999999999545e-02,2.006864485353311967e+00
7.399999999999999634e-02,2.366672502034759429e+00
7.499999999999999722e-02,3.242991981591658135e+00
7.599999999999999811e-02,1.220998616754201738e+00
7.699999999999999900e-02,4.195844658425013307e+00
7.799999999999999989e-02,5.597674832328923822e-01
7.900000000000000078e-02,4.495548387412299896e+00
8.000000000000000167e-02,6.433331839971537791e-01
8.100000000000000255e-02,4.039053611169789448e+00
8.200000000000000344e-02,1.438257657531608613e+00
8.300000000000000433e-02,2.989408054399981474e+00
8.400000000000000522e-02,2.633449459513863111e+00
8.500000000000000611e-02,1.761806157361771596e+00
8.599999999999999312e-02,3.777883647391657718e+00
8.699999999999999400e-02,8.061745579193665412e-01
8.799999999999999489e-02,4.436335605073794319e+00
8.899999999999999578e-02,5.036542209610451737e-01
8.999999999999999667e-02,4.355719396512096608e+00
9.099999999999999756e-02,9.647758537402855161e-01
9.199999999999999845e-02,3.567972359777822344e+00
9.299999999999999933e-02,2.004483449063467315e+00
9.400000000000000022e-02,2.368488309300515127e+00
9.500000000000000111e-02,3.246465354423214045e+00
9.600000000000000200e-02,1.215660152851954168e+00
9.700000000000000289e-02,4.193927258229587451e+00
9.800000000000000377e-02,5.601981943182828827e-01
9.900000000000000466e-02,4.499611103177910465e+00
1.000000000000000056e-01,6.433495572395532269e-01
1.010000000000000064e-01,4.036998185704807618e+00
1.019999999999999934e-01,1.432692823772564017e+00
1.029999999999999943e-01,2.990618841759252522e+00
1.039999999999999952e-01,2.633247489529746854e+00
1.049999999999999961e-01,1.761685020122202516e+00
1.059999999999999970e-01,3.779752141053305703e+00
1.069999999999999979e-01,8.142690270944237252e-01
1.079999999999999988e-01,4.434220406955384775e+00
1.089999999999999997e-01,5.029916151902092958e-01
1.100000000000000006e-01,4.358448258896033600e+00
1.110000000000000014e-01,9.631358214033900467e-01
1.120000000000000023e-01,3.570096263436041362e+00
1.130000000000000032e-01,2.008631216799813046e+00
1.140000000000000041e-01,2.370542434250602071e+00
1.150000000000000050e-01,3.245406077684392265e+00
1.160000000000000059e-01,1.216484566273395407e+00
1.170000000000000068e-01,4.190455087223383224e+00
1.179999999999999938e-01,5.622166805432506909e-01
1.189999999999999947e-01,4.494524362960091501e+00
1.199999999999999956e-01,6.409764784237034219e-01
1.209999999999999964e-01,4.033067211501876415e+00
1.219999999999999973e-01,1.437029672871205754e+00
1.229999999999999982e-01,2.994412520735143968e+00
1.239999999999999991e-01,2.632239981221733860e+00
1.250000000000000000e-01,1.765390928304359841e+00
1.260000000000000009e-01,3.777207205022082182e+00
1.270000000000000018e-01,8.066811326715803698e-01
1.280000000000000027e-01,4.438902178416060273e+00
1.290000000000000036e-01,5.025007195564059614e-01
1.300000000000000044e-01,4.363406793790649552e+00
1.310000000000000053e-01,9.629531419277300719e-01
1.320000000000000062e-01,3.565039313965710832e+00
1.330000000000000071e-01,2.009911420880712729e+00
1.340000000000000080e-01,2.367828229464373102e+00
1.350000000000000089e-01,3.242285418100520289e+00
1.360000000000000098e-01,1.217673817815378756e+00
1.370000000000000107e-01,4.190176474523327421e+00
1.380000000000000115e-01,5.624072568453014620e-01
1.390000000000000124e-01,4.496544579048872059e+00
1.400000000000000133e-01,6.476367519854115962e-01
1.409999999999999865e-01,4.035119598383212214e+00
1.419999999999999873e-01,1.429460747689859756e+00
1.429999999999999882e-01,2.989031580027279311e+00
1.439999999999999891e-01,2.630731547546093285e+00
1.449999999999999900e-01,1.756037160776983796e+00
1.459999999999999909e-01,3.779586621551077386e+00
1.469999999999999918e-01,8.091117387942258210e-01
1.479999999999999927e-01,4.441632237014417228e+00
1.489999999999999936e-01,5.026171226769828859e-01
1.499999999999999944e-01,4.360305302939940120e+00
1.509999999999999953e-01,9.617863531303716407e-01
1.519999999999999962e-01,3.562670976850522031e+00
1.529999999999999971e-01,2.010904234511639910e+00
1.539999999999999980e-01,2.367362174900747185e+00
1.549999999999999989e-01,3.237511615231869477e+00
1.559999999999999998e-01,1.221288256227545554e+00
1.570000000000000007e-01,4.190215832327192302e+00
1.580000000000000016e-01,5.625001451415243547e-01
1.590000000000000024e-01,4.498318940507473940e+00
1.600000000000000033e-01,6.409955726645296670e-01
1.610000000000000042e-01,4.040999330057788441e+00
1.620000000000000051e-01,1.433415612073541068e+00
1.630000000000000060e-01,2.994468143051020714e+00
1.640000000000000069e-01,2.631188505755211793e+00
1.650000000000000078e-01,1.756219157939906683e+00
1.660000000000000087e-01,3.779583408633565789e+00
1.670000000000000095e-01,8.030827005057719070e-01
1.680000000000000104e-01,4.443036422739653268e+00
1.690000000000000113e-01,5.025280650024767093e-01
1.700000000000000122e-01,4.358161083924382062e+00
1.710000000000000131e-01,9.617142199255791501e-01
1.719999999999999862e-01,3.570479994075824504e+00
1.729999999999999871e-01,2.005767139102825336e+00
1.739999999999999880e-01,2.369766952138541161e+00
1.749999999999999889e-01,3.241875350978594916e+00
1.759999999999999898e-01,1.222346601444282754e+00
1.769999999999999907e-01,4.191971309085109176e+00
1.779999999999999916e-01,5.574552385838811297e-01
1.789999999999999925e-01,4.496617591209154163e+00
1.799999999999999933e-01,6.393220692161878382e-01
1.809999999999999942e-01,4.030782850868861900e+00
1.819999999999999951e-01,1.436459009996969627e+00
1.829999999999999960e-01,2.992622852610538065e+00
1.839999999999999969e-01,2.630524619553288979e+00
1.849999999999999978e-01,1.762521893610449641e+00
1.859999999999999987e-01,3.784476010606253826e+00
1.869999999999999996e-01,8.098585821262400675e-01
1.880000000000000004e-01,4.441354560752648339e+00
1.890000000000000013e-01,5.122598387848962265e-01
1.900000000000000022e-01,4.355556836643107665e+00
1.910000000000000031e-01,9.597964119295343544e-01
1.920000000000000040e-01,3.568371126108110136e+00
1.930000000000000049e-01,2.006474245533770073e+00
1.940000000000000058e-01,2.365785429862928613e+00
1.950000000000000067e-01,3.243526748233281687e+00
1.960000000000000075e-01,1.217753623731637314e+00
1.970000000000000084e-01,4.196494744528799892e+00
1.980000000000000093e-01,5.653167976571992215e-01
1.990000000000000102e-01,4.493221123835140496e+00
2.000000000000000111e-01,6.476446179696151439e-01
2.010000000000000120e-01,4.035199015533840416e+00
2.020000000000000129e-01,1.437636746631813844e+00
2.030000000000000138e-01,2.993299134451034238e+00
2.039999999999999869e-01,2.636274157309827171e+00
2.049999999999999878e-01,1.760343149421125686e+00
2.059999999999999887e-01,3.778138963062745326e+00
2.069999999999999896e-01,8.095617512961290618e-01
2.079999999999999905e-01,4.437860854530282673e+00
2.089999999999999913e-01,5.046423449257255722e-01
2.099999999999999922e-01,4.356341172328194844e+00
2.109999999999999931e-01,9.607215568562820218e-01
2.119999999999999940e-01,3.567199757123782344e+00
2.129999999999999949e-01,2.003976101743927263e+00
2.139999999999999958e-01,2.366772129507250799e+00
2.149999999999999967e-01,3.244041141479061530e+00
2.159999999999999976e-01,1.216242719601330791e+00
2.169999999999999984e-01,4.193704288206792974e+00
2.179999999999999993e-01,5.620573264136839997e-01
2.190000000000000002e-01,4.494021003491289967e+00
2.200000000000000011e-01,6.427071064983325144e-01
2.210000000000000020e-01,4.038129481252920705e+00
2.220000000000000029e-01,1.432435770976201450e+00
2.230000000000000038e-01,2.993598192128980706e+00
2.240000000000000047e-01,2.631290137336637525e+00
2.250000000000000056e-01,1.757443975618291354e+00
2.260000000000000064e-01,3.781826247444146194e+00
2.270000000000000073e-01,8.088832810421611175e-01
2.280000000000000082e-01,4.443793534737594975e+00
2.290000000000000091e-01,4.995878521249683679e-01
2.300000000000000100e-01,4.360282136774762840e+00
2.310000000000000109e-01,9.614944730300007958e-01
2.320000000000000118e-01,3.562879934318190500e+00
2.330000000000000127e-01,2.006329894502019151e+00
2.340000000000000135e-01,2.370221318634536001e+00
2.349999999999999867e-01,3.245554152720549368e+00
2.359999999999999876e-01,1.218740104301294869e+00
2.369999999999999885e-01,4.191525031821252689e+00
2.379999999999999893e-01,5.593886840071032873e-01
2.389999999999999902e-01,4.502676229002218200e+00
2.399999999999999911e-01,6.467846682003156600e-01
2.409999999999999920e-01,4.036932937083009598e+00
2.419999999999999929e-01,1.434125201261851501e+00
2.429999999999999938e-01,2.989605405215269851e+00
