# Time (s),Channel 1 (V)
0.000000000000000000e+00,5.002295809238232138e+00
2.222222222222222099e-01,4.998949127343809806e+00
4.444444444444444198e-01,5.001723637763161534e+00
6.666666666666666297e-01,4.997701175125076389e+00
8.888888888888888395e-01,-2.284300913949509348e-03
1.111111111111111160e+00,5.722521080810713100e-04
1.333333333333333259e+00,-8.678058583468771124e-04
1.555555555555555580e+00,2.612632536253127122e-03
1.777777777777777679e+00,1.876326323155512595e-04
2.000000000000000000e+00,5.000617298459784088e+00
2.222222222222222321e+00,4.999147369844187949e+00
2.444444444444444642e+00,5.002401132467753975e+00
2.666666666666666519e+00,4.999935668277350587e+00
2.888888888888888840e+00,4.447744973292790983e-03
3.111111111111111160e+00,3.566601994943073757e-04
3.333333333333333481e+00,-3.926413925726643904e-03
3.555555555555555358e+00,-5.733467620331095423e-03
3.777777777777777679e+00,3.339747851414742535e-04
4.000000000000000000e+00,5.005005927106780383e+00
4.222222222222222321e+00,4.997314688735208676e+00
4.444444444444444642e+00,5.004992098938594758e+00
4.666666666666666963e+00,5.001808932502391336e+00
4.888888888888889284e+00,-4.558674355397722942e-03
5.111111111111110716e+00,-9.845909514383116307e-04
5.333333333333333037e+00,9.230745812841001374e-04
5.555555555555555358e+00,-1.566007775302745300e-03
5.777777777777777679e+00,-2.335005327194391287e-04
6.000000000000000000e+00,4.998040414450344748e+00
6.222222222222222321e+00,4.999194536882851203e+00
6.444444444444444642e+00,5.002568503984858417e+00
6.666666666666666963e+00,5.001999551195910776e+00
6.888888888888889284e+00,1.537790486645082989e-03
7.111111111111110716e+00,-3.374256116236941470e-03
7.333333333333333037e+00,-4.734394364426052979e-03
7.555555555555555358e+00,-2.331361960728808684e-03
7.777777777777777679e+00,-3.200400506976609511e-03
8.000000000000000000e+00,4.999160766485432283e+00
8.222222222222221433e+00,4.998365168555857885e+00
8.444444444444444642e+00,5.005105731012391423e+00
8.666666666666666075e+00,4.999080475119578537e+00
8.888888888888889284e+00,-6.629529237739546256e-03
9.111111111111110716e+00,-1.173520558038406228e-03
9.333333333333333925e+00,1.882190994691011797e-03
9.555555555555555358e+00,2.696577561811741575e-03
9.777777777777778567e+00,5.609771049039318988e-03
1.000000000000000000e+01,4.995525732643393724e+00
1.022222222222222143e+01,5.000734563361043605e+00
1.044444444444444464e+01,4.996854571375348719e+00
1.066666666666666607e+01,4.996894578536105413e+00
1.088888888888888928e+01,-3.707461625218495035e-03
1.111111111111111072e+01,-2.013944144785009219e-03
1.133333333333333393e+01,-2.599816928844783659e-03
1.155555555555555536e+01,1.678756343810001300e-03
1.177777777777777857e+01,1.507183589375173929e-03
1.200000000000000000e+01,5.002497501010539693e+00
1.222222222222222143e+01,4.994809240727420274e+00
1.244444444444444464e+01,5.002849769398736157e+00
1.266666666666666607e+01,5.000194476703198276e+00
1.288888888888888928e+01,1.764464423275403698e-04
1.311111111111111072e+01,2.847828621984630957e-04
1.333333333333333393e+01,-4.450196629624924259e-03
1.355555555555555536e+01,-3.435194314984862224e-04
1.377777777777777857e+01,-1.511470452817310125e-03
1.400000000000000000e+01,5.002206974869142009e+00
1.422222222222222143e+01,5.005829136867876450e+00
1.444444444444444464e+01,4.997762124209960355e+00
1.466666666666666607e+01,5.002433149243066701e+00
1.488888888888888928e+01,-1.661523838521598980e-03
1.511111111111111072e+01,-8.384341553578450673e-04
1.533333333333333393e+01,1.707784547785199097e-03
1.555555555555555536e+01,-8.489644191415243431e-04
1.577777777777777857e+01,-3.806869757761039298e-03
1.600000000000000000e+01,4.999218260675127645e+00
1.622222222222222143e+01,5.002754319404401961e+00
1.644444444444444287e+01,4.999391731214712919e+00
1.666666666666666785e+01,5.001112045890794278e+00
1.688888888888888928e+01,2.733719726452053258e-04
1.711111111111111072e+01,5.639121873165024420e-04
1.733333333333333215e+01,1.711446617902965053e-03
1.755555555555555713e+01,1.525902514196824918e-04
1.777777777777777857e+01,2.147613935655491926e-03
1.800000000000000000e+01,5.003568456894763372e+00
1.822222222222222143e+01,5.002909661234065553e+00
1.844444444444444287e+01,4.997221329291454239e+00
1.866666666666666785e+01,5.008831303749925468e+00
1.888888888888888928e+01,4.997981776132321037e-03
1.911111111111111072e+01,1.936671014551452977e-03
1.933333333333333215e+01,-3.259129791240064286e-03
1.955555555555555713e+01,3.251981742372699047e-03
1.977777777777777857e+01,1.537708790003924951e-03
