# set_V,vin_V,vout_V
-5.000000000000000000e+00,-4.996029544770321351e+00,-1.079718299432624740e+01
-4.750000000000000000e+00,-4.744703115049898834e+00,-1.079737283148801552e+01
-4.500000000000000000e+00,-4.494953887156878380e+00,-1.079761999633890568e+01
-4.250000000000000000e+00,-4.245368234179047739e+00,-1.080062678538017273e+01
-4.000000000000000000e+00,-3.996304739831287201e+00,-1.079990987847964767e+01
-3.750000000000000000e+00,-3.744015770773875040e+00,-1.080012774923104679e+01
-3.500000000000000000e+00,-3.495927646465356364e+00,-1.059317663580894475e+01
-3.250000000000000000e+00,-3.245945490904908581e+00,-9.834518199797221527e+00
-3.000000000000000000e+00,-2.996412076783630418e+00,-9.078462042168926160e+00
-2.750000000000000000e+00,-2.746791831070327650e+00,-8.321916868099110687e+00
-2.500000000000000000e+00,-2.496973830620358381e+00,-7.565974461282490182e+00
-2.250000000000000000e+00,-2.246481833560177943e+00,-6.805774946776015355e+00
-2.000000000000000000e+00,-1.996773367406133648e+00,-6.051386337704893315e+00
-1.750000000000000000e+00,-1.747614308443543596e+00,-5.294051340539738248e+00
-1.500000000000000000e+00,-1.497741389012583246e+00,-4.536482018860671594e+00
-1.250000000000000000e+00,-1.247340456126385444e+00,-3.776373613544503627e+00
-1.000000000000000000e+00,-9.973010962568810145e-01,-3.021523354979661846e+00
-7.500000000000000000e-01,-7.486211756856168131e-01,-2.260268572238552487e+00
-5.000000000000000000e-01,-4.979024654975773290e-01,-1.506474412597714752e+00
-2.500000000000000000e-01,-2.478330127338697619e-01,-7.485641826934442689e-01
0.000000000000000000e+00,1.001802812303912490e-03,5.666893984033973333e-03
2.500000000000000000e-01,2.511361481379137395e-01,7.586463128313599702e-01
5.000000000000000000e-01,4.993418511196339171e-01,1.524288990689983692e+00
7.500000000000000000e-01,7.515168314892992640e-01,2.277065365233039262e+00
1.000000000000000000e+00,9.996657489265147190e-01,3.033473050357995415e+00
1.250000000000000000e+00,1.251127710150936156e+00,3.791035593610369681e+00
1.500000000000000000e+00,1.500436539947344494e+00,4.549229589173703125e+00
1.750000000000000000e+00,1.748717637910121914e+00,5.304996699719995767e+00
2.000000000000000000e+00,1.999150308684547683e+00,6.062596975818887124e+00
2.250000000000000000e+00,2.248161771285011046e+00,6.817285161708388053e+00
2.500000000000000000e+00,2.499263601284656744e+00,7.575511190395217476e+00
2.750000000000000000e+00,2.748761233148265593e+00,8.333926207582747381e+00
3.000000000000000000e+00,2.998919200459745582e+00,9.089972783783585086e+00
3.250000000000000000e+00,3.248287877050265671e+00,9.849618844353527081e+00
3.500000000000000000e+00,3.498874787041305279e+00,1.060555031902122991e+01
3.750000000000000000e+00,3.746645227501616660e+00,1.079936697471021567e+01
4.000000000000000000e+00,3.998024067262630599e+00,1.080046299205250371e+01
4.250000000000000000e+00,4.248709952710811422e+00,1.079949337030933165e+01
4.500000000000000000e+00,4.497763830877076430e+00,1.079985834288610924e+01
4.750000000000000000e+00,4.748290696709140057e+00,1.079911033362392025e+01
5.000000000000000000e+00,4.997609216758726269e+00,1.080024219444191758e+01
