# Time (s),Channel 1 (V)
0.000000000000000000e+00,1.361494270071972545e+00
2.000000000000000042e-02,1.361370553093922187e+00
4.000000000000000083e-02,1.360579817301726502e+00
5.999999999999999778e-02,1.361028863675389555e+00
8.000000000000000167e-02,1.359209091344499409e+00
1.000000000000000056e-01,1.361244437248448680e+00
1.199999999999999956e-01,1.361294027070095503e+00
1.400000000000000133e-01,1.361283295670525417e+00
1.600000000000000033e-01,1.363348606315636147e+00
1.799999999999999933e-01,1.362606929397696787e+00
2.000000000000000111e-01,1.361553294851709950e+00
2.200000000000000011e-01,1.361120606829592905e+00
2.399999999999999911e-01,1.362154930073324222e+00
2.600000000000000089e-01,1.362332179939623522e+00
2.800000000000000266e-01,1.360388996979972953e+00
2.999999999999999889e-01,1.360144676304034350e+00
3.200000000000000067e-01,1.361668145131613494e+00
3.400000000000000244e-01,1.363032556341178037e+00
3.599999999999999867e-01,1.361688944097015908e+00
3.800000000000000044e-01,1.361944553956880410e+00
4.000000000000000222e-01,1.360772527609506177e+00
4.199999999999999845e-01,1.360425899038122388e+00
4.400000000000000022e-01,1.360406767454469978e+00
4.600000000000000200e-01,1.359429560992739150e+00
4.799999999999999822e-01,1.360240733253841094e+00
5.000000000000000000e-01,1.360360878784292238e+00
5.200000000000000178e-01,1.361782200103737850e+00
5.400000000000000355e-01,1.359320573650887765e+00
5.600000000000000533e-01,1.361634623947365785e+00
5.799999999999999600e-01,1.364012532962445734e+00
5.999999999999999778e-01,1.360774799640526167e+00
6.199999999999999956e-01,1.361013131907265361e+00
6.400000000000000133e-01,1.359428055937931701e+00
6.600000000000000311e-01,1.362915797713462496e+00
6.800000000000000488e-01,1.362019168452930362e+00
6.999999999999999556e-01,1.360909807863444065e+00
7.199999999999999734e-01,1.359368500843360916e+00
7.399999999999999911e-01,1.361274793262337024e+00
7.600000000000000089e-01,1.363064978365537749e+00
7.800000000000000266e-01,1.359809092111214923e+00
8.000000000000000444e-01,1.362610509108359569e+00
