# Time (s),Channel 1 (V)
0.000000000000000000e+00,1.363046073751174259e+00
1.000000000000000021e-03,1.364653534917596556e+00
2.000000000000000042e-03,1.364166860340591425e+00
3.000000000000000062e-03,1.363569743070112583e+00
4.000000000000000083e-03,1.363102154972684055e+00
5.000000000000000104e-03,1.365590446622599874e+00
6.000000000000000125e-03,1.362868668221499879e+00
7.000000000000000146e-03,1.363146257988677057e+00
8.000000000000000167e-03,1.363677340911249258e+00
8.999999999999999320e-03,1.362533121282783810e+00
1.000000000000000021e-02,1.362599755192498430e+00
1.099999999999999936e-02,1.363388891039601258e+00
1.200000000000000025e-02,1.363697549748452920e+00
1.299999999999999940e-02,1.363017723179776652e+00
1.400000000000000029e-02,1.363686683880495076e+00
1.499999999999999944e-02,1.365572654137483743e+00
1.600000000000000033e-02,1.364266629952305632e+00
1.700000000000000122e-02,1.364293962553333905e+00
1.799999999999999864e-02,1.363712239350612032e+00
1.899999999999999953e-02,1.364234668267080730e+00
2.000000000000000042e-02,1.363157641272154885e+00
2.100000000000000130e-02,1.364172182613126783e+00
2.199999999999999872e-02,1.363534766339830728e+00
2.299999999999999961e-02,1.361441633390575889e+00
2.400000000000000050e-02,1.364009561553079619e+00
2.500000000000000139e-02,1.362215604557037052e+00
2.599999999999999881e-02,1.363533831676949193e+00
2.699999999999999969e-02,1.363511558505807741e+00
2.800000000000000058e-02,1.364645375450994846e+00
2.900000000000000147e-02,1.363286192028103860e+00
2.999999999999999889e-02,1.363055513859155354e+00
3.099999999999999978e-02,1.362249172415272991e+00
3.200000000000000067e-02,1.364451306873212477e+00
3.300000000000000155e-02,1.364394344504790801e+00
3.400000000000000244e-02,1.365645429237116959e+00
3.500000000000000333e-02,1.362868637406730921e+00
3.599999999999999728e-02,1.364236849246781791e+00
3.699999999999999817e-02,1.364648170465902144e+00
3.799999999999999906e-02,1.365066638006506849e+00
3.899999999999999994e-02,1.364647319848909524e+00
4.000000000000000083e-02,1.363489296587770960e+00
4.100000000000000172e-02,1.363417905142940256e+00
4.200000000000000261e-02,1.364017360607200580e+00
4.299999999999999656e-02,1.363912984471623790e+00
4.399999999999999745e-02,1.364046474669229125e+00
4.499999999999999833e-02,1.363515834287916562e+00
4.599999999999999922e-02,1.365215910510482411e+00
4.700000000000000011e-02,1.364629957675548955e+00
4.800000000000000100e-02,1.363780389947885086e+00
4.900000000000000189e-02,1.364069772773147005e+00
5.000000000000000278e-02,1.363185420710605777e+00
5.099999999999999672e-02,1.365057911489415465e+00
5.199999999999999761e-02,1.363948239720219391e+00
5.299999999999999850e-02,1.362403316274432896e+00
5.399999999999999939e-02,1.365108403392981229e+00
5.500000000000000028e-02,1.365074042067830451e+00
5.600000000000000117e-02,1.364156186065537568e+00
5.700000000000000205e-02,1.364783685885697651e+00
5.800000000000000294e-02,1.364268180858678958e+00
5.899999999999999689e-02,1.365025253727311316e+00
5.999999999999999778e-02,1.363831053726002551e+00
6.099999999999999867e-02,1.365180304285569024e+00
6.199999999999999956e-02,1.363204278486008336e+00
6.300000000000000044e-02,1.363803759118601189e+00
6.400000000000000133e-02,1.365229438433585685e+00
6.500000000000000222e-02,1.362304412056981606e+00
6.600000000000000311e-02,1.365409487792601295e+00
6.700000000000000400e-02,1.364252399223023993e+00
6.800000000000000488e-02,1.363344437918184271e+00
6.900000000000000577e-02,1.363426315779115994e+00
7.000000000000000666e-02,1.363350151825704515e+00
7.099999999999999367e-02,1.363555409705939692e+00
7.199999999999999456e-02,1.364815344353987880e+00
7.299999999999999545e-02,1.363240966110442320e+00
7.399999999999999634e-02,1.363409903554895219e+00
7.499999999999999722e-02,1.363929619636126800e+00
7.599999999999999811e-02,1.363126015945230529e+00
7.699999999999999900e-02,1.362996825019713087e+00
7.799999999999999989e-02,1.363709551264217001e+00
7.900000000000000078e-02,1.363445244968363168e+00
8.000000000000000167e-02,1.363675401558354316e+00
8.100000000000000255e-02,1.363141286971028876e+00
8.200000000000000344e-02,1.361519691378212826e+00
8.300000000000000433e-02,1.363198854506129987e+00
8.400000000000000522e-02,1.361764492557229644e+00
8.500000000000000611e-02,1.364315114314992083e+00
8.599999999999999312e-02,1.363065238373391885e+00
8.699999999999999400e-02,1.363297636946013913e+00
8.799999999999999489e-02,1.364024947706726998e+00
8.899999999999999578e-02,1.362622077513628183e+00
8.999999999999999667e-02,1.364447199950304057e+00
9.099999999999999756e-02,1.364370029878893220e+00
9.199999999999999845e-02,1.363514820536749550e+00
9.299999999999999933e-02,1.364095585598753546e+00
9.400000000000000022e-02,1.364049340621961148e+00
9.500000000000000111e-02,1.364177689322067399e+00
9.600000000000000200e-02,1.363625183558061282e+00
9.700000000000000289e-02,1.364214370859927472e+00
9.800000000000000377e-02,1.362836342606227547e+00
9.900000000000000466e-02,1.364019776588707877e+00
1.000000000000000056e-01,1.363240544404921151e+00
1.010000000000000064e-01,1.364036522580283073e+00
1.019999999999999934e-01,1.364806615508383558e+00
1.029999999999999943e-01,1.363284358874834679e+00
1.039999999999999952e-01,1.363130593279512581e+00
1.049999999999999961e-01,1.362691642740389897e+00
1.059999999999999970e-01,1.364249442191744821e+00
1.069999999999999979e-01,1.363926842801570061e+00
1.079999999999999988e-01,1.362814786877760254e+00
1.089999999999999997e-01,1.364615354036743167e+00
1.100000000000000006e-01,1.361268602273216777e+00
1.110000000000000014e-01,1.363460209555468872e+00
1.120000000000000023e-01,1.364966582967711561e+00
1.130000000000000032e-01,1.362412528387829891e+00
1.140000000000000041e-01,1.365343799935779590e+00
1.150000000000000050e-01,1.364253316396695448e+00
1.160000000000000059e-01,1.363135549078441588e+00
1.170000000000000068e-01,1.364951190878759046e+00
1.179999999999999938e-01,1.362745749360476877e+00
1.189999999999999947e-01,1.365396067828670512e+00
1.199999999999999956e-01,1.362401739388142463e+00
1.209999999999999964e-01,1.364880324353608732e+00
1.219999999999999973e-01,1.365474431856055881e+00
1.229999999999999982e-01,1.363954307351296302e+00
1.239999999999999991e-01,1.363347197049423087e+00
1.250000000000000000e-01,1.363995369373840694e+00
1.260000000000000009e-01,1.363261312504054912e+00
1.270000000000000018e-01,1.363251938982803946e+00
1.280000000000000027e-01,1.361862939918913717e+00
1.290000000000000036e-01,1.365468056869163060e+00
1.300000000000000044e-01,1.363561616729007664e+00
1.310000000000000053e-01,1.365665383016842815e+00
1.320000000000000062e-01,1.364623456731131057e+00
1.330000000000000071e-01,1.365005763852642939e+00
1.340000000000000080e-01,1.363407370947865349e+00
1.350000000000000089e-01,1.363710324985859756e+00
1.360000000000000098e-01,1.363554646296143202e+00
1.370000000000000107e-01,1.364093849021946081e+00
1.380000000000000115e-01,1.363366205325611702e+00
1.390000000000000124e-01,1.364233194880060340e+00
1.400000000000000133e-01,1.364509603972111407e+00
1.409999999999999865e-01,1.363459420766039765e+00
1.419999999999999873e-01,1.364977785171647584e+00
1.429999999999999882e-01,1.364548542119615293e+00
1.439999999999999891e-01,1.362437012706587014e+00
1.449999999999999900e-01,1.363596342010081397e+00
1.459999999999999909e-01,1.363637479426311527e+00
1.469999999999999918e-01,1.363060055928351444e+00
1.479999999999999927e-01,1.363278706007642782e+00
1.489999999999999936e-01,1.363282583881618937e+00
1.499999999999999944e-01,1.364062808754950673e+00
1.509999999999999953e-01,1.364300014148098095e+00
1.519999999999999962e-01,1.365129032144319909e+00
1.529999999999999971e-01,1.364266789208631314e+00
1.539999999999999980e-01,1.364918268630130660e+00
1.549999999999999989e-01,1.366111942479486974e+00
1.559999999999999998e-01,1.364290917501533862e+00
1.570000000000000007e-01,1.365138140318709281e+00
1.580000000000000016e-01,1.364319012386725483e+00
1.590000000000000024e-01,1.366400794529353036e+00
1.600000000000000033e-01,1.361896098774564967e+00
1.610000000000000042e-01,1.364603990390311772e+00
1.620000000000000051e-01,1.364185161193998796e+00
1.630000000000000060e-01,1.363765547494590002e+00
1.640000000000000069e-01,1.362833355415419501e+00
1.650000000000000078e-01,1.363918383253443167e+00
1.660000000000000087e-01,1.364763703873196121e+00
1.670000000000000095e-01,1.364318716574183910e+00
1.680000000000000104e-01,1.363765782582423425e+00
1.690000000000000113e-01,1.363614445792370455e+00
1.700000000000000122e-01,1.363555950675421125e+00
1.710000000000000131e-01,1.364578892726737047e+00
1.719999999999999862e-01,1.365088486293440706e+00
1.729999999999999871e-01,1.363607708221483472e+00
1.739999999999999880e-01,1.365095654398231551e+00
1.749999999999999889e-01,1.364870804069646670e+00
1.759999999999999898e-01,1.364890111289009722e+00
1.769999999999999907e-01,1.364130998083175950e+00
1.779999999999999916e-01,1.363401964742732453e+00
1.789999999999999925e-01,1.364530352801092583e+00
1.799999999999999933e-01,1.362858853106492241e+00
1.809999999999999942e-01,1.362989422062138356e+00
1.819999999999999951e-01,1.364104263940408179e+00
1.829999999999999960e-01,1.364938253705524573e+00
1.839999999999999969e-01,1.363576317793834924e+00
1.849999999999999978e-01,1.362946456124157324e+00
1.859999999999999987e-01,1.363605390009819951e+00
1.869999999999999996e-01,1.362790884417500292e+00
1.880000000000000004e-01,1.361826307753895016e+00
