# time_s,loadcell_V,current_V
0.000000,0.092317,2.541791
0.001000,0.089464,2.506701
0.002000,0.084989,2.514972
0.003000,0.092102,2.514251
0.004000,0.091477,2.509519
0.005000,0.085570,2.490742
0.006000,0.093530,2.536663
0.007000,0.088215,2.539530
0.008000,0.088385,2.517391
0.009000,0.096170,2.514783
0.010000,0.089108,2.502229
0.011000,0.090650,2.503986
0.012000,0.089344,2.497716
0.013000,0.090911,2.526014
0.014000,0.085421,2.500492
0.015000,0.086202,2.555437
0.016000,0.087405,2.537201
0.017000,0.086788,2.521482
0.018000,0.083916,2.523922
0.019000,0.086161,2.516657
0.020000,0.088294,2.533646
0.021000,0.092813,2.544998
0.022000,0.087053,2.533254
0.023000,0.089347,2.504322
0.024000,0.086707,2.536089
0.025000,0.090666,2.500216
0.026000,0.082002,2.514058
0.027000,0.091659,2.519011
0.028000,0.086973,2.533613
0.029000,0.092833,2.527988
0.030000,0.093193,2.499359
0.031000,0.091334,2.533491
0.032000,0.092302,2.516737
0.033000,0.091539,2.520403
0.034000,0.091499,2.530492
0.035000,0.089030,2.502634
0.036000,0.089640,2.502550
0.037000,0.088633,2.524369
0.038000,0.088283,2.545227
0.039000,0.087930,2.527714
0.040000,0.087885,2.526409
0.041000,0.087065,2.539263
0.042000,0.091311,2.530619
0.043000,0.085317,2.521393
0.044000,0.093255,2.487401
0.045000,0.086528,2.508312
0.046000,0.090907,2.502838
0.047000,0.086906,2.508371
0.048000,0.090709,2.519560
0.049000,0.089547,2.498573
0.050000,0.086945,2.521382
0.051000,0.083973,2.530653
0.052000,0.087975,2.529049
0.053000,0.090101,2.529496
0.054000,0.089161,2.509622
0.055000,0.088368,2.534110
0.056000,0.086160,2.519474
0.057000,0.087248,2.533078
0.058000,0.092051,2.492117
0.059000,0.088824,2.520675
0.060000,0.085923,2.527113
0.061000,0.086227,2.488343
0.062000,0.091540,2.514910
0.063000,0.091919,2.517656
0.064000,0.088999,2.540874
0.065000,0.089407,2.525596
0.066000,0.089805,2.511107
0.067000,0.092773,2.500129
0.068000,0.093940,2.525792
0.069000,0.084229,2.517024
0.070000,0.087351,2.531092
0.071000,0.088288,2.527443
0.072000,0.090657,2.545990
0.073000,0.087168,2.530350
0.074000,0.091459,2.516975
0.075000,0.090767,2.548645
0.076000,0.088448,2.504699
0.077000,0.091502,2.549438
0.078000,0.091153,2.508050
0.079000,0.085815,2.519876
0.080000,0.094536,2.543076
0.081000,0.090559,2.508909
0.082000,0.091483,2.513349
0.083000,0.093012,2.515984
0.084000,0.085592,2.527844
0.085000,0.086209,2.525059
0.086000,0.090403,2.509134
0.087000,0.087560,2.493791
0.088000,0.088168,2.557634
0.089000,0.085238,2.529724
0.090000,0.089683,2.532347
0.091000,0.086262,2.539569
0.092000,0.092697,2.492570
0.093000,0.088213,2.548477
0.094000,0.094510,2.528913
0.095000,0.089088,2.519944
0.096000,0.089950,2.505391
0.097000,0.091995,2.504983
0.098000,0.088564,2.525638
0.099000,0.093620,2.517087
0.100000,0.090047,2.499952
0.101000,0.090673,2.554046
0.102000,0.089328,2.501882
0.103000,0.091783,2.496476
0.104000,0.089498,2.522478
0.105000,0.088088,2.512319
0.106000,0.087590,2.530608
0.107000,0.090321,2.497282
0.108000,0.089074,2.524690
0.109000,0.088100,2.523762
0.110000,0.087742,2.498025
0.111000,0.089109,2.546542
0.112000,0.090761,2.507740
0.113000,0.086360,2.535320
0.114000,0.091172,2.507679
0.115000,0.093877,2.503270
0.116000,0.085889,2.522364
0.117000,0.091792,2.530176
0.118000,0.085929,2.525472
0.119000,0.093097,2.517841
0.120000,0.098087,2.516113
0.121000,0.095643,2.527209
0.122000,0.087050,2.520615
0.123000,0.097846,2.525157
0.124000,0.092188,2.520123
0.125000,0.085689,2.498854
0.126000,0.085993,2.506704
0.127000,0.091890,2.518290
0.128000,0.088136,2.512027
0.129000,0.089657,2.539694
0.130000,0.087723,2.523400
0.131000,0.090200,2.512538
0.132000,0.090795,2.489284
