# time_s,loadcell_V,current_V
0.000000,0.154932,2.598806
0.001000,0.154943,2.603706
0.002000,0.152833,2.601225
0.003000,0.149976,2.590642
0.004000,0.155736,2.617395
0.005000,0.154467,2.613101
0.006000,0.149305,2.596464
0.007000,0.157025,2.595420
0.008000,0.154229,2.625850
0.009000,0.153958,2.601026
0.010000,0.144932,2.600197
0.011000,0.149429,2.629926
0.012000,0.151220,2.599426
0.013000,0.151307,2.627889
0.014000,0.153202,2.597767
0.015000,0.148761,2.611196
0.016000,0.151033,2.595146
0.017000,0.151295,2.593457
0.018000,0.152111,2.600794
0.019000,0.155013,2.581684
0.020000,0.155739,2.614812
0.021000,0.151577,2.616613
0.022000,0.153984,2.601698
0.023000,0.148960,2.604669
0.024000,0.156517,2.610203
0.025000,0.153534,2.594185
0.026000,0.151474,2.609175
0.027000,0.151577,2.607457
0.028000,0.152675,2.627870
0.029000,0.149840,2.599838
0.030000,0.145427,2.597156
0.031000,0.154716,2.589947
0.032000,0.156467,2.614317
0.033000,0.153105,2.619298
0.034000,0.150949,2.585291
0.035000,0.153669,2.602985
0.036000,0.156302,2.608014
0.037000,0.159823,2.618714
0.038000,0.153730,2.611323
0.039000,0.148576,2.606471
0.040000,0.148023,2.587959
0.041000,0.149258,2.605107
0.042000,0.154516,2.579478
0.043000,0.147740,2.589060
0.044000,0.152769,2.604210
0.045000,0.148130,2.602783
0.046000,0.154420,2.612944
0.047000,0.145221,2.591143
0.048000,0.153274,2.625778
0.049000,0.148638,2.594071
0.050000,0.154880,2.580041
0.051000,0.154460,2.585889
0.052000,0.149872,2.609748
0.053000,0.153785,2.621540
0.054000,0.154773,2.603858
0.055000,0.153936,2.614279
0.056000,0.151702,2.576883
0.057000,0.152636,2.608595
0.058000,0.148650,2.576999
0.059000,0.153888,2.600923
0.060000,0.144398,2.614535
0.061000,0.145283,2.612173
0.062000,0.154122,2.602648
0.063000,0.152248,2.594442
0.064000,0.149802,2.591243
0.065000,0.148061,2.594823
0.066000,0.151296,2.609160
0.067000,0.152066,2.589379
0.068000,0.150210,2.611400
0.069000,0.145282,2.582286
0.070000,0.154411,2.613061
0.071000,0.158432,2.602507
0.072000,0.147963,2.608740
0.073000,0.156020,2.582395
0.074000,0.152634,2.622010
0.075000,0.146547,2.643564
0.076000,0.150501,2.596521
0.077000,0.151350,2.576213
0.078000,0.149533,2.592785
0.079000,0.150528,2.593483
0.080000,0.147745,2.583168
0.081000,0.150416,2.608730
0.082000,0.153865,2.612333
0.083000,0.150026,2.613249
0.084000,0.150376,2.608084
0.085000,0.155524,2.601138
0.086000,0.155948,2.598540
0.087000,0.156474,2.606594
0.088000,0.152070,2.589868
0.089000,0.148114,2.611335
0.090000,0.148535,2.615517
0.091000,0.151046,2.582211
0.092000,0.153153,2.604351
0.093000,0.148606,2.598787
0.094000,0.152170,2.585252
0.095000,0.153136,2.610792
0.096000,0.149140,2.620832
0.097000,0.157013,2.615291
0.098000,0.145940,2.629825
0.099000,0.151667,2.601040
0.100000,0.156866,2.576257
0.101000,0.150448,2.588144
0.102000,0.157155,2.609998
0.103000,0.150264,2.608457
0.104000,0.152130,2.599149
0.105000,0.151233,2.602153
0.106000,0.151358,2.597318
0.107000,0.149365,2.607019
0.108000,0.145853,2.603882
0.109000,0.156359,2.618382
0.110000,0.146669,2.614589
0.111000,0.155350,2.611848
0.112000,0.150902,2.594081
0.113000,0.155320,2.594342
0.114000,0.148659,2.627848
0.115000,0.146636,2.625286
0.116000,0.150597,2.613957
0.117000,0.156316,2.591052
0.118000,0.157712,2.575286
0.119000,0.152280,2.607161
0.120000,0.152137,2.611148
0.121000,0.148500,2.605441
0.122000,0.147062,2.597456
0.123000,0.148108,2.589850
0.124000,0.145010,2.603339
0.125000,0.148082,2.605919
0.126000,0.151793,2.573306
0.127000,0.147995,2.596948
0.128000,0.155314,2.598833
0.129000,0.146796,2.627375
0.130000,0.146929,2.567493
0.131000,0.148542,2.600818
0.132000,0.148036,2.592260
0.133000,0.150476,2.602538
0.134000,0.151634,2.624652
0.135000,0.151268,2.597335
0.136000,0.151525,2.595659
0.137000,0.152217,2.613819
0.138000,0.149055,2.598395
0.139000,0.147587,2.637768
0.140000,0.150688,2.584462
0.141000,0.148897,2.621020
0.142000,0.151339,2.596572
0.143000,0.150001,2.635651
0.144000,0.153403,2.607606
0.145000,0.151163,2.626707
0.146000,0.151067,2.595502
0.147000,0.159173,2.606111
0.148000,0.148742,2.619931
0.149000,0.159116,2.610480
0.150000,0.158603,2.588072
0.151000,0.150752,2.583863
0.152000,0.154181,2.599305
0.153000,0.150549,2.601200
0.154000,0.147318,2.602314
0.155000,0.146465,2.606823
0.156000,0.148280,2.602806
0.157000,0.155620,2.611988
0.158000,0.146083,2.592144
0.159000,0.151064,2.598281
0.160000,0.152207,2.603295
0.161000,0.150580,2.613196
0.162000,0.148632,2.616362
0.163000,0.153830,2.585273
0.164000,0.151780,2.596847
0.165000,0.152355,2.602963
0.166000,0.155099,2.601056
0.167000,0.152375,2.615203
0.168000,0.149032,2.594337
0.169000,0.151006,2.615387
0.170000,0.149668,2.591303
0.171000,0.152812,2.584469
0.172000,0.148202,2.605998
0.173000,0.150619,2.614041
0.174000,0.146510,2.633619
0.175000,0.151464,2.580659
0.176000,0.151570,2.599246
0.177000,0.151640,2.609066
0.178000,0.150774,2.600272
0.179000,0.147452,2.576833
0.180000,0.151496,2.617394
0.181000,0.151792,2.601773
0.182000,0.152374,2.604036
0.183000,0.154720,2.607868
0.184000,0.147746,2.626438
0.185000,0.148931,2.611311
0.186000,0.149850,2.628913
0.187000,0.150387,2.609295
0.188000,0.153410,2.604992
0.189000,0.156627,2.601012
0.190000,0.154447,2.627953
0.191000,0.158423,2.575539
0.192000,0.152203,2.622316
0.193000,0.153149,2.606664
0.194000,0.149256,2.594279
0.195000,0.150108,2.621808
0.196000,0.154225,2.590726
0.197000,0.149164,2.608022
0.198000,0.149558,2.602162
0.199000,0.151667,2.607812
0.200000,0.148549,2.594785
0.201000,0.148849,2.593001
0.202000,0.148171,2.615967
0.203000,0.152939,2.627671
0.204000,0.146834,2.609324
0.205000,0.150330,2.603196
0.206000,0.153285,2.597667
0.207000,0.154301,2.605319
0.208000,0.148807,2.592337
0.209000,0.152602,2.615275
0.210000,0.154222,2.615672
0.211000,0.153083,2.590712
0.212000,0.152695,2.623005
0.213000,0.154876,2.598914
0.214000,0.148600,2.593793
0.215000,0.151143,2.615914
0.216000,0.151332,2.631436
0.217000,0.145602,2.607792
0.218000,0.153381,2.583978
0.219000,0.153920,2.595380
0.220000,0.146578,2.608548
0.221000,0.153587,2.602621
0.222000,0.151405,2.590355
0.223000,0.149010,2.606613
0.224000,0.156701,2.610882
