# time_s,loadcell_V,current_V
0.000000,0.228999,2.819852
0.001000,0.234561,2.809197
0.002000,0.234021,2.811151
0.003000,0.232733,2.815798
0.004000,0.231589,2.812561
0.005000,0.232702,2.795229
0.006000,0.228958,2.805179
0.007000,0.231355,2.826299
0.008000,0.227103,2.772788
0.009000,0.233719,2.796611
0.010000,0.225090,2.761307
0.011000,0.227910,2.803292
0.012000,0.233494,2.848497
0.013000,0.233548,2.814318
0.014000,0.231506,2.807480
0.015000,0.231125,2.804563
0.016000,0.231729,2.804890
0.017000,0.232569,2.798199
0.018000,0.230252,2.811938
0.019000,0.234781,2.814162
0.020000,0.226558,2.810269
0.021000,0.235171,2.787320
0.022000,0.236624,2.813441
0.023000,0.229751,2.795617
0.024000,0.235590,2.818535
0.025000,0.231893,2.799874
0.026000,0.227291,2.812110
0.027000,0.230897,2.827176
0.028000,0.225913,2.834884
0.029000,0.231405,2.814292
0.030000,0.230464,2.819646
0.031000,0.226923,2.802857
0.032000,0.234320,2.808499
0.033000,0.232806,2.792128
0.034000,0.235468,2.794464
0.035000,0.236267,2.811142
0.036000,0.231298,2.804980
0.037000,0.231136,2.807865
0.038000,0.236577,2.791355
0.039000,0.230944,2.812822
0.040000,0.231188,2.794000
0.041000,0.231482,2.804597
0.042000,0.234522,2.789724
0.043000,0.234531,2.806782
0.044000,0.228284,2.805492
0.045000,0.229277,2.822922
0.046000,0.233130,2.820549
0.047000,0.231298,2.806566
0.048000,0.230597,2.812127
0.049000,0.232452,2.789796
0.050000,0.227936,2.801135
0.051000,0.228981,2.819573
0.052000,0.230053,2.839259
0.053000,0.233125,2.796594
0.054000,0.228072,2.838764
0.055000,0.227065,2.838145
0.056000,0.228580,2.831471
0.057000,0.232028,2.798062
0.058000,0.227598,2.804145
0.059000,0.228183,2.824346
0.060000,0.232456,2.835475
0.061000,0.228515,2.818462
0.062000,0.227596,2.849467
0.063000,0.230005,2.801652
0.064000,0.225478,2.809721
0.065000,0.228105,2.828686
0.066000,0.232161,2.823618
0.067000,0.227752,2.815544
0.068000,0.227206,2.825520
0.069000,0.232421,2.813424
0.070000,0.231269,2.781720
0.071000,0.231398,2.796317
0.072000,0.225325,2.789083
0.073000,0.230470,2.810966
0.074000,0.228189,2.826612
0.075000,0.226321,2.821083
0.076000,0.231458,2.809175
0.077000,0.228564,2.811750
0.078000,0.231199,2.834509
0.079000,0.229679,2.808418
0.080000,0.229694,2.795416
0.081000,0.230428,2.821195
0.082000,0.230702,2.810379
0.083000,0.228501,2.788460
0.084000,0.230639,2.799308
0.085000,0.228230,2.801609
0.086000,0.233184,2.829651
0.087000,0.232507,2.822691
0.088000,0.227393,2.799293
0.089000,0.229697,2.800535
0.090000,0.224976,2.817590
0.091000,0.225788,2.807717
0.092000,0.230366,2.803938
0.093000,0.226626,2.834375
0.094000,0.227125,2.807480
0.095000,0.230221,2.807396
0.096000,0.234335,2.819590
0.097000,0.228927,2.812729
0.098000,0.229339,2.828756
0.099000,0.226190,2.819742
0.100000,0.227946,2.792924
0.101000,0.231031,2.818198
0.102000,0.228690,2.810832
0.103000,0.226479,2.795730
0.104000,0.231020,2.804186
0.105000,0.233934,2.797907
0.106000,0.235706,2.787988
0.107000,0.228113,2.829390
0.108000,0.232994,2.806123
0.109000,0.230938,2.802977
0.110000,0.224563,2.814134
0.111000,0.232453,2.855878
0.112000,0.231735,2.823681
0.113000,0.227249,2.823884
0.114000,0.233149,2.828455
0.115000,0.225343,2.804481
0.116000,0.228350,2.824850
0.117000,0.223958,2.807862
0.118000,0.230319,2.817601
0.119000,0.233069,2.813455
0.120000,0.234372,2.839888
0.121000,0.226734,2.793335
0.122000,0.230649,2.802488
0.123000,0.231610,2.815999
0.124000,0.229698,2.818859
0.125000,0.235185,2.832437
0.126000,0.230118,2.819077
0.127000,0.230995,2.858437
0.128000,0.225930,2.807963
0.129000,0.227872,2.815774
0.130000,0.231992,2.825300
0.131000,0.227846,2.810822
0.132000,0.226809,2.824923
0.133000,0.235785,2.843485
0.134000,0.229707,2.842475
0.135000,0.226051,2.826684
0.136000,0.224924,2.830858
0.137000,0.236280,2.806943
0.138000,0.224401,2.809427
0.139000,0.226220,2.782022
0.140000,0.226959,2.793497
0.141000,0.232346,2.830413
0.142000,0.230275,2.811024
0.143000,0.231388,2.830767
0.144000,0.231047,2.795260
0.145000,0.230064,2.834336
0.146000,0.224148,2.831086
0.147000,0.229228,2.803483
0.148000,0.228459,2.819580
0.149000,0.225485,2.813416
0.150000,0.231905,2.836304
0.151000,0.229932,2.831016
0.152000,0.221670,2.797329
0.153000,0.227878,2.820356
0.154000,0.228184,2.830603
0.155000,0.225828,2.839757
0.156000,0.233274,2.815770
0.157000,0.229453,2.836587
0.158000,0.232388,2.818712
0.159000,0.225029,2.849262
0.160000,0.227234,2.845288
0.161000,0.228742,2.831882
0.162000,0.229789,2.789294
0.163000,0.228901,2.828765
0.164000,0.227850,2.822812
0.165000,0.229729,2.842755
0.166000,0.230296,2.813022
0.167000,0.229288,2.813759
0.168000,0.226115,2.838418
0.169000,0.232952,2.815561
0.170000,0.236503,2.813094
0.171000,0.230260,2.824402
0.172000,0.232902,2.828954
0.173000,0.231473,2.824459
0.174000,0.226430,2.826734
0.175000,0.229898,2.839403
0.176000,0.225875,2.832577
0.177000,0.226120,2.811533
0.178000,0.230636,2.802330
0.179000,0.227667,2.820139
0.180000,0.223153,2.806241
0.181000,0.229994,2.784286
0.182000,0.225790,2.815787
0.183000,0.234971,2.825825
0.184000,0.222767,2.836512
0.185000,0.230148,2.792847
0.186000,0.227812,2.821561
0.187000,0.230226,2.838487
0.188000,0.229839,2.827187
0.189000,0.224950,2.827820
0.190000,0.231078,2.824408
0.191000,0.229643,2.824590
0.192000,0.227149,2.820265
0.193000,0.231961,2.810529
0.194000,0.229848,2.810331
0.195000,0.225150,2.849647
0.196000,0.228566,2.820843
0.197000,0.232011,2.820920
0.198000,0.226271,2.813098
0.199000,0.229225,2.812867
0.200000,0.232104,2.821558
0.201000,0.232214,2.824124
0.202000,0.229012,2.812695
0.203000,0.225709,2.820317
0.204000,0.228446,2.830062
0.205000,0.226265,2.814361
0.206000,0.228678,2.834892
0.207000,0.227955,2.811450
0.208000,0.226981,2.814441
0.209000,0.231614,2.816230
0.210000,0.223436,2.822550
0.211000,0.231564,2.846281
0.212000,0.229400,2.826736
0.213000,0.230459,2.816916
0.214000,0.229662,2.835401
0.215000,0.227898,2.810375
0.216000,0.232568,2.813422
0.217000,0.229584,2.821326
0.218000,0.227600,2.810364
0.219000,0.227319,2.810743
0.220000,0.233101,2.808542
0.221000,0.232446,2.824907
0.222000,0.230714,2.810641
0.223000,0.228265,2.843188
0.224000,0.230808,2.841039
0.225000,0.229624,2.826671
0.226000,0.227403,2.796335
0.227000,0.232530,2.829095
0.228000,0.228693,2.828711
0.229000,0.226257,2.809400
0.230000,0.225928,2.856298
0.231000,0.233245,2.830158
0.232000,0.231081,2.812213
0.233000,0.225155,2.819095
0.234000,0.230065,2.852787
0.235000,0.226363,2.839444
0.236000,0.231951,2.825360
0.237000,0.222198,2.817532
0.238000,0.225550,2.833669
0.239000,0.228056,2.834788
0.240000,0.235823,2.830313
0.241000,0.225716,2.856008
0.242000,0.229259,2.837296
0.243000,0.229149,2.839705
0.244000,0.231396,2.811187
0.245000,0.225577,2.816924
0.246000,0.232468,2.820555
0.247000,0.229278,2.786039
0.248000,0.228029,2.811161
0.249000,0.230956,2.827977
0.250000,0.223538,2.831136
0.251000,0.231639,2.820862
0.252000,0.228956,2.825004
0.253000,0.230447,2.789726
0.254000,0.229511,2.831492
0.255000,0.227552,2.821888
0.256000,0.230380,2.830728
0.257000,0.228473,2.826531
0.258000,0.229975,2.856924
0.259000,0.231752,2.819656
0.260000,0.227911,2.829213
0.261000,0.225726,2.801508
0.262000,0.231240,2.842268
0.263000,0.234117,2.817401
0.264000,0.229888,2.813330
0.265000,0.224928,2.821203
0.266000,0.230700,2.813815
0.267000,0.229969,2.833392
0.268000,0.227501,2.824540
0.269000,0.230781,2.816318
0.270000,0.232802,2.833539
0.271000,0.228580,2.819991
0.272000,0.230733,2.826973
0.273000,0.229134,2.809301
0.274000,0.227156,2.796878
0.275000,0.231224,2.813503
0.276000,0.229688,2.831493
0.277000,0.225741,2.818482
0.278000,0.232820,2.816082
0.279000,0.228409,2.820858
0.280000,0.229453,2.824351
0.281000,0.231048,2.827638
0.282000,0.231603,2.841133
0.283000,0.233386,2.812086
0.284000,0.227876,2.804653
0.285000,0.235094,2.804625
0.286000,0.225461,2.817584
0.287000,0.224193,2.813159
0.288000,0.229864,2.839186
0.289000,0.226505,2.827434
0.290000,0.230430,2.811737
0.291000,0.227235,2.829568
0.292000,0.231122,2.813548
0.293000,0.235157,2.811019
0.294000,0.227296,2.828228
0.295000,0.227654,2.833017
0.296000,0.230578,2.791421
0.297000,0.230591,2.801628
0.298000,0.229147,2.810446
0.299000,0.230977,2.824676
0.300000,0.229692,2.810875
0.301000,0.229478,2.811354
0.302000,0.233634,2.830522
0.303000,0.227163,2.844917
0.304000,0.222170,2.791387
0.305000,0.229332,2.794488
0.306000,0.227241,2.813256
0.307000,0.228081,2.825600
0.308000,0.230707,2.832762
0.309000,0.226882,2.830872
0.310000,0.227811,2.828092
0.311000,0.226602,2.813450
0.312000,0.227281,2.812714
0.313000,0.229515,2.847258
0.314000,0.232693,2.840501
0.315000,0.227862,2.839801
0.316000,0.230586,2.820760
0.317000,0.229689,2.806120
0.318000,0.227753,2.822810
0.319000,0.224772,2.832404
0.320000,0.224596,2.816079
0.321000,0.224227,2.832170
0.322000,0.230210,2.811880
0.323000,0.228426,2.818924
0.324000,0.226067,2.808037
0.325000,0.228541,2.839789
0.326000,0.235544,2.834433
0.327000,0.224734,2.812275
0.328000,0.229121,2.807696
0.329000,0.233361,2.814571
0.330000,0.227588,2.829604
0.331000,0.230379,2.807028
0.332000,0.230932,2.818745
0.333000,0.227560,2.828277
0.334000,0.227171,2.807528
0.335000,0.229164,2.810157
0.336000,0.220393,2.819592
0.337000,0.233647,2.810715
0.338000,0.230457,2.830514
0.339000,0.229021,2.818619
0.340000,0.226037,2.831715
0.341000,0.232621,2.824758
0.342000,0.230780,2.820123
0.343000,0.228081,2.813601
0.344000,0.232025,2.817087
0.345000,0.233272,2.816663
0.346000,0.229349,2.821378
0.347000,0.224944,2.815236
0.348000,0.232914,2.807742
0.349000,0.228946,2.837978
0.350000,0.230474,2.828904
0.351000,0.228861,2.791231
0.352000,0.234785,2.805888
0.353000,0.235418,2.860200
0.354000,0.224679,2.844592
0.355000,0.229454,2.816865
0.356000,0.232708,2.816967
0.357000,0.229304,2.834792
0.358000,0.230132,2.820562
0.359000,0.226920,2.816995
0.360000,0.225517,2.823622
0.361000,0.229626,2.818477
0.362000,0.225531,2.800184
0.363000,0.231190,2.824589
0.364000,0.231576,2.813019
0.365000,0.229900,2.807001
0.366000,0.230798,2.809182
0.367000,0.229160,2.826184
0.368000,0.224586,2.834584
0.369000,0.226830,2.813191
0.370000,0.227751,2.804021
0.371000,0.234538,2.821870
0.372000,0.228168,2.806292
0.373000,0.234153,2.820902
0.374000,0.232842,2.805052
0.375000,0.228682,2.788043
0.376000,0.224940,2.810997
0.377000,0.230097,2.829082
0.378000,0.226573,2.818155
0.379000,0.232825,2.810123
0.380000,0.229883,2.827136
0.381000,0.233489,2.866041
0.382000,0.228384,2.807982
0.383000,0.233495,2.811708
0.384000,0.232648,2.794365
0.385000,0.231637,2.818651
0.386000,0.226379,2.838447
0.387000,0.229792,2.828128
0.388000,0.233035,2.801555
0.389000,0.230743,2.844234
0.390000,0.233189,2.812378
0.391000,0.230615,2.834759
0.392000,0.228766,2.815876
0.393000,0.228164,2.793925
0.394000,0.227392,2.814104
0.395000,0.224027,2.822121
0.396000,0.222760,2.817151
0.397000,0.229403,2.842522
0.398000,0.228092,2.810878
0.399000,0.228226,2.824485
0.400000,0.231561,2.821520
0.401000,0.233621,2.813066
0.402000,0.229694,2.819830
0.403000,0.225386,2.803363
0.404000,0.232587,2.847261
0.405000,0.228523,2.824632
0.406000,0.228687,2.809116
0.407000,0.228688,2.838266
0.408000,0.226904,2.802108
0.409000,0.226395,2.822283
0.410000,0.225572,2.803392
0.411000,0.233574,2.787923
0.412000,0.234155,2.835773
0.413000,0.229842,2.808301
0.414000,0.227796,2.832709
0.415000,0.230157,2.822998
0.416000,0.224693,2.804051
0.417000,0.225190,2.802106
0.418000,0.230935,2.827028
0.419000,0.231436,2.799285
0.420000,0.223860,2.813316
0.421000,0.226908,2.827903
0.422000,0.230263,2.819813
0.423000,0.232717,2.832207
0.424000,0.227435,2.822883
0.425000,0.232131,2.839158
0.426000,0.227902,2.812044
0.427000,0.224790,2.806887
0.428000,0.230609,2.792431
0.429000,0.236000,2.811580
0.430000,0.231468,2.837439
0.431000,0.226895,2.790471
0.432000,0.233100,2.805078
0.433000,0.225650,2.834664
0.434000,0.230714,2.830216
0.435000,0.229429,2.831364
0.436000,0.229096,2.812001
0.437000,0.228949,2.831976
0.438000,0.226456,2.821352
0.439000,0.227718,2.799865
0.440000,0.226838,2.810097
0.441000,0.224476,2.838291
0.442000,0.230552,2.824271
0.443000,0.227558,2.830370
0.444000,0.227216,2.809993
0.445000,0.229716,2.826403
0.446000,0.226919,2.840062
0.447000,0.225368,2.833327
0.448000,0.231969,2.835256
0.449000,0.225481,2.831552
0.450000,0.231218,2.815365
0.451000,0.223228,2.836968
0.452000,0.232141,2.831996
0.453000,0.225073,2.813476
0.454000,0.223198,2.808023
0.455000,0.228371,2.843879
0.456000,0.226279,2.795497
0.457000,0.224277,2.824230
0.458000,0.230712,2.832415
0.459000,0.231675,2.842569
0.460000,0.230088,2.834777
0.461000,0.235084,2.845686
0.462000,0.229185,2.845613
0.463000,0.228663,2.803568
0.464000,0.232799,2.789531
0.465000,0.232885,2.803696
0.466000,0.226119,2.837429
0.467000,0.233424,2.836357
0.468000,0.221470,2.823633
0.469000,0.235309,2.834400
0.470000,0.233338,2.805812
0.471000,0.226430,2.810408
0.472000,0.233041,2.829755
0.473000,0.232860,2.822326
0.474000,0.225893,2.802159
0.475000,0.225758,2.847304
0.476000,0.228865,2.831501
0.477000,0.230689,2.824335
0.478000,0.226751,2.819814
0.479000,0.227911,2.844503
0.480000,0.226811,2.816673
0.481000,0.228430,2.828240
0.482000,0.230697,2.819566
0.483000,0.228560,2.806309
0.484000,0.230017,2.836186
0.485000,0.232687,2.851949
0.486000,0.233330,2.809541
0.487000,0.234916,2.828567
0.488000,0.230101,2.823279
0.489000,0.227503,2.820387
0.490000,0.231954,2.810066
0.491000,0.231414,2.826230
0.492000,0.227032,2.838843
0.493000,0.234005,2.831409
0.494000,0.225635,2.812548
0.495000,0.232852,2.790591
0.496000,0.233503,2.839720
0.497000,0.227519,2.827903
0.498000,0.228359,2.786630
0.499000,0.228799,2.823275
0.500000,0.232325,2.819380
0.501000,0.230583,2.843994
0.502000,0.229847,2.795847
0.503000,0.231112,2.823333
0.504000,0.226936,2.832693
0.505000,0.234191,2.822358
0.506000,0.236021,2.795592
0.507000,0.232892,2.812867
0.508000,0.228526,2.828905
0.509000,0.232640,2.832995
0.510000,0.231196,2.788842
0.511000,0.231510,2.830072
0.512000,0.225752,2.829517
0.513000,0.226208,2.829171
0.514000,0.227677,2.854999
0.515000,0.230365,2.802174
0.516000,0.231506,2.808995
0.517000,0.229969,2.810712
0.518000,0.230652,2.841256
0.519000,0.231348,2.821668
0.520000,0.226986,2.822512
0.521000,0.227850,2.803892
0.522000,0.227320,2.840998
0.523000,0.233751,2.827260
0.524000,0.226710,2.816468
0.525000,0.234753,2.826326
0.526000,0.231626,2.791609
0.527000,0.228745,2.839555
0.528000,0.229426,2.836967
0.529000,0.228473,2.832758
0.530000,0.226855,2.835985
0.531000,0.227148,2.829699
0.532000,0.223667,2.816043
0.533000,0.228480,2.809522
0.534000,0.230467,2.800333
0.535000,0.233486,2.839538
0.536000,0.227669,2.817348
0.537000,0.230646,2.825859
0.538000,0.226339,2.802029
0.539000,0.235997,2.819784
0.540000,0.230782,2.796964
0.541000,0.227649,2.822433
0.542000,0.228139,2.842102
0.543000,0.224771,2.815383
0.544000,0.235903,2.823077
0.545000,0.228517,2.835307
0.546000,0.231834,2.806883
0.547000,0.233157,2.832819
0.548000,0.227684,2.810274
0.549000,0.230419,2.807204
0.550000,0.232782,2.806730
0.551000,0.228635,2.823086
0.552000,0.224708,2.795872
0.553000,0.227306,2.789905
0.554000,0.226791,2.828504
0.555000,0.228297,2.833835
0.556000,0.232619,2.803064
0.557000,0.227528,2.836017
0.558000,0.224321,2.803077
0.559000,0.231476,2.811566
0.560000,0.232354,2.821307
0.561000,0.227780,2.817333
0.562000,0.229105,2.835897
0.563000,0.229552,2.823500
0.564000,0.229917,2.806334
0.565000,0.233422,2.816254
0.566000,0.232225,2.828821
0.567000,0.229486,2.833360
0.568000,0.221049,2.832772
0.569000,0.228270,2.816461
0.570000,0.232155,2.830754
0.571000,0.232176,2.843959
0.572000,0.228905,2.830840
0.573000,0.229763,2.822012
0.574000,0.235252,2.806174
0.575000,0.232152,2.843622
0.576000,0.235391,2.815361
0.577000,0.229607,2.817702
0.578000,0.224957,2.814386
0.579000,0.227359,2.820026
0.580000,0.226375,2.824663
0.581000,0.229358,2.817059
0.582000,0.232303,2.820453
0.583000,0.227145,2.828592
0.584000,0.229093,2.831192
0.585000,0.227970,2.825637
0.586000,0.231066,2.834805
0.587000,0.233544,2.833893
0.588000,0.229571,2.836011
0.589000,0.227966,2.846163
0.590000,0.227709,2.805112
0.591000,0.228027,2.812198
0.592000,0.227421,2.828360
0.593000,0.230572,2.822531
0.594000,0.228902,2.779850
0.595000,0.224244,2.796524
0.596000,0.229053,2.814230
0.597000,0.227191,2.810583
0.598000,0.230654,2.812465
0.599000,0.230419,2.826812
0.600000,0.229139,2.808378
0.601000,0.228553,2.835205
0.602000,0.227260,2.819366
0.603000,0.232425,2.816732
0.604000,0.231643,2.826364
0.605000,0.234195,2.806280
0.606000,0.233031,2.814545
0.607000,0.230944,2.823641
0.608000,0.231194,2.825069
0.609000,0.230533,2.788366
0.610000,0.229457,2.836778
0.611000,0.231000,2.831827
0.612000,0.230141,2.852532
0.613000,0.225207,2.809194
0.614000,0.230354,2.815567
0.615000,0.235038,2.825522
0.616000,0.231342,2.810913
0.617000,0.230128,2.813262
0.618000,0.223614,2.852013
0.619000,0.224729,2.828317
0.620000,0.230189,2.823481
0.621000,0.226628,2.811084
0.622000,0.232425,2.828080
0.623000,0.231945,2.810583
0.624000,0.227120,2.825155
0.625000,0.225961,2.825019
0.626000,0.228525,2.813003
0.627000,0.224781,2.823806
0.628000,0.232678,2.817476
0.629000,0.228687,2.827893
0.630000,0.229351,2.793362
0.631000,0.229899,2.824923
0.632000,0.230929,2.837898
0.633000,0.229748,2.837541
0.634000,0.227210,2.834530
0.635000,0.231576,2.852009
0.636000,0.229932,2.835147
0.637000,0.230230,2.810880
0.638000,0.225294,2.843691
0.639000,0.221896,2.813797
0.640000,0.225767,2.845691
0.641000,0.228922,2.805031
0.642000,0.224287,2.833732
0.643000,0.231620,2.832703
0.644000,0.226340,2.837651
0.645000,0.224074,2.804436
0.646000,0.228887,2.828478
0.647000,0.232731,2.822496
0.648000,0.228223,2.833388
0.649000,0.228223,2.821182
0.650000,0.230571,2.786940
0.651000,0.228800,2.827203
0.652000,0.230986,2.839662
0.653000,0.227178,2.858045
0.654000,0.228757,2.813698
0.655000,0.228994,2.824166
0.656000,0.231645,2.814743
0.657000,0.226374,2.798788
0.658000,0.226800,2.817294
0.659000,0.227020,2.818374
0.660000,0.229861,2.834310
0.661000,0.228456,2.823120
0.662000,0.226083,2.816370
0.663000,0.227951,2.818507
0.664000,0.229957,2.831434
0.665000,0.233251,2.793358
0.666000,0.231448,2.825198
0.667000,0.230820,2.814667
0.668000,0.230452,2.800700
0.669000,0.230031,2.811952
0.670000,0.230600,2.821394
0.671000,0.232863,2.817281
0.672000,0.228498,2.812159
0.673000,0.231726,2.816515
0.674000,0.232479,2.826942
0.675000,0.228875,2.815171
0.676000,0.228034,2.819824
0.677000,0.232678,2.826089
0.678000,0.228259,2.818298
0.679000,0.230194,2.809257
0.680000,0.236086,2.829059
0.681000,0.226936,2.807421
0.682000,0.225830,2.807202
0.683000,0.227088,2.795338
0.684000,0.225519,2.822830
0.685000,0.228637,2.810512
0.686000,0.228756,2.831948
0.687000,0.221306,2.808127
0.688000,0.221200,2.822041
0.689000,0.231949,2.823881
0.690000,0.226788,2.826931
0.691000,0.228650,2.847045
0.692000,0.231731,2.811545
0.693000,0.228944,2.841865
0.694000,0.232098,2.826242
0.695000,0.231352,2.830039
0.696000,0.226137,2.806519
0.697000,0.230567,2.809735
0.698000,0.225134,2.826825
0.699000,0.232634,2.819354
0.700000,0.227870,2.839325
0.701000,0.235842,2.803227
0.702000,0.229125,2.824388
0.703000,0.229110,2.814194
0.704000,0.231412,2.805164
0.705000,0.231090,2.831001
0.706000,0.224217,2.819672
0.707000,0.227855,2.797578
0.708000,0.226584,2.806025
0.709000,0.225919,2.824094
0.710000,0.223293,2.811456
0.711000,0.228948,2.844324
0.712000,0.226743,2.818159
0.713000,0.226253,2.845824
0.714000,0.231016,2.805371
0.715000,0.229083,2.814233
0.716000,0.225692,2.832130
0.717000,0.229637,2.836734
0.718000,0.231300,2.805224
0.719000,0.228433,2.812402
0.720000,0.230046,2.826319
0.721000,0.228602,2.804266
0.722000,0.226929,2.786724
0.723000,0.225511,2.846926
0.724000,0.232404,2.826411
0.725000,0.230163,2.839480
0.726000,0.229142,2.802319
0.727000,0.227359,2.815988
0.728000,0.229328,2.811616
0.729000,0.228171,2.845303
0.730000,0.229106,2.820008
0.731000,0.231421,2.812633
0.732000,0.226949,2.822432
0.733000,0.232029,2.828385
0.734000,0.229732,2.820800
0.735000,0.228295,2.823569
0.736000,0.228163,2.804713
0.737000,0.234807,2.822137
0.738000,0.225640,2.825838
0.739000,0.229629,2.848381
0.740000,0.232516,2.798795
0.741000,0.228641,2.825278
0.742000,0.231296,2.849359
0.743000,0.229480,2.817898
0.744000,0.231945,2.831987
0.745000,0.223884,2.803113
0.746000,0.229306,2.812031
0.747000,0.225999,2.804040
0.748000,0.227017,2.828778
0.749000,0.228875,2.818517
0.750000,0.227823,2.826346
0.751000,0.230122,2.843227
0.752000,0.231884,2.830234
0.753000,0.233212,2.837576
0.754000,0.232462,2.810748
0.755000,0.226985,2.841665
0.756000,0.228970,2.792413
0.757000,0.230180,2.834408
0.758000,0.231875,2.814908
0.759000,0.228784,2.819731
0.760000,0.230694,2.796955
0.761000,0.232828,2.816260
0.762000,0.229661,2.800568
0.763000,0.226922,2.837002
0.764000,0.231588,2.826936
0.765000,0.225039,2.825410
0.766000,0.230418,2.810124
0.767000,0.228867,2.844658
0.768000,0.227631,2.840981
0.769000,0.225284,2.803073
0.770000,0.226332,2.843168
0.771000,0.233485,2.809048
0.772000,0.229835,2.796962
