# time_s,loadcell_V,current_V
0.000000,0.127360,2.560744
0.001000,0.126360,2.569420
0.002000,0.135859,2.568188
0.003000,0.129485,2.596453
0.004000,0.126048,2.550539
0.005000,0.121532,2.562818
0.006000,0.134200,2.565388
0.007000,0.131310,2.565854
0.008000,0.127760,2.548843
0.009000,0.128654,2.554018
0.010000,0.125263,2.596575
0.011000,0.128836,2.554718
0.012000,0.127989,2.551013
0.013000,0.130398,2.569577
0.014000,0.123008,2.557675
0.015000,0.132527,2.538785
0.016000,0.127897,2.573404
0.017000,0.126133,2.539393
0.018000,0.126891,2.551948
0.019000,0.128313,2.556077
0.020000,0.131033,2.572821
0.021000,0.125434,2.547194
0.022000,0.123054,2.552799
0.023000,0.126472,2.552024
0.024000,0.131779,2.579720
0.025000,0.133679,2.556352
0.026000,0.128703,2.578612
0.027000,0.130731,2.539558
0.028000,0.127193,2.583242
0.029000,0.129042,2.557488
0.030000,0.122994,2.563332
0.031000,0.131250,2.551452
0.032000,0.129308,2.553827
0.033000,0.129611,2.553878
0.034000,0.121622,2.550726
0.035000,0.128667,2.542332
0.036000,0.126279,2.563325
0.037000,0.124113,2.533908
0.038000,0.133092,2.566798
0.039000,0.134448,2.572475
0.040000,0.121815,2.586210
0.041000,0.130464,2.551649
0.042000,0.132037,2.551002
0.043000,0.130507,2.560145
0.044000,0.128953,2.580994
0.045000,0.127976,2.572495
0.046000,0.123900,2.574497
0.047000,0.129565,2.563724
0.048000,0.126535,2.563027
0.049000,0.130912,2.554551
0.050000,0.130300,2.533070
0.051000,0.129314,2.562097
0.052000,0.133883,2.564457
0.053000,0.128670,2.565626
0.054000,0.133803,2.555231
0.055000,0.130520,2.564054
0.056000,0.129982,2.576299
0.057000,0.130920,2.566788
0.058000,0.124257,2.561970
0.059000,0.125302,2.520120
0.060000,0.129279,2.562109
0.061000,0.121630,2.536335
0.062000,0.129712,2.539956
0.063000,0.134162,2.542566
0.064000,0.130273,2.581774
0.065000,0.129530,2.573241
0.066000,0.135498,2.556168
0.067000,0.125656,2.566652
0.068000,0.126281,2.552426
0.069000,0.126629,2.560446
0.070000,0.127769,2.540932
0.071000,0.131085,2.570951
0.072000,0.127057,2.576733
0.073000,0.128157,2.574453
0.074000,0.128941,2.557454
0.075000,0.128428,2.581851
0.076000,0.131032,2.589047
0.077000,0.130383,2.554329
0.078000,0.128455,2.600238
0.079000,0.132886,2.561131
0.080000,0.129269,2.543710
0.081000,0.125161,2.551029
0.082000,0.136009,2.577235
0.083000,0.130882,2.548121
0.084000,0.125043,2.555003
0.085000,0.125468,2.558860
0.086000,0.124412,2.552077
0.087000,0.127119,2.572305
0.088000,0.130650,2.553797
0.089000,0.129676,2.554485
0.090000,0.130577,2.576984
0.091000,0.133196,2.562159
0.092000,0.129021,2.603811
0.093000,0.129583,2.555991
0.094000,0.126808,2.566925
0.095000,0.127914,2.574771
0.096000,0.127555,2.562837
0.097000,0.129510,2.561160
0.098000,0.129366,2.541701
0.099000,0.127456,2.575109
0.100000,0.130200,2.552901
0.101000,0.126121,2.588584
0.102000,0.127685,2.578372
0.103000,0.126453,2.553150
0.104000,0.123418,2.552394
0.105000,0.128805,2.599772
0.106000,0.125422,2.578187
0.107000,0.130150,2.580695
0.108000,0.130807,2.573214
0.109000,0.125675,2.564622
0.110000,0.129424,2.561791
0.111000,0.125685,2.551604
0.112000,0.131230,2.550522
0.113000,0.125806,2.575984
0.114000,0.130731,2.532174
0.115000,0.133458,2.562983
0.116000,0.125137,2.573196
0.117000,0.132738,2.587954
0.118000,0.128644,2.554022
0.119000,0.130864,2.551154
0.120000,0.125849,2.572141
0.121000,0.123900,2.573647
0.122000,0.126156,2.574521
0.123000,0.134208,2.564280
0.124000,0.128276,2.582717
0.125000,0.126730,2.564010
0.126000,0.127900,2.540208
0.127000,0.127026,2.583373
0.128000,0.125560,2.550841
0.129000,0.125936,2.545194
0.130000,0.128282,2.549118
0.131000,0.129704,2.535784
0.132000,0.131921,2.554081
0.133000,0.126977,2.581409
0.134000,0.128394,2.583807
0.135000,0.129468,2.579932
0.136000,0.123274,2.557072
0.137000,0.133217,2.546029
0.138000,0.128533,2.554840
0.139000,0.128479,2.584049
0.140000,0.131725,2.567393
0.141000,0.129138,2.568692
0.142000,0.128558,2.572715
0.143000,0.131363,2.567947
0.144000,0.129027,2.563645
0.145000,0.129789,2.555523
0.146000,0.129495,2.549287
0.147000,0.131253,2.546704
0.148000,0.128015,2.549532
0.149000,0.132466,2.564541
0.150000,0.126180,2.574161
0.151000,0.126383,2.564697
0.152000,0.131339,2.564394
0.153000,0.131677,2.567281
0.154000,0.128022,2.560974
0.155000,0.130504,2.586484
0.156000,0.129540,2.564924
0.157000,0.128544,2.585753
0.158000,0.130914,2.545286
0.159000,0.131119,2.562844
0.160000,0.132541,2.555807
0.161000,0.127607,2.555839
0.162000,0.127202,2.581655
0.163000,0.125124,2.576241
0.164000,0.131983,2.558501
0.165000,0.126874,2.553030
0.166000,0.129474,2.581750
0.167000,0.124511,2.563626
0.168000,0.132451,2.561868
0.169000,0.130653,2.582460
0.170000,0.134271,2.560124
0.171000,0.123905,2.568442
0.172000,0.127343,2.542580
0.173000,0.130337,2.562788
0.174000,0.128680,2.547486
0.175000,0.127072,2.562129
0.176000,0.129872,2.567525
0.177000,0.128747,2.570882
0.178000,0.123931,2.562359
0.179000,0.131410,2.563270
0.180000,0.132073,2.565420
0.181000,0.132813,2.563393
0.182000,0.131990,2.563763
0.183000,0.125763,2.538617
0.184000,0.131328,2.559232
0.185000,0.129455,2.561590
0.186000,0.126753,2.571534
0.187000,0.126002,2.563257
0.188000,0.122616,2.558464
0.189000,0.135925,2.575963
0.190000,0.130348,2.540276
0.191000,0.124510,2.590059
0.192000,0.125992,2.571297
0.193000,0.126697,2.569600
0.194000,0.127631,2.580643
0.195000,0.125081,2.574825
0.196000,0.130723,2.563161
0.197000,0.126322,2.575441
0.198000,0.130980,2.582926
0.199000,0.125693,2.553687
0.200000,0.128170,2.578211
0.201000,0.128617,2.581326
0.202000,0.132665,2.562281
0.203000,0.131024,2.573326
0.204000,0.127457,2.568053
0.205000,0.126111,2.567871
0.206000,0.127665,2.557648
0.207000,0.125853,2.570898
0.208000,0.130442,2.577539
0.209000,0.130011,2.543898
0.210000,0.129137,2.562720
0.211000,0.131425,2.525944
0.212000,0.126967,2.553560
0.213000,0.127442,2.560862
0.214000,0.128983,2.567629
0.215000,0.129266,2.570664
0.216000,0.128088,2.580887
0.217000,0.130622,2.563374
0.218000,0.127665,2.558286
0.219000,0.132283,2.567837
0.220000,0.131139,2.576031
0.221000,0.125910,2.560672
0.222000,0.127271,2.587614
0.223000,0.130889,2.565172
0.224000,0.130984,2.541776
0.225000,0.123275,2.573204
0.226000,0.128505,2.586515
0.227000,0.127347,2.556392
0.228000,0.130700,2.570116
0.229000,0.130416,2.551855
0.230000,0.131261,2.552975
0.231000,0.131054,2.578050
0.232000,0.126778,2.575415
0.233000,0.134380,2.558688
0.234000,0.126949,2.562333
0.235000,0.128775,2.555425
0.236000,0.128748,2.540008
0.237000,0.126288,2.596550
0.238000,0.132335,2.541187
0.239000,0.120447,2.556009
0.240000,0.132343,2.575211
0.241000,0.133668,2.548926
0.242000,0.127853,2.549987
0.243000,0.128440,2.560981
0.244000,0.126853,2.563646
0.245000,0.130916,2.552538
0.246000,0.128621,2.582150
0.247000,0.128722,2.573408
0.248000,0.132877,2.569077
0.249000,0.124791,2.542347
0.250000,0.128855,2.550596
0.251000,0.133146,2.574843
0.252000,0.127070,2.574423
0.253000,0.129806,2.575136
0.254000,0.127729,2.556664
0.255000,0.129504,2.577995
0.256000,0.126559,2.564171
