# time_s,loadcell_V
0.000000,0.089325
0.001000,0.089352
0.002000,0.091825
0.003000,0.086126
0.004000,0.090860
0.005000,0.089736
0.006000,0.088115
0.007000,0.091959
0.008000,0.091256
0.009000,0.090979
0.010000,0.090809
0.011000,0.098148
0.012000,0.090968
0.013000,0.092008
0.014000,0.085478
0.015000,0.088711
0.016000,0.086318
0.017000,0.089316
0.018000,0.084665
0.019000,0.087190
0.020000,0.084028
0.021000,0.081317
0.022000,0.090743
0.023000,0.088341
0.024000,0.082367
0.025000,0.088475
0.026000,0.091796
0.027000,0.085894
0.028000,0.088255
0.029000,0.087151
0.030000,0.094902
0.031000,0.097214
0.032000,0.086388
0.033000,0.087081
0.034000,0.086717
0.035000,0.084493
0.036000,0.089565
0.037000,0.085865
0.038000,0.089952
0.039000,0.086400
0.040000,0.089197
0.041000,0.090547
0.042000,0.088206
0.043000,0.090046
0.044000,0.090742
0.045000,0.088489
0.046000,0.085204
0.047000,0.087523
0.048000,0.088466
0.049000,0.091331
0.050000,0.089487
0.051000,0.083548
0.052000,0.089006
0.053000,0.089739
0.054000,0.089979
0.055000,0.088891
0.056000,0.087148
0.057000,0.087352
0.058000,0.089336
0.059000,0.088514
0.060000,0.089705
0.061000,0.085255
0.062000,0.090731
0.063000,0.088576
0.064000,0.086464
0.065000,0.087873
0.066000,0.090119
0.067000,0.082410
0.068000,0.084995
0.069000,0.092216
0.070000,0.085726
0.071000,0.087359
0.072000,0.086726
0.073000,0.088633
0.074000,0.085364
0.075000,0.090892
0.076000,0.088253
0.077000,0.086007
0.078000,0.085683
0.079000,0.087964
0.080000,0.081933
0.081000,0.090198
0.082000,0.090131
0.083000,0.095227
0.084000,0.090530
0.085000,0.085793
0.086000,0.086337
0.087000,0.087491
0.088000,0.087403
0.089000,0.088801
0.090000,0.087763
0.091000,0.093024
0.092000,0.089965
0.093000,0.092157
0.094000,0.093958
0.095000,0.088731
0.096000,0.088880
0.097000,0.088874
0.098000,0.089725
0.099000,0.088394
0.100000,0.089032
0.101000,0.089119
0.102000,0.085632
0.103000,0.082864
0.104000,0.088279
0.105000,0.086681
0.106000,0.084308
0.107000,0.089188
0.108000,0.090644
0.109000,0.089259
0.110000,0.088902
0.111000,0.089844
0.112000,0.087713
0.113000,0.094080
0.114000,0.093301
0.115000,0.093805
0.116000,0.090216
0.117000,0.092780
0.118000,0.089018
0.119000,0.090578
0.120000,0.087170
0.121000,0.087201
0.122000,0.088310
0.123000,0.094001
0.124000,0.088289
0.125000,0.091732
0.126000,0.083141
0.127000,0.090253
0.128000,0.090652
0.129000,0.083368
0.130000,0.088387
0.131000,0.086413
0.132000,0.085117
0.133000,0.091684
0.134000,0.094047
