Time(s) 	 Volt (v) 
0.00000 	 89.12687 
0.00500 	 89.12687 
0.01000 	 89.12687 
0.01500 	 89.12687 
0.02000 	 89.12687 
0.02500 	 89.21631 
0.03000 	 89.12687 
0.03500 	 89.21631 
0.04000 	 89.21631 
0.04500 	 89.12687 
0.05000 	 89.12687 
0.05500 	 89.21631 
0.06000 	 89.21631 
0.06500 	 89.21631 
0.07000 	 89.12687 
0.07500 	 89.12687 
0.08000 	 89.21631 
0.08500 	 89.21631 
0.09000 	 89.12687 
0.09500 	 89.21631 
0.10000 	 89.21631 
0.10500 	 89.21631 
0.11000 	 89.21631 
0.11500 	 89.21631 
0.12000 	 89.12687 
0.12500 	 89.12687 
0.13000 	 89.12687 
0.13500 	 89.21631 
0.14000 	 89.12687 
0.14500 	 89.12687 
0.15000 	 89.12687 
0.15500 	 89.12687 
0.16000 	 89.12687 
0.16500 	 89.12687 
0.17000 	 89.21631 
0.17500 	 89.12687 
0.18000 	 89.12687 
0.18500 	 89.21631 
0.19000 	 89.21631 
0.19500 	 89.21631 
0.20000 	 89.21631 
0.20500 	 89.21631 
0.21000 	 89.21631 
0.21500 	 89.21631 
0.22000 	 89.21631 
0.22500 	 89.21631 
0.23000 	 89.21631 
0.23500 	 89.21631 
0.24000 	 89.21631 
0.24500 	 89.21631 
0.25000 	 89.21631 
0.25500 	 89.21631 
0.26000 	 89.21631 
0.26500 	 89.21631 
0.27000 	 89.21631 
0.27500 	 89.21631 
0.28000 	 89.21631 
0.28500 	 89.21631 
0.29000 	 89.21631 
0.29500 	 89.21631 
0.30000 	 89.21631 
0.30500 	 89.30575 
0.31000 	 89.21631 
0.31500 	 89.21631 
0.32000 	 89.21631 
0.32500 	 89.21631 
0.33000 	 89.21631 
0.33500 	 89.21631 
0.34000 	 89.21631 
0.34500 	 89.21631 
0.35000 	 89.21631 
0.35500 	 89.21631 
0.36000 	 89.21631 
0.36500 	 89.21631 
0.37000 	 89.21631 
0.37500 	 89.21631 
0.38000 	 89.21631 
0.38500 	 89.21631 
0.39000 	 89.30575 
0.39500 	 89.30575 
0.40000 	 89.21631 
0.40500 	 89.21631 
0.41000 	 89.21631 
0.41500 	 89.21631 
0.42000 	 89.21631 
0.42500 	 89.21631 
0.43000 	 89.21631 
0.43500 	 89.21631 
0.44000 	 89.30575 
0.44500 	 89.21631 
0.45000 	 89.30575 
0.45500 	 89.21631 
0.46000 	 89.21631 
0.46500 	 89.21631 
0.47000 	 89.21631 
0.47500 	 89.21631 
0.48000 	 89.21631 
0.48500 	 89.21631 
0.49000 	 89.30575 
0.49500 	 89.30575 
0.50000 	 89.30575 
0.50500 	 89.21631 
0.51000 	 89.21631 
0.51500 	 89.21631 
0.52000 	 89.21631 
0.52500 	 89.30575 
0.53000 	 89.21631 
0.53500 	 89.21631 
0.54000 	 89.21631 
0.54500 	 89.21631 
0.55000 	 89.21631 
0.55500 	 89.30575 
0.56000 	 89.30575 
0.56500 	 89.21631 
0.57000 	 89.21631 
0.57500 	 89.21631 
0.58000 	 89.30575 
0.58500 	 89.21631 
0.59000 	 89.21631 
0.59500 	 89.21631 
0.60000 	 89.30575 
0.60500 	 89.21631 
0.61000 	 89.30575 
0.61500 	 89.30575 
0.62000 	 89.21631 
0.62500 	 89.21631 
0.63000 	 89.30575 
0.63500 	 89.21631 
0.64000 	 89.21631 
0.64500 	 89.21631 
0.65000 	 89.21631 
0.65500 	 89.21631 
0.66000 	 89.21631 
0.66500 	 89.21631 
0.67000 	 89.21631 
0.67500 	 89.21631 
0.68000 	 89.21631 
0.68500 	 89.21631 
0.69000 	 89.21631 
0.69500 	 89.21631 
0.70000 	 89.21631 
0.70500 	 89.21631 
0.71000 	 89.21631 
0.71500 	 89.21631 
