Time(s) 	 Volt (v) 
0.00000 	 3.41546 
0.05000 	 3.41546 
0.10000 	 3.41546 
0.15000 	 3.41546 
0.20000 	 3.41546 
0.25000 	 3.41546 
0.30000 	 3.41546 
0.35000 	 3.41546 
0.40000 	 3.41546 
0.45000 	 3.41675 
0.50000 	 3.41675 
0.55000 	 3.41546 
0.60000 	 3.41546 
0.65000 	 3.41546 
0.70000 	 3.41546 
0.75000 	 3.41546 
0.80000 	 3.41675 
0.85000 	 3.41546 
0.90000 	 3.41546 
0.95000 	 3.41546 
1.00000 	 3.41546 
1.05000 	 3.41675 
1.10000 	 3.41675 
1.15000 	 3.41675 
1.20000 	 3.41546 
1.25000 	 3.41675 
1.30000 	 3.41546 
1.35000 	 3.41675 
1.40000 	 3.41675 
1.45000 	 3.41675 
1.50000 	 3.41675 
1.55000 	 3.41675 
1.60000 	 3.41675 
1.65000 	 3.41675 
1.70000 	 3.41675 
1.75000 	 3.41675 
1.80000 	 3.41804 
1.85000 	 3.41675 
1.90000 	 3.41804 
1.95000 	 3.41675 
2.00000 	 3.41675 
2.05000 	 3.41675 
2.10000 	 3.41675 
2.15000 	 3.41675 
2.20000 	 3.41675 
2.25000 	 3.41675 
2.30000 	 3.41804 
2.35000 	 3.41804 
2.40000 	 3.41675 
2.45000 	 3.41675 
2.50000 	 3.41675 
2.55000 	 3.41675 
2.60000 	 3.41804 
2.65000 	 3.41675 
2.70000 	 3.41675 
2.75000 	 3.41675 
2.80000 	 3.41804 
2.85000 	 3.41804 
2.90000 	 3.41675 
2.95000 	 3.41675 
3.00000 	 3.41675 
3.05000 	 3.41675 
3.10000 	 3.41804 
3.15000 	 3.41675 
3.20000 	 3.41804 
3.25000 	 3.41675 
3.30000 	 3.41675 
3.35000 	 3.41675 
3.40000 	 3.41804 
3.45000 	 3.41675 
3.50000 	 3.41804 
3.55000 	 3.41675 
3.60000 	 3.41675 
3.65000 	 3.41675 
3.70000 	 3.41804 
3.75000 	 3.41804 
3.80000 	 3.41804 
3.85000 	 3.41804 
3.90000 	 3.41804 
3.95000 	 3.41804 
4.00000 	 3.41804 
4.05000 	 3.41804 
4.10000 	 3.41675 
4.15000 	 3.41804 
4.20000 	 3.41804 
4.25000 	 3.41804 
4.30000 	 3.41804 
4.35000 	 3.41675 
4.40000 	 3.41804 
4.45000 	 3.41804 
4.50000 	 3.41675 
4.55000 	 3.41804 
4.60000 	 3.41675 
4.65000 	 3.41804 
4.70000 	 3.41804 
4.75000 	 3.41804 
4.80000 	 3.41804 
4.85000 	 3.41804 
4.90000 	 3.41804 
4.95000 	 3.41804 
