Time(s) 	 Volt (v) 
0.00000 	 -4.73655 
0.05000 	 -4.73655 
0.10000 	 -4.73655 
0.15000 	 -4.73655 
0.20000 	 -4.73655 
0.25000 	 -4.73655 
0.30000 	 -4.73655 
0.35000 	 -4.73655 
0.40000 	 -4.73655 
0.45000 	 -4.73655 
0.50000 	 -4.73655 
0.55000 	 -4.73655 
0.60000 	 -4.73655 
0.65000 	 -4.73655 
0.70000 	 -4.73655 
0.75000 	 -4.73655 
0.80000 	 -4.73655 
0.85000 	 -4.73655 
0.90000 	 -4.73655 
0.95000 	 -4.73655 
1.00000 	 -4.73655 
1.05000 	 -4.73655 
1.10000 	 -4.73655 
1.15000 	 -4.73655 
1.20000 	 -4.73655 
1.25000 	 -4.73655 
1.30000 	 -4.73655 
1.35000 	 -4.73655 
1.40000 	 -4.73655 
1.45000 	 -4.73655 
1.50000 	 -4.73655 
1.55000 	 -4.73655 
1.60000 	 -4.73655 
1.65000 	 -4.73655 
1.70000 	 -4.73655 
1.75000 	 -4.82995 
1.80000 	 -4.82995 
1.85000 	 -4.73655 
1.90000 	 -4.73655 
1.95000 	 -4.73655 
2.00000 	 -4.73655 
2.05000 	 -4.73655 
2.10000 	 -4.73655 
2.15000 	 -4.73655 
2.20000 	 -4.73655 
2.25000 	 -4.73655 
2.30000 	 -4.73655 
2.35000 	 -4.73655 
2.40000 	 -4.73655 
2.45000 	 -4.73655 
2.50000 	 -4.82995 
2.55000 	 -4.73655 
2.60000 	 -4.73655 
2.65000 	 -4.73655 
2.70000 	 -4.73655 
2.75000 	 -4.82995 
2.80000 	 -4.73655 
2.85000 	 -4.73655 
2.90000 	 -4.73655 
2.95000 	 -4.73655 
3.00000 	 -4.73655 
3.05000 	 -4.73655 
3.10000 	 -4.73655 
3.15000 	 -4.73655 
3.20000 	 -4.73655 
3.25000 	 -4.73655 
3.30000 	 -4.73655 
3.35000 	 -4.73655 
3.40000 	 -4.73655 
3.45000 	 -4.73655 
3.50000 	 -4.73655 
3.55000 	 -4.73655 
3.60000 	 -4.73655 
3.65000 	 -4.73655 
3.70000 	 -4.73655 
3.75000 	 -4.73655 
3.80000 	 -4.73655 
3.85000 	 -4.73655 
3.90000 	 -4.73655 
3.95000 	 -4.64314 
4.00000 	 -1.09380 
4.05000 	 6.65872 
4.10000 	 15.62548 
4.15000 	 25.24607 
4.20000 	 35.24028 
4.25000 	 43.55322 
4.30000 	 50.46510 
4.35000 	 56.90996 
4.40000 	 62.60759 
4.45000 	 67.74480 
4.50000 	 72.78861 
4.55000 	 76.71157 
4.60000 	 78.57964 
4.65000 	 79.60708 
4.70000 	 79.60708 
4.75000 	 79.60708 
4.80000 	 79.70049 
4.85000 	 79.98070 
4.90000 	 80.63453 
4.95000 	 81.28835 
5.00000 	 81.47516 
5.05000 	 81.75537 
5.10000 	 81.75537 
5.15000 	 81.75537 
5.20000 	 81.75537 
5.25000 	 81.75537 
5.30000 	 81.75537 
5.35000 	 81.66197 
5.40000 	 81.66197 
5.45000 	 81.66197 
5.50000 	 81.47516 
5.55000 	 80.82133 
5.60000 	 80.82133 
5.65000 	 81.19495 
5.70000 	 81.75537 
5.75000 	 82.12899 
5.80000 	 81.38176 
5.85000 	 81.38176 
5.90000 	 82.31579 
5.95000 	 83.06302 
6.00000 	 83.06302 
6.05000 	 82.87622 
6.10000 	 82.96962 
6.15000 	 83.34324 
6.20000 	 83.71685 
6.25000 	 84.46408 
6.30000 	 84.65089 
6.35000 	 84.83770 
6.40000 	 85.21131 
6.45000 	 85.77173 
6.50000 	 86.14535 
6.55000 	 86.42556 
6.60000 	 86.42556 
6.65000 	 86.42556 
6.70000 	 86.33216 
6.75000 	 86.33216 
6.80000 	 86.23875 
6.85000 	 86.14535 
6.90000 	 86.14535 
6.95000 	 86.14535 
7.00000 	 86.05195 
7.05000 	 86.05195 
7.10000 	 86.14535 
7.15000 	 86.23875 
7.20000 	 86.33216 
7.25000 	 86.42556 
7.30000 	 86.42556 
7.35000 	 86.42556 
7.40000 	 86.42556 
7.45000 	 86.42556 
7.50000 	 86.33216 
7.55000 	 86.33216 
7.60000 	 86.33216 
7.65000 	 86.33216 
7.70000 	 86.33216 
7.75000 	 86.42556 
7.80000 	 86.33216 
7.85000 	 86.33216 
7.90000 	 86.23875 
7.95000 	 86.23875 
8.00000 	 86.33216 
8.05000 	 86.23875 
8.10000 	 86.33216 
8.15000 	 86.23875 
8.20000 	 86.23875 
8.25000 	 86.23875 
8.30000 	 86.23875 
8.35000 	 86.33216 
8.40000 	 86.23875 
8.45000 	 86.23875 
8.50000 	 86.33216 
8.55000 	 86.23875 
8.60000 	 86.23875 
8.65000 	 86.23875 
8.70000 	 86.23875 
8.75000 	 86.23875 
8.80000 	 86.14535 
8.85000 	 86.14535 
8.90000 	 86.14535 
