times (s) 	 Angular position (degrees) 	 Accerleration (m/s^{2}) 
0.000000 	 -90.046388 	 0.232744 
0.001000 	 -90.130559 	 0.232744 
0.002000 	 -90.130559 	 0.350862 
0.003000 	 -90.046388 	 0.291803 
0.004000 	 -90.130559 	 0.350862 
0.005000 	 -90.046388 	 0.350862 
0.006000 	 -90.046388 	 0.350862 
0.007000 	 -90.046388 	 0.468980 
0.008000 	 -90.130559 	 0.232744 
0.009000 	 -90.046388 	 0.173685 
0.010000 	 -90.046388 	 0.173685 
0.011000 	 -90.046388 	 0.173685 
0.012000 	 -90.046388 	 0.173685 
0.013000 	 -90.046388 	 0.114626 
0.014000 	 -90.046388 	 0.114626 
0.015000 	 -90.046388 	 0.232744 
0.016000 	 -90.046388 	 0.232744 
0.017000 	 -90.046388 	 0.291803 
0.018000 	 -90.130559 	 0.350862 
0.019000 	 -90.046388 	 0.291803 
0.020000 	 -90.046388 	 0.232744 
0.021000 	 -90.046388 	 0.291803 
0.022000 	 -90.046388 	 0.232744 
0.023000 	 -90.046388 	 0.409921 
0.024000 	 -90.046388 	 0.232744 
0.025000 	 -90.130559 	 0.232744 
0.026000 	 -90.046388 	 0.232744 
0.027000 	 -90.046388 	 0.291803 
0.028000 	 -90.046388 	 0.350862 
0.029000 	 -90.046388 	 0.232744 
0.030000 	 -90.046388 	 0.350862 
0.031000 	 -90.046388 	 0.232744 
0.032000 	 -90.046388 	 0.232744 
0.033000 	 -90.046388 	 0.232744 
0.034000 	 -90.046388 	 0.409921 
0.035000 	 -90.046388 	 0.173685 
0.036000 	 -90.130559 	 0.173685 
0.037000 	 -90.046388 	 0.291803 
0.038000 	 -90.046388 	 0.291803 
0.039000 	 -90.046388 	 0.350862 
0.040000 	 -90.046388 	 0.409921 
0.041000 	 -90.046388 	 0.173685 
0.042000 	 -90.046388 	 0.291803 
0.043000 	 -90.046388 	 0.114626 
0.044000 	 -90.046388 	 0.173685 
0.045000 	 -90.046388 	 0.232744 
0.046000 	 -90.046388 	 0.173685 
0.047000 	 -90.046388 	 0.232744 
0.048000 	 -90.046388 	 0.232744 
