times (s) 	 Voltage (V) 
0.000000 	 0.490190 
0.001000 	 0.488561 
0.002000 	 0.535805 
0.003000 	 0.630619 
0.004000 	 0.770071 
0.005000 	 0.953183 
0.006000 	 1.173765 
0.007000 	 1.425951 
0.008000 	 1.704529 
0.009000 	 2.003634 
0.010000 	 2.312839 
0.011000 	 2.626932 
0.012000 	 2.936137 
0.013000 	 3.235893 
0.014000 	 3.516426 
0.015000 	 3.771219 
0.016000 	 3.995059 
0.017000 	 4.181755 
0.018000 	 4.326094 
0.019000 	 4.424818 
0.020000 	 4.476950 
0.021000 	 4.478905 
0.022000 	 4.431335 
0.023000 	 4.337824 
0.024000 	 4.197069 
0.025000 	 4.013305 
0.026000 	 3.793701 
0.027000 	 3.541514 
0.028000 	 3.262937 
0.029000 	 2.965461 
0.030000 	 2.655930 
0.031000 	 2.340860 
0.032000 	 2.031655 
0.033000 	 1.732224 
0.034000 	 1.452343 
0.035000 	 1.196247 
0.036000 	 0.972407 
0.037000 	 0.786362 
0.038000 	 0.641046 
0.039000 	 0.541670 
0.040000 	 0.491167 
0.041000 	 0.488235 
0.042000 	 0.536457 
0.043000 	 0.628990 
0.044000 	 0.769420 
0.045000 	 0.952532 
0.046000 	 1.172787 
0.047000 	 1.425300 
0.048000 	 1.703877 
0.049000 	 2.001027 
0.050000 	 2.310884 
0.051000 	 2.623999 
0.052000 	 2.935485 
0.053000 	 3.233938 
0.054000 	 3.515123 
0.055000 	 3.771871 
0.056000 	 3.993430 
0.057000 	 4.180126 
0.058000 	 4.325443 
0.059000 	 4.424167 
0.060000 	 4.476298 
0.061000 	 4.478905 
0.062000 	 4.431986 
0.063000 	 4.336846 
0.064000 	 4.197394 
0.065000 	 4.016237 
0.066000 	 3.795330 
0.067000 	 3.543144 
0.068000 	 3.264891 
0.069000 	 2.968393 
0.070000 	 2.657233 
0.071000 	 2.343141 
0.072000 	 2.033284 
0.073000 	 1.733853 
0.074000 	 1.452994 
0.075000 	 1.197876 
0.076000 	 0.973058 
0.077000 	 0.787340 
0.078000 	 0.642023 
0.079000 	 0.542973 
0.080000 	 0.490842 
0.081000 	 0.487583 
0.082000 	 0.534502 
0.083000 	 0.628664 
0.084000 	 0.768768 
