times (s) 	 Voltage (V) 
0.000000 	 4.069346 
0.001000 	 4.072930 
0.002000 	 4.076840 
0.003000 	 4.080424 
0.004000 	 4.082705 
0.005000 	 4.087267 
0.006000 	 4.091502 
0.007000 	 4.095086 
0.008000 	 4.098019 
0.009000 	 4.103232 
0.010000 	 4.105838 
0.011000 	 4.109422 
0.012000 	 4.112681 
0.013000 	 4.117242 
0.014000 	 4.120826 
0.015000 	 4.124084 
0.016000 	 4.127994 
0.017000 	 4.132230 
0.018000 	 4.135162 
0.019000 	 4.138746 
0.020000 	 4.141679 
0.021000 	 4.144937 
0.022000 	 4.149173 
0.023000 	 4.152431 
0.024000 	 4.155689 
0.025000 	 4.159925 
0.026000 	 4.162857 
0.027000 	 4.166441 
0.028000 	 4.169374 
0.029000 	 4.173609 
0.030000 	 4.177193 
0.031000 	 4.179474 
0.032000 	 4.183058 
0.033000 	 4.186316 
0.034000 	 4.189901 
0.035000 	 4.193485 
0.036000 	 4.196743 
0.037000 	 4.199349 
0.038000 	 4.202933 
0.039000 	 4.206517 
0.040000 	 4.208472 
0.041000 	 4.212708 
0.042000 	 4.215640 
0.043000 	 4.219225 
0.044000 	 4.222157 
0.045000 	 4.225089 
0.046000 	 4.227370 
0.047000 	 4.231280 
0.048000 	 4.234864 
0.049000 	 4.236819 
0.050000 	 4.239751 
0.051000 	 4.242032 
0.052000 	 4.245942 
0.053000 	 4.250178 
0.054000 	 4.252133 
0.055000 	 4.254088 
0.056000 	 4.258323 
0.057000 	 4.260604 
0.058000 	 4.264188 
0.059000 	 4.266469 
0.060000 	 4.269401 
0.061000 	 4.272659 
0.062000 	 4.275266 
0.063000 	 4.277547 
0.064000 	 4.280479 
0.065000 	 4.284389 
0.066000 	 4.286018 
0.067000 	 4.288950 
0.068000 	 4.290580 
0.069000 	 4.294489 
0.070000 	 4.296119 
0.071000 	 4.299703 
0.072000 	 4.301658 
0.073000 	 4.305242 
0.074000 	 4.308174 
0.075000 	 4.309151 
0.076000 	 4.311758 
0.077000 	 4.315668 
0.078000 	 4.318274 
0.079000 	 4.320881 
0.080000 	 4.322184 
0.081000 	 4.325443 
0.082000 	 4.328375 
0.083000 	 4.330330 
0.084000 	 4.332285 
0.085000 	 4.333914 
0.086000 	 4.338475 
0.087000 	 4.339127 
0.088000 	 4.340756 
0.089000 	 4.344340 
0.090000 	 4.346947 
0.091000 	 4.348576 
0.092000 	 4.350857 
0.093000 	 4.352812 
0.094000 	 4.355744 
0.095000 	 4.357373 
0.096000 	 4.359654 
0.097000 	 4.361935 
0.098000 	 4.363890 
0.099000 	 4.367474 
0.100000 	 4.367474 
0.101000 	 4.370080 
0.102000 	 4.372035 
0.103000 	 4.374642 
0.104000 	 4.376922 
0.105000 	 4.378552 
0.106000 	 4.380506 
0.107000 	 4.382461 
0.108000 	 4.384416 
0.109000 	 4.386045 
0.110000 	 4.388000 
0.111000 	 4.390607 
0.112000 	 4.391910 
0.113000 	 4.394517 
0.114000 	 4.395168 
0.115000 	 4.396472 
0.116000 	 4.400056 
0.117000 	 4.400707 
0.118000 	 4.403314 
0.119000 	 4.403640 
0.120000 	 4.407224 
0.121000 	 4.408201 
0.122000 	 4.409505 
0.123000 	 4.411134 
0.124000 	 4.413415 
0.125000 	 4.415044 
0.126000 	 4.416021 
0.127000 	 4.417324 
0.128000 	 4.420257 
0.129000 	 4.421886 
0.130000 	 4.424167 
0.131000 	 4.424492 
0.132000 	 4.425144 
0.133000 	 4.428402 
0.134000 	 4.428728 
0.135000 	 4.430683 
0.136000 	 4.431335 
0.137000 	 4.433941 
0.138000 	 4.435245 
0.139000 	 4.436222 
0.140000 	 4.436874 
0.141000 	 4.439480 
0.142000 	 4.440458 
0.143000 	 4.441761 
0.144000 	 4.443064 
0.145000 	 4.445019 
0.146000 	 4.445345 
0.147000 	 4.446648 
0.148000 	 4.447952 
0.149000 	 4.448603 
0.150000 	 4.450558 
0.151000 	 4.450558 
0.152000 	 4.452187 
0.153000 	 4.453491 
0.154000 	 4.454794 
0.155000 	 4.456097 
0.156000 	 4.457075 
0.157000 	 4.456749 
0.158000 	 4.458378 
0.159000 	 4.459030 
0.160000 	 4.461636 
0.161000 	 4.462288 
0.162000 	 4.462288 
0.163000 	 4.463265 
0.164000 	 4.463917 
0.165000 	 4.465220 
0.166000 	 4.465872 
0.167000 	 4.467827 
0.168000 	 4.468478 
0.169000 	 4.468478 
0.170000 	 4.469130 
0.171000 	 4.470759 
0.172000 	 4.472063 
0.173000 	 4.471737 
0.174000 	 4.472063 
0.175000 	 4.473366 
0.176000 	 4.473366 
0.177000 	 4.474669 
0.178000 	 4.475321 
0.179000 	 4.473692 
0.180000 	 4.476624 
0.181000 	 4.477276 
0.182000 	 4.476950 
0.183000 	 4.477601 
0.184000 	 4.478905 
0.185000 	 4.478579 
0.186000 	 4.478905 
0.187000 	 4.478579 
0.188000 	 4.480534 
0.189000 	 4.480860 
0.190000 	 4.481186 
0.191000 	 4.480208 
0.192000 	 4.483140 
0.193000 	 4.481837 
0.194000 	 4.481837 
0.195000 	 4.481511 
0.196000 	 4.481837 
0.197000 	 4.483466 
0.198000 	 4.484118 
0.199000 	 4.482815 
0.200000 	 4.483466 
0.201000 	 4.484118 
0.202000 	 4.485095 
0.203000 	 4.483140 
0.204000 	 4.483792 
0.205000 	 4.484770 
0.206000 	 4.484770 
0.207000 	 4.484444 
0.208000 	 4.483792 
0.209000 	 4.485095 
0.210000 	 4.484444 
0.211000 	 4.485095 
0.212000 	 4.484118 
0.213000 	 4.485421 
0.214000 	 4.485421 
0.215000 	 4.484770 
0.216000 	 4.484118 
0.217000 	 4.484118 
0.218000 	 4.483466 
0.219000 	 4.484444 
0.220000 	 4.483466 
0.221000 	 4.483466 
0.222000 	 4.483466 
0.223000 	 4.482815 
0.224000 	 4.482489 
0.225000 	 4.483140 
0.226000 	 4.480534 
0.227000 	 4.482163 
0.228000 	 4.480860 
0.229000 	 4.481186 
0.230000 	 4.479882 
0.231000 	 4.480534 
0.232000 	 4.479556 
0.233000 	 4.479882 
0.234000 	 4.479231 
0.235000 	 4.478253 
0.236000 	 4.477276 
0.237000 	 4.477276 
0.238000 	 4.476298 
0.239000 	 4.475321 
0.240000 	 4.474995 
0.241000 	 4.474343 
0.242000 	 4.474017 
0.243000 	 4.471411 
0.244000 	 4.473040 
0.245000 	 4.472388 
0.246000 	 4.470433 
0.247000 	 4.469456 
0.248000 	 4.469782 
0.249000 	 4.468478 
0.250000 	 4.468153 
0.251000 	 4.466849 
0.252000 	 4.466198 
0.253000 	 4.466198 
0.254000 	 4.464569 
0.255000 	 4.462940 
0.256000 	 4.463917 
0.257000 	 4.462614 
0.258000 	 4.460659 
0.259000 	 4.460007 
0.260000 	 4.458704 
0.261000 	 4.459030 
0.262000 	 4.456423 
0.263000 	 4.456097 
0.264000 	 4.454794 
0.265000 	 4.454468 
0.266000 	 4.453165 
0.267000 	 4.451536 
0.268000 	 4.449907 
0.269000 	 4.449907 
0.270000 	 4.448278 
0.271000 	 4.446323 
0.272000 	 4.445345 
0.273000 	 4.445019 
0.274000 	 4.443390 
0.275000 	 4.441761 
0.276000 	 4.440132 
0.277000 	 4.439480 
0.278000 	 4.438829 
0.279000 	 4.436222 
0.280000 	 4.435245 
0.281000 	 4.433616 
0.282000 	 4.432638 
0.283000 	 4.431009 
0.284000 	 4.430357 
0.285000 	 4.427751 
0.286000 	 4.427099 
0.287000 	 4.424818 
0.288000 	 4.423515 
0.289000 	 4.421886 
0.290000 	 4.419279 
0.291000 	 4.418302 
0.292000 	 4.417324 
0.293000 	 4.416021 
0.294000 	 4.412763 
0.295000 	 4.413089 
0.296000 	 4.411785 
0.297000 	 4.408527 
0.298000 	 4.406246 
0.299000 	 4.405595 
0.300000 	 4.404292 
0.301000 	 4.402011 
0.302000 	 4.399078 
0.303000 	 4.398101 
0.304000 	 4.396146 
0.305000 	 4.394517 
0.306000 	 4.392888 
0.307000 	 4.389955 
0.308000 	 4.388978 
0.309000 	 4.387023 
0.310000 	 4.384742 
0.311000 	 4.381158 
0.312000 	 4.379855 
0.313000 	 4.378552 
0.314000 	 4.375945 
0.315000 	 4.373664 
0.316000 	 4.373338 
0.317000 	 4.370406 
0.318000 	 4.368451 
0.319000 	 4.366170 
0.320000 	 4.364215 
0.321000 	 4.361935 
0.322000 	 4.360631 
0.323000 	 4.357373 
0.324000 	 4.356070 
0.325000 	 4.353789 
0.326000 	 4.350857 
0.327000 	 4.348250 
0.328000 	 4.346295 
0.329000 	 4.344666 
0.330000 	 4.342711 
0.331000 	 4.338801 
0.332000 	 4.337498 
0.333000 	 4.335543 
0.334000 	 4.332936 
0.335000 	 4.330656 
0.336000 	 4.327397 
0.337000 	 4.325443 
0.338000 	 4.323162 
0.339000 	 4.320229 
0.340000 	 4.318274 
0.341000 	 4.315668 
0.342000 	 4.313061 
0.343000 	 4.310129 
0.344000 	 4.308174 
0.345000 	 4.304916 
0.346000 	 4.303612 
0.347000 	 4.299703 
0.348000 	 4.296770 
0.349000 	 4.294815 
0.350000 	 4.292209 
0.351000 	 4.289602 
0.352000 	 4.286996 
0.353000 	 4.284389 
0.354000 	 4.279827 
0.355000 	 4.277873 
0.356000 	 4.275266 
0.357000 	 4.272985 
0.358000 	 4.269727 
0.359000 	 4.266795 
0.360000 	 4.263862 
0.361000 	 4.261581 
0.362000 	 4.257997 
0.363000 	 4.255391 
0.364000 	 4.252133 
0.365000 	 4.249200 
0.366000 	 4.245942 
0.367000 	 4.244964 
0.368000 	 4.240403 
0.369000 	 4.237471 
0.370000 	 4.234212 
0.371000 	 4.229977 
0.372000 	 4.228348 
0.373000 	 4.225415 
0.374000 	 4.221831 
0.375000 	 4.217595 
0.376000 	 4.215315 
0.377000 	 4.213686 
0.378000 	 4.209450 
0.379000 	 4.206192 
0.380000 	 4.203911 
0.381000 	 4.199675 
0.382000 	 4.196417 
0.383000 	 4.193485 
0.384000 	 4.191204 
0.385000 	 4.186642 
0.386000 	 4.183384 
0.387000 	 4.180452 
0.388000 	 4.176216 
0.389000 	 4.173284 
0.390000 	 4.170351 
0.391000 	 4.166767 
0.392000 	 4.163183 
0.393000 	 4.160902 
0.394000 	 4.156667 
0.395000 	 4.152431 
0.396000 	 4.149173 
0.397000 	 4.146240 
0.398000 	 4.142005 
0.399000 	 4.138746 
0.400000 	 4.135488 
0.401000 	 4.132230 
0.402000 	 4.128972 
0.403000 	 4.125062 
0.404000 	 4.120826 
0.405000 	 4.117568 
0.406000 	 4.113984 
0.407000 	 4.110400 
0.408000 	 4.106490 
0.409000 	 4.102906 
0.410000 	 4.099648 
0.411000 	 4.095086 
0.412000 	 4.091176 
0.413000 	 4.088244 
0.414000 	 4.084986 
0.415000 	 4.081076 
0.416000 	 4.076189 
0.417000 	 4.072605 
0.418000 	 4.067717 
0.419000 	 4.065762 
0.420000 	 4.061201 
0.421000 	 4.057291 
0.422000 	 4.053055 
0.423000 	 4.049797 
0.424000 	 4.045887 
0.425000 	 4.041326 
0.426000 	 4.038067 
0.427000 	 4.034158 
0.428000 	 4.030248 
0.429000 	 4.025035 
0.430000 	 4.021450 
0.431000 	 4.018518 
0.432000 	 4.013957 
0.433000 	 4.009395 
0.434000 	 4.003856 
0.435000 	 4.001250 
0.436000 	 3.997340 
0.437000 	 3.993430 
0.438000 	 3.989194 
0.439000 	 3.983981 
0.440000 	 3.981374 
0.441000 	 3.977139 
0.442000 	 3.972577 
0.443000 	 3.968016 
0.444000 	 3.964757 
0.445000 	 3.960196 
0.446000 	 3.955309 
0.447000 	 3.951399 
0.448000 	 3.947815 
0.449000 	 3.944231 
0.450000 	 3.938692 
0.451000 	 3.932827 
0.452000 	 3.930220 
0.453000 	 3.926310 
0.454000 	 3.920771 
0.455000 	 3.916536 
0.456000 	 3.911974 
0.457000 	 3.908716 
0.458000 	 3.903503 
0.459000 	 3.899593 
0.460000 	 3.894380 
0.461000 	 3.890470 
0.462000 	 3.885257 
0.463000 	 3.881021 
0.464000 	 3.876785 
0.465000 	 3.871898 
0.466000 	 3.867337 
0.467000 	 3.863427 
0.468000 	 3.858865 
0.469000 	 3.853326 
0.470000 	 3.849742 
0.471000 	 3.845181 
0.472000 	 3.839642 
0.473000 	 3.835406 
0.474000 	 3.830845 
0.475000 	 3.826609 
0.476000 	 3.821070 
0.477000 	 3.817486 
0.478000 	 3.812598 
0.479000 	 3.808037 
0.480000 	 3.803801 
0.481000 	 3.797936 
0.482000 	 3.792398 
0.483000 	 3.789465 
0.484000 	 3.784252 
0.485000 	 3.778387 
0.486000 	 3.773174 
0.487000 	 3.769916 
0.488000 	 3.765028 
0.489000 	 3.760467 
0.490000 	 3.754276 
0.491000 	 3.750041 
0.492000 	 3.744176 
0.493000 	 3.739614 
0.494000 	 3.735053 
0.495000 	 3.730817 
0.496000 	 3.725604 
0.497000 	 3.720717 
0.498000 	 3.715178 
0.499000 	 3.709965 
0.500000 	 3.706055 
0.501000 	 3.701167 
0.502000 	 3.695303 
0.503000 	 3.690089 
0.504000 	 3.685854 
0.505000 	 3.679989 
0.506000 	 3.675753 
0.507000 	 3.670540 
0.508000 	 3.665653 
0.509000 	 3.660440 
0.510000 	 3.656204 
0.511000 	 3.650339 
0.512000 	 3.646103 
0.513000 	 3.640564 
0.514000 	 3.635351 
0.515000 	 3.629486 
0.516000 	 3.624925 
0.517000 	 3.620038 
0.518000 	 3.615150 
0.519000 	 3.608308 
0.520000 	 3.604398 
0.521000 	 3.599511 
0.522000 	 3.592994 
0.523000 	 3.588107 
0.524000 	 3.583546 
0.525000 	 3.578332 
0.526000 	 3.572793 
0.527000 	 3.567254 
0.528000 	 3.562041 
0.529000 	 3.556502 
0.530000 	 3.551615 
0.531000 	 3.546728 
0.532000 	 3.541189 
0.533000 	 3.534672 
0.534000 	 3.529785 
0.535000 	 3.524246 
0.536000 	 3.519684 
0.537000 	 3.513494 
0.538000 	 3.508606 
0.539000 	 3.503393 
0.540000 	 3.497854 
0.541000 	 3.492641 
0.542000 	 3.487102 
0.543000 	 3.480912 
0.544000 	 3.476350 
0.545000 	 3.469508 
0.546000 	 3.463643 
0.547000 	 3.459407 
0.548000 	 3.454194 
0.549000 	 3.448003 
0.550000 	 3.442465 
0.551000 	 3.437577 
0.552000 	 3.432690 
0.553000 	 3.426499 
0.554000 	 3.420634 
0.555000 	 3.415421 
0.556000 	 3.409556 
0.557000 	 3.403692 
0.558000 	 3.397827 
0.559000 	 3.393917 
0.560000 	 3.387401 
0.561000 	 3.381210 
0.562000 	 3.375997 
0.563000 	 3.369480 
0.564000 	 3.365570 
0.565000 	 3.359054 
0.566000 	 3.352212 
0.567000 	 3.347650 
0.568000 	 3.342763 
0.569000 	 3.336898 
0.570000 	 3.330382 
0.571000 	 3.324843 
0.572000 	 3.319955 
0.573000 	 3.314091 
0.574000 	 3.308226 
0.575000 	 3.301709 
0.576000 	 3.296822 
0.577000 	 3.290631 
0.578000 	 3.285092 
0.579000 	 3.279228 
0.580000 	 3.273363 
0.581000 	 3.266846 
0.582000 	 3.262285 
0.583000 	 3.255768 
0.584000 	 3.250229 
0.585000 	 3.245016 
0.586000 	 3.239151 
0.587000 	 3.232635 
0.588000 	 3.226119 
0.589000 	 3.221883 
0.590000 	 3.215692 
0.591000 	 3.209502 
0.592000 	 3.202985 
0.593000 	 3.198098 
0.594000 	 3.191907 
0.595000 	 3.186042 
0.596000 	 3.179526 
0.597000 	 3.173987 
0.598000 	 3.168774 
0.599000 	 3.162909 
0.600000 	 3.155741 
0.601000 	 3.150854 
0.602000 	 3.144337 
0.603000 	 3.138798 
0.604000 	 3.132282 
0.605000 	 3.126091 
0.606000 	 3.120226 
0.607000 	 3.114362 
0.608000 	 3.108497 
0.609000 	 3.102306 
0.610000 	 3.096116 
0.611000 	 3.090902 
0.612000 	 3.085363 
0.613000 	 3.078521 
0.614000 	 3.072656 
0.615000 	 3.066792 
0.616000 	 3.060927 
0.617000 	 3.054085 
0.618000 	 3.048220 
