time (s) 	 Voltage (V) 
0.000000 	 1.016017 
0.001000 	 1.016017 
0.002000 	 1.019879 
0.003000 	 1.019879 
0.004000 	 1.021167 
0.005000 	 1.023742 
0.006000 	 1.026316 
0.007000 	 1.026316 
0.008000 	 1.027604 
0.009000 	 1.030179 
0.010000 	 1.034041 
0.011000 	 1.034041 
0.012000 	 1.035329 
0.013000 	 1.039191 
0.014000 	 1.041766 
0.015000 	 1.046915 
0.016000 	 1.044341 
0.017000 	 1.046915 
0.018000 	 1.050778 
0.019000 	 1.053353 
0.020000 	 1.053353 
0.021000 	 1.055928 
0.022000 	 1.058502 
0.023000 	 1.062365 
0.024000 	 1.062365 
0.025000 	 1.064940 
0.026000 	 1.070089 
0.027000 	 1.072664 
0.028000 	 1.071377 
0.029000 	 1.075239 
0.030000 	 1.079102 
0.031000 	 1.081676 
0.032000 	 1.084251 
0.033000 	 1.086826 
0.034000 	 1.090689 
0.035000 	 1.094551 
0.036000 	 1.097126 
0.037000 	 1.098413 
0.038000 	 1.103563 
0.039000 	 1.106138 
0.040000 	 1.107425 
0.041000 	 1.110000 
0.042000 	 1.113862 
0.043000 	 1.117725 
0.044000 	 1.120300 
0.045000 	 1.126737 
0.046000 	 1.125449 
0.047000 	 1.130599 
0.048000 	 1.133174 
0.049000 	 1.138324 
0.050000 	 1.139611 
0.051000 	 1.143474 
0.052000 	 1.147336 
0.053000 	 1.153773 
0.054000 	 1.153773 
0.055000 	 1.157636 
0.056000 	 1.161498 
0.057000 	 1.166648 
0.058000 	 1.169223 
0.059000 	 1.176947 
0.060000 	 1.176947 
0.061000 	 1.180809 
0.062000 	 1.188534 
0.063000 	 1.188534 
0.064000 	 1.191109 
0.065000 	 1.197546 
0.066000 	 1.203983 
0.067000 	 1.203983 
0.068000 	 1.209133 
0.069000 	 1.212996 
0.070000 	 1.219433 
0.071000 	 1.220720 
0.072000 	 1.224583 
0.073000 	 1.229732 
0.074000 	 1.236170 
0.075000 	 1.237457 
0.076000 	 1.241319 
0.077000 	 1.247756 
0.078000 	 1.254194 
0.079000 	 1.259343 
0.080000 	 1.260631 
0.081000 	 1.265781 
0.082000 	 1.270930 
0.083000 	 1.274793 
0.084000 	 1.279943 
0.085000 	 1.285092 
0.086000 	 1.290242 
0.087000 	 1.295392 
0.088000 	 1.297967 
0.089000 	 1.304404 
0.090000 	 1.309554 
0.091000 	 1.313416 
0.092000 	 1.318566 
0.093000 	 1.323716 
0.094000 	 1.330153 
0.095000 	 1.335303 
0.096000 	 1.339165 
0.097000 	 1.344315 
0.098000 	 1.349464 
0.099000 	 1.354614 
0.100000 	 1.359764 
0.101000 	 1.364914 
0.102000 	 1.371351 
0.103000 	 1.376501 
0.104000 	 1.381650 
0.105000 	 1.385513 
0.106000 	 1.390663 
0.107000 	 1.398387 
0.108000 	 1.404824 
0.109000 	 1.413837 
0.110000 	 1.413837 
0.111000 	 1.420274 
0.112000 	 1.427998 
0.113000 	 1.434436 
0.114000 	 1.437010 
0.115000 	 1.443448 
0.116000 	 1.451172 
0.117000 	 1.458897 
0.118000 	 1.460184 
0.119000 	 1.466622 
0.120000 	 1.473059 
0.121000 	 1.480784 
0.122000 	 1.484646 
0.123000 	 1.491083 
0.124000 	 1.497520 
0.125000 	 1.506532 
0.126000 	 1.510395 
0.127000 	 1.515544 
0.128000 	 1.523269 
0.129000 	 1.529706 
0.130000 	 1.536144 
0.131000 	 1.541293 
0.132000 	 1.546443 
0.133000 	 1.554168 
0.134000 	 1.561892 
0.135000 	 1.565755 
0.136000 	 1.573479 
0.137000 	 1.581204 
0.138000 	 1.587641 
0.139000 	 1.594078 
0.140000 	 1.600516 
0.141000 	 1.606953 
0.142000 	 1.614678 
0.143000 	 1.621115 
0.144000 	 1.627552 
0.145000 	 1.635277 
0.146000 	 1.641714 
0.147000 	 1.648151 
0.148000 	 1.654588 
0.149000 	 1.662313 
0.150000 	 1.668750 
0.151000 	 1.675187 
0.152000 	 1.681625 
0.153000 	 1.690637 
0.154000 	 1.697074 
0.155000 	 1.704798 
0.156000 	 1.715098 
0.157000 	 1.718960 
0.158000 	 1.725398 
0.159000 	 1.733122 
0.160000 	 1.743422 
0.161000 	 1.747284 
0.162000 	 1.756296 
0.163000 	 1.764021 
0.164000 	 1.773033 
0.165000 	 1.776895 
0.166000 	 1.785907 
0.167000 	 1.793632 
0.168000 	 1.802644 
0.169000 	 1.807794 
0.170000 	 1.815519 
0.171000 	 1.824531 
0.172000 	 1.832255 
0.173000 	 1.842555 
0.174000 	 1.846417 
0.175000 	 1.854142 
0.176000 	 1.864441 
0.177000 	 1.872166 
0.178000 	 1.877316 
0.179000 	 1.885040 
0.180000 	 1.894053 
0.181000 	 1.903065 
0.182000 	 1.910789 
0.183000 	 1.917226 
0.184000 	 1.927526 
0.185000 	 1.935251 
0.186000 	 1.941688 
0.187000 	 1.950700 
0.188000 	 1.958425 
0.189000 	 1.967437 
0.190000 	 1.975161 
0.191000 	 1.982886 
0.192000 	 1.991898 
0.193000 	 2.002198 
0.194000 	 2.008635 
0.195000 	 2.016360 
0.196000 	 2.025372 
0.197000 	 2.034384 
0.198000 	 2.042108 
0.199000 	 2.049833 
0.200000 	 2.060133 
0.201000 	 2.067857 
0.202000 	 2.076869 
0.203000 	 2.087169 
0.204000 	 2.093606 
0.205000 	 2.103906 
0.206000 	 2.111630 
0.207000 	 2.123217 
0.208000 	 2.129654 
0.209000 	 2.138667 
0.210000 	 2.146391 
0.211000 	 2.156691 
0.212000 	 2.163128 
0.213000 	 2.174715 
0.214000 	 2.182440 
0.215000 	 2.192739 
0.216000 	 2.200464 
0.217000 	 2.209476 
0.218000 	 2.217201 
0.219000 	 2.228788 
0.220000 	 2.239087 
0.221000 	 2.246812 
0.222000 	 2.255824 
0.223000 	 2.266123 
0.224000 	 2.276423 
0.225000 	 2.282860 
0.226000 	 2.291872 
0.227000 	 2.302172 
0.228000 	 2.312471 
0.229000 	 2.320196 
0.230000 	 2.330495 
0.231000 	 2.340795 
0.232000 	 2.349807 
0.233000 	 2.357532 
0.234000 	 2.367831 
0.235000 	 2.376843 
0.236000 	 2.387143 
0.237000 	 2.396155 
0.238000 	 2.405167 
0.239000 	 2.415467 
0.240000 	 2.425766 
0.241000 	 2.434778 
0.242000 	 2.443790 
0.243000 	 2.454090 
0.244000 	 2.464389 
0.245000 	 2.473402 
0.246000 	 2.481126 
0.247000 	 2.492713 
0.248000 	 2.503013 
0.249000 	 2.512025 
0.250000 	 2.524899 
0.251000 	 2.531336 
0.252000 	 2.541636 
0.253000 	 2.551936 
0.254000 	 2.563522 
0.255000 	 2.572535 
0.256000 	 2.582834 
