time (s) 	 Voltage (V) 
0.000000 	 0.995418 
0.001000 	 1.003142 
0.002000 	 1.111288 
0.003000 	 1.305691 
0.004000 	 1.596653 
0.005000 	 1.971299 
0.006000 	 2.420616 
0.007000 	 2.930444 
0.008000 	 3.491768 
0.009000 	 4.090429 
0.010000 	 4.710976 
0.011000 	 5.337961 
0.012000 	 5.955933 
0.013000 	 6.550731 
0.014000 	 7.106906 
0.015000 	 7.611584 
0.016000 	 8.050602 
0.017000 	 8.413660 
0.018000 	 8.691748 
0.019000 	 8.882289 
0.020000 	 8.976273 
0.021000 	 8.971123 
0.022000 	 8.866840 
0.023000 	 8.668574 
0.024000 	 8.381474 
0.025000 	 8.008116 
0.026000 	 7.561373 
0.027000 	 7.051546 
0.028000 	 6.491509 
0.029000 	 5.892848 
0.030000 	 5.273589 
0.031000 	 4.645317 
0.032000 	 4.027344 
0.033000 	 3.432546 
0.034000 	 2.875084 
0.035000 	 2.370406 
0.036000 	 1.930101 
0.037000 	 1.563180 
0.038000 	 1.282517 
0.039000 	 1.090689 
0.040000 	 0.997993 
0.041000 	 0.999280 
0.042000 	 1.100988 
0.043000 	 1.297967 
0.044000 	 1.586354 
0.045000 	 1.955850 
0.046000 	 2.402592 
0.047000 	 2.911132 
0.048000 	 3.472457 
0.049000 	 4.071117 
0.050000 	 4.689090 
0.051000 	 5.316074 
0.052000 	 5.934046 
0.053000 	 6.530132 
0.054000 	 7.088882 
0.055000 	 7.593559 
0.056000 	 8.036440 
0.057000 	 8.400786 
0.058000 	 8.686598 
0.059000 	 8.878427 
0.060000 	 8.973698 
0.061000 	 8.969835 
0.062000 	 8.873277 
0.063000 	 8.677586 
0.064000 	 8.391774 
0.065000 	 8.019703 
0.066000 	 7.576823 
0.067000 	 7.070858 
0.068000 	 6.510821 
0.069000 	 5.913447 
0.070000 	 5.294188 
0.071000 	 4.667203 
0.072000 	 4.047943 
0.073000 	 3.451858 
0.074000 	 2.894395 
0.075000 	 2.385855 
0.076000 	 1.941688 
0.077000 	 1.574767 
0.078000 	 1.290242 
0.079000 	 1.095838 
0.080000 	 0.997993 
0.081000 	 0.999280 
0.082000 	 1.097126 
0.083000 	 1.288955 
0.084000 	 1.573479 
0.085000 	 1.941688 
0.086000 	 2.387143 
0.087000 	 2.893108 
0.088000 	 3.451858 
0.089000 	 4.047943 
0.090000 	 4.667203 
0.091000 	 5.294188 
0.092000 	 5.913447 
0.093000 	 6.510821 
0.094000 	 7.069570 
0.095000 	 7.576823 
0.096000 	 8.018415 
0.097000 	 8.391774 
0.098000 	 8.677586 
0.099000 	 8.871990 
0.100000 	 8.969835 
0.101000 	 8.974985 
0.102000 	 8.877139 
0.103000 	 8.686598 
0.104000 	 8.400786 
0.105000 	 8.037727 
0.106000 	 7.594847 
0.107000 	 7.088882 
0.108000 	 6.530132 
0.109000 	 5.935334 
0.110000 	 5.317362 
0.111000 	 4.689090 
0.112000 	 4.069830 
0.113000 	 3.473744 
0.114000 	 2.912419 
0.115000 	 2.402592 
0.116000 	 1.957137 
0.117000 	 1.587641 
0.118000 	 1.296679 
0.119000 	 1.102276 
0.120000 	 1.001855 
0.121000 	 0.997993 
0.122000 	 1.090689 
0.123000 	 1.281230 
0.124000 	 1.563180 
0.125000 	 1.928813 
0.126000 	 2.369119 
0.127000 	 2.873796 
0.128000 	 3.431259 
0.129000 	 4.026057 
0.130000 	 4.645317 
0.131000 	 5.272301 
0.132000 	 5.891561 
0.133000 	 6.490221 
0.134000 	 7.051546 
0.135000 	 7.560086 
0.136000 	 8.006828 
0.137000 	 8.378899 
0.138000 	 8.669861 
0.139000 	 8.868127 
0.140000 	 8.971123 
0.141000 	 8.974985 
0.142000 	 8.882289 
0.143000 	 8.690460 
0.144000 	 8.414948 
0.145000 	 8.050602 
0.146000 	 7.611584 
0.147000 	 7.106906 
0.148000 	 6.552019 
0.149000 	 5.957220 
0.150000 	 5.337961 
0.151000 	 4.712264 
0.152000 	 4.090429 
0.153000 	 3.493056 
0.154000 	 2.931731 
0.155000 	 2.420616 
0.156000 	 1.971299 
0.157000 	 1.597941 
0.158000 	 1.306979 
0.159000 	 1.106138 
0.160000 	 1.005717 
0.161000 	 0.994130 
0.162000 	 1.085539 
0.163000 	 1.274793 
0.164000 	 1.554168 
0.165000 	 1.913364 
0.166000 	 2.352382 
0.167000 	 2.855772 
0.168000 	 3.411947 
0.169000 	 4.005458 
0.170000 	 4.623430 
0.171000 	 5.250415 
0.172000 	 5.869674 
0.173000 	 6.470910 
0.174000 	 7.032235 
0.175000 	 7.544637 
0.176000 	 7.992667 
0.177000 	 8.368600 
0.178000 	 8.660849 
0.179000 	 8.861690 
0.180000 	 8.967260 
0.181000 	 8.976273 
0.182000 	 8.887439 
0.183000 	 8.703335 
0.184000 	 8.425247 
0.185000 	 8.064763 
0.186000 	 7.627033 
0.187000 	 7.126218 
0.188000 	 6.571330 
0.189000 	 5.977819 
0.190000 	 5.361135 
0.191000 	 4.734150 
0.192000 	 4.113603 
0.193000 	 3.512367 
0.194000 	 2.951043 
0.195000 	 2.437353 
0.196000 	 1.986748 
0.197000 	 1.609528 
0.198000 	 1.315991 
0.199000 	 1.111288 
0.200000 	 1.004430 
0.201000 	 0.992843 
0.202000 	 1.081676 
0.203000 	 1.264493 
0.204000 	 1.540006 
0.205000 	 1.899202 
0.206000 	 2.335645 
0.207000 	 2.839035 
0.208000 	 3.390060 
0.209000 	 3.983571 
0.210000 	 4.601544 
0.211000 	 5.228528 
0.212000 	 5.849075 
0.213000 	 6.450311 
0.214000 	 7.014210 
0.215000 	 7.525325 
0.216000 	 7.979792 
0.217000 	 8.357013 
0.218000 	 8.650550 
0.219000 	 8.853965 
0.220000 	 8.967260 
0.221000 	 8.978847 
0.222000 	 8.891301 
0.223000 	 8.708485 
0.224000 	 8.435547 
0.225000 	 8.077638 
0.226000 	 7.643770 
0.227000 	 7.144242 
0.228000 	 6.590642 
0.229000 	 5.999706 
0.230000 	 5.381734 
0.231000 	 4.754749 
0.232000 	 4.134202 
0.233000 	 3.532967 
0.234000 	 2.967779 
0.235000 	 2.454090 
0.236000 	 2.000910 
0.237000 	 1.621115 
0.238000 	 1.323716 
0.239000 	 1.117725 
0.240000 	 1.007005 
0.241000 	 0.991555 
0.242000 	 1.075239 
0.243000 	 1.256769 
0.244000 	 1.529706 
0.245000 	 1.886328 
0.246000 	 2.320196 
0.247000 	 2.818436 
0.248000 	 3.370749 
0.249000 	 3.962972 
0.250000 	 4.579657 
