time (s) 	 Voltage output 	 Flowrate (scfm) 
0.000000 	 3.388745 	 6.117616 
0.005000 	 3.388745 	 6.117616 
0.010000 	 3.419299 	 6.206704 
0.015000 	 3.398930 	 6.147456 
0.020000 	 3.409114 	 6.177151 
0.025000 	 3.409114 	 6.177151 
0.030000 	 3.398930 	 6.147456 
0.035000 	 3.388745 	 6.117616 
0.040000 	 3.398930 	 6.147456 
0.045000 	 3.409114 	 6.177151 
0.050000 	 3.409114 	 6.177151 
0.055000 	 3.419299 	 6.206704 
0.060000 	 3.409114 	 6.177151 
0.065000 	 3.409114 	 6.177151 
0.070000 	 3.419299 	 6.206704 
0.075000 	 3.409114 	 6.177151 
0.080000 	 3.398930 	 6.147456 
0.085000 	 3.388745 	 6.117616 
0.090000 	 3.398930 	 6.147456 
0.095000 	 3.398930 	 6.147456 
0.100000 	 3.419299 	 6.206704 
0.105000 	 3.409114 	 6.177151 
0.110000 	 3.398930 	 6.147456 
0.115000 	 3.419299 	 6.206704 
0.120000 	 3.409114 	 6.177151 
0.125000 	 3.409114 	 6.177151 
0.130000 	 3.398930 	 6.147456 
0.135000 	 3.388745 	 6.117616 
0.140000 	 3.398930 	 6.147456 
0.145000 	 3.398930 	 6.147456 
0.150000 	 3.398930 	 6.147456 
0.155000 	 3.409114 	 6.177151 
0.160000 	 3.409114 	 6.177151 
0.165000 	 3.388745 	 6.117616 
0.170000 	 3.398930 	 6.147456 
0.175000 	 3.409114 	 6.177151 
0.180000 	 3.398930 	 6.147456 
0.185000 	 3.398930 	 6.147456 
0.190000 	 3.398930 	 6.147456 
0.195000 	 3.409114 	 6.177151 
0.200000 	 3.398930 	 6.147456 
0.205000 	 3.398930 	 6.147456 
0.210000 	 3.398930 	 6.147456 
0.215000 	 3.398930 	 6.147456 
0.220000 	 3.398930 	 6.147456 
0.225000 	 3.419299 	 6.206704 
0.230000 	 3.398930 	 6.147456 
0.235000 	 3.398930 	 6.147456 
0.240000 	 3.398930 	 6.147456 
0.245000 	 3.398930 	 6.147456 
0.250000 	 3.398930 	 6.147456 
0.255000 	 3.398930 	 6.147456 
0.260000 	 3.398930 	 6.147456 
0.265000 	 3.398930 	 6.147456 
0.270000 	 3.398930 	 6.147456 
0.275000 	 3.409114 	 6.177151 
0.280000 	 3.398930 	 6.147456 
0.285000 	 3.398930 	 6.147456 
0.290000 	 3.398930 	 6.147456 
0.295000 	 3.409114 	 6.177151 
0.300000 	 3.409114 	 6.177151 
0.305000 	 3.398930 	 6.147456 
0.310000 	 3.398930 	 6.147456 
0.315000 	 3.419299 	 6.206704 
0.320000 	 3.398930 	 6.147456 
0.325000 	 3.409114 	 6.177151 
0.330000 	 3.409114 	 6.177151 
0.335000 	 3.409114 	 6.177151 
0.340000 	 3.398930 	 6.147456 
0.345000 	 3.398930 	 6.147456 
0.350000 	 3.409114 	 6.177151 
0.355000 	 3.398930 	 6.147456 
0.360000 	 3.398930 	 6.147456 
0.365000 	 3.409114 	 6.177151 
0.370000 	 3.398930 	 6.147456 
0.375000 	 3.409114 	 6.177151 
0.380000 	 3.419299 	 6.206704 
0.385000 	 3.398930 	 6.147456 
0.390000 	 3.398930 	 6.147456 
0.395000 	 3.409114 	 6.177151 
0.400000 	 3.419299 	 6.206704 
0.405000 	 3.409114 	 6.177151 
0.410000 	 3.419299 	 6.206704 
0.415000 	 3.419299 	 6.206704 
0.420000 	 3.398930 	 6.147456 
0.425000 	 3.409114 	 6.177151 
0.430000 	 3.409114 	 6.177151 
0.435000 	 3.409114 	 6.177151 
0.440000 	 3.409114 	 6.177151 
0.445000 	 3.409114 	 6.177151 
0.450000 	 3.409114 	 6.177151 
0.455000 	 3.409114 	 6.177151 
0.460000 	 3.409114 	 6.177151 
0.465000 	 3.419299 	 6.206704 
0.470000 	 3.419299 	 6.206704 
0.475000 	 3.398930 	 6.147456 
0.480000 	 3.409114 	 6.177151 
0.485000 	 3.409114 	 6.177151 
0.490000 	 3.398930 	 6.147456 
0.495000 	 3.398930 	 6.147456 
0.500000 	 3.388745 	 6.117616 
0.505000 	 3.398930 	 6.147456 
0.510000 	 3.398930 	 6.147456 
0.515000 	 3.419299 	 6.206704 
0.520000 	 3.419299 	 6.206704 
0.525000 	 3.419299 	 6.206704 
0.530000 	 3.409114 	 6.177151 
0.535000 	 3.409114 	 6.177151 
0.540000 	 3.409114 	 6.177151 
0.545000 	 3.409114 	 6.177151 
0.550000 	 3.398930 	 6.147456 
0.555000 	 3.398930 	 6.147456 
0.560000 	 3.398930 	 6.147456 
0.565000 	 3.398930 	 6.147456 
0.570000 	 3.409114 	 6.177151 
0.575000 	 3.398930 	 6.147456 
0.580000 	 3.398930 	 6.147456 
0.585000 	 3.398930 	 6.147456 
0.590000 	 3.398930 	 6.147456 
0.595000 	 3.398930 	 6.147456 
0.600000 	 3.398930 	 6.147456 
0.605000 	 3.409114 	 6.177151 
0.610000 	 3.409114 	 6.177151 
0.615000 	 3.409114 	 6.177151 
0.620000 	 3.398930 	 6.147456 
0.625000 	 3.409114 	 6.177151 
0.630000 	 3.409114 	 6.177151 
0.635000 	 3.409114 	 6.177151 
0.640000 	 3.409114 	 6.177151 
0.645000 	 3.398930 	 6.147456 
0.650000 	 3.409114 	 6.177151 
0.655000 	 3.409114 	 6.177151 
0.660000 	 3.398930 	 6.147456 
0.665000 	 3.409114 	 6.177151 
0.670000 	 3.419299 	 6.206704 
0.675000 	 3.398930 	 6.147456 
0.680000 	 3.398930 	 6.147456 
0.685000 	 3.409114 	 6.177151 
0.690000 	 3.398930 	 6.147456 
0.695000 	 3.419299 	 6.206704 
0.700000 	 3.409114 	 6.177151 
0.705000 	 3.409114 	 6.177151 
0.710000 	 3.409114 	 6.177151 
0.715000 	 3.398930 	 6.147456 
0.720000 	 3.398930 	 6.147456 
0.725000 	 3.398930 	 6.147456 
0.730000 	 3.419299 	 6.206704 
0.735000 	 3.409114 	 6.177151 
0.740000 	 3.409114 	 6.177151 
0.745000 	 3.409114 	 6.177151 
0.750000 	 3.398930 	 6.147456 
0.755000 	 3.398930 	 6.147456 
0.760000 	 3.398930 	 6.147456 
0.765000 	 3.398930 	 6.147456 
0.770000 	 3.398930 	 6.147456 
0.775000 	 3.398930 	 6.147456 
0.780000 	 3.398930 	 6.147456 
0.785000 	 3.409114 	 6.177151 
0.790000 	 3.398930 	 6.147456 
0.795000 	 3.398930 	 6.147456 
0.800000 	 3.398930 	 6.147456 
0.805000 	 3.419299 	 6.206704 
0.810000 	 3.409114 	 6.177151 
0.815000 	 3.398930 	 6.147456 
0.820000 	 3.398930 	 6.147456 
0.825000 	 3.409114 	 6.177151 
0.830000 	 3.398930 	 6.147456 
0.835000 	 3.409114 	 6.177151 
0.840000 	 3.409114 	 6.177151 
0.845000 	 3.398930 	 6.147456 
0.850000 	 3.398930 	 6.147456 
0.855000 	 3.409114 	 6.177151 
0.860000 	 3.409114 	 6.177151 
0.865000 	 3.388745 	 6.117616 
0.870000 	 3.398930 	 6.147456 
0.875000 	 3.398930 	 6.147456 
0.880000 	 3.409114 	 6.177151 
0.885000 	 3.409114 	 6.177151 
0.890000 	 3.398930 	 6.147456 
0.895000 	 3.409114 	 6.177151 
0.900000 	 3.409114 	 6.177151 
0.905000 	 3.419299 	 6.206704 
0.910000 	 3.398930 	 6.147456 
0.915000 	 3.409114 	 6.177151 
0.920000 	 3.419299 	 6.206704 
0.925000 	 3.398930 	 6.147456 
0.930000 	 3.388745 	 6.117616 
0.935000 	 3.398930 	 6.147456 
0.940000 	 3.409114 	 6.177151 
0.945000 	 3.398930 	 6.147456 
0.950000 	 3.398930 	 6.147456 
0.955000 	 3.398930 	 6.147456 
0.960000 	 3.398930 	 6.147456 
0.965000 	 3.398930 	 6.147456 
0.970000 	 3.388745 	 6.117616 
0.975000 	 3.409114 	 6.177151 
0.980000 	 3.409114 	 6.177151 
0.985000 	 3.409114 	 6.177151 
0.990000 	 3.419299 	 6.206704 
0.995000 	 3.398930 	 6.147456 
1.000000 	 3.398930 	 6.147456 
1.005000 	 3.409114 	 6.177151 
1.010000 	 3.398930 	 6.147456 
1.015000 	 3.409114 	 6.177151 
1.020000 	 3.398930 	 6.147456 
1.025000 	 3.398930 	 6.147456 
1.030000 	 3.409114 	 6.177151 
1.035000 	 3.409114 	 6.177151 
1.040000 	 3.409114 	 6.177151 
1.045000 	 3.398930 	 6.147456 
1.050000 	 3.398930 	 6.147456 
1.055000 	 3.398930 	 6.147456 
1.060000 	 3.398930 	 6.147456 
1.065000 	 3.419299 	 6.206704 
1.070000 	 3.419299 	 6.206704 
1.075000 	 3.398930 	 6.147456 
1.080000 	 3.409114 	 6.177151 
1.085000 	 3.409114 	 6.177151 
1.090000 	 3.409114 	 6.177151 
1.095000 	 3.419299 	 6.206704 
1.100000 	 3.398930 	 6.147456 
1.105000 	 3.398930 	 6.147456 
1.110000 	 3.409114 	 6.177151 
1.115000 	 3.398930 	 6.147456 
1.120000 	 3.398930 	 6.147456 
1.125000 	 3.419299 	 6.206704 
1.130000 	 3.398930 	 6.147456 
1.135000 	 3.409114 	 6.177151 
1.140000 	 3.398930 	 6.147456 
1.145000 	 3.398930 	 6.147456 
1.150000 	 3.419299 	 6.206704 
1.155000 	 3.398930 	 6.147456 
1.160000 	 3.398930 	 6.147456 
1.165000 	 3.398930 	 6.147456 
1.170000 	 3.398930 	 6.147456 
1.175000 	 3.398930 	 6.147456 
1.180000 	 3.409114 	 6.177151 
1.185000 	 3.409114 	 6.177151 
1.190000 	 3.419299 	 6.206704 
1.195000 	 3.409114 	 6.177151 
1.200000 	 3.409114 	 6.177151 
1.205000 	 3.409114 	 6.177151 
1.210000 	 3.409114 	 6.177151 
1.215000 	 3.398930 	 6.147456 
1.220000 	 3.398930 	 6.147456 
1.225000 	 3.419299 	 6.206704 
1.230000 	 3.409114 	 6.177151 
1.235000 	 3.419299 	 6.206704 
1.240000 	 3.398930 	 6.147456 
1.245000 	 3.398930 	 6.147456 
1.250000 	 3.398930 	 6.147456 
1.255000 	 3.398930 	 6.147456 
1.260000 	 3.398930 	 6.147456 
1.265000 	 3.398930 	 6.147456 
1.270000 	 3.398930 	 6.147456 
1.275000 	 3.398930 	 6.147456 
1.280000 	 3.398930 	 6.147456 
1.285000 	 3.398930 	 6.147456 
1.290000 	 3.398930 	 6.147456 
1.295000 	 3.398930 	 6.147456 
1.300000 	 3.398930 	 6.147456 
1.305000 	 3.398930 	 6.147456 
1.310000 	 3.398930 	 6.147456 
1.315000 	 3.398930 	 6.147456 
1.320000 	 3.398930 	 6.147456 
1.325000 	 3.398930 	 6.147456 
1.330000 	 3.398930 	 6.147456 
1.335000 	 3.398930 	 6.147456 
1.340000 	 3.409114 	 6.177151 
1.345000 	 3.398930 	 6.147456 
1.350000 	 3.398930 	 6.147456 
1.355000 	 3.398930 	 6.147456 
1.360000 	 3.398930 	 6.147456 
1.365000 	 3.398930 	 6.147456 
1.370000 	 3.398930 	 6.147456 
1.375000 	 3.398930 	 6.147456 
1.380000 	 3.409114 	 6.177151 
1.385000 	 3.398930 	 6.147456 
1.390000 	 3.398930 	 6.147456 
1.395000 	 3.398930 	 6.147456 
1.400000 	 3.398930 	 6.147456 
1.405000 	 3.388745 	 6.117616 
1.410000 	 3.409114 	 6.177151 
