time (s) 	 Voltage output 	 Flowrate (scfm) 
0.000000 	 2.360093 	 0.600377 
0.001000 	 2.360093 	 0.600377 
0.002000 	 2.349908 	 0.187199 
0.003000 	 2.349908 	 0.187199 
0.004000 	 2.349908 	 0.187199 
0.005000 	 2.349908 	 0.187199 
0.006000 	 2.349908 	 0.187199 
0.007000 	 2.349908 	 0.187199 
0.008000 	 2.349908 	 0.187199 
0.009000 	 2.349908 	 0.187199 
0.010000 	 2.349908 	 0.187199 
0.011000 	 2.349908 	 0.187199 
0.012000 	 2.360093 	 0.600377 
0.013000 	 2.349908 	 0.187199 
0.014000 	 2.349908 	 0.187199 
0.015000 	 2.360093 	 0.600377 
0.016000 	 2.349908 	 0.187199 
0.017000 	 2.349908 	 0.187199 
0.018000 	 2.360093 	 0.600377 
0.019000 	 2.360093 	 0.600377 
0.020000 	 2.360093 	 0.600377 
0.021000 	 2.360093 	 0.600377 
0.022000 	 2.349908 	 0.187199 
0.023000 	 2.349908 	 0.187199 
0.024000 	 2.349908 	 0.187199 
0.025000 	 2.360093 	 0.600377 
0.026000 	 2.349908 	 0.187199 
0.027000 	 2.349908 	 0.187199 
0.028000 	 2.349908 	 0.187199 
0.029000 	 2.360093 	 0.600377 
0.030000 	 2.349908 	 0.187199 
0.031000 	 2.349908 	 0.187199 
0.032000 	 2.349908 	 0.187199 
0.033000 	 2.349908 	 0.187199 
0.034000 	 2.349908 	 0.187199 
0.035000 	 2.360093 	 0.600377 
0.036000 	 2.349908 	 0.187199 
0.037000 	 2.349908 	 0.187199 
0.038000 	 2.360093 	 0.600377 
0.039000 	 2.360093 	 0.600377 
0.040000 	 2.349908 	 0.187199 
0.041000 	 2.349908 	 0.187199 
0.042000 	 2.349908 	 0.187199 
0.043000 	 2.349908 	 0.187199 
0.044000 	 2.360093 	 0.600377 
0.045000 	 2.349908 	 0.187199 
0.046000 	 2.349908 	 0.187199 
0.047000 	 2.360093 	 0.600377 
0.048000 	 2.349908 	 0.187199 
0.049000 	 2.349908 	 0.187199 
0.050000 	 2.349908 	 0.187199 
0.051000 	 2.360093 	 0.600377 
0.052000 	 2.360093 	 0.600377 
0.053000 	 2.360093 	 0.600377 
0.054000 	 2.349908 	 0.187199 
0.055000 	 2.360093 	 0.600377 
