time (s) 	 Voltage output 	 Flowrate (scfm) 
0.000000 	 2.508364 	 2.508364 
0.010000 	 2.508364 	 2.508364 
0.020000 	 2.508364 	 2.508364 
0.030000 	 2.508364 	 2.508364 
0.040000 	 2.508364 	 2.508364 
0.050000 	 2.509651 	 2.509651 
0.060000 	 2.508364 	 2.508364 
0.070000 	 2.508364 	 2.508364 
0.080000 	 2.508364 	 2.508364 
0.090000 	 2.508364 	 2.508364 
0.100000 	 2.508364 	 2.508364 
0.110000 	 2.508364 	 2.508364 
0.120000 	 2.509651 	 2.509651 
0.130000 	 2.508364 	 2.508364 
0.140000 	 2.508364 	 2.508364 
0.150000 	 2.508364 	 2.508364 
0.160000 	 2.508364 	 2.508364 
0.170000 	 2.508364 	 2.508364 
0.180000 	 2.508364 	 2.508364 
0.190000 	 2.508364 	 2.508364 
0.200000 	 2.508364 	 2.508364 
0.210000 	 2.508364 	 2.508364 
0.220000 	 2.508364 	 2.508364 
0.230000 	 2.508364 	 2.508364 
0.240000 	 2.508364 	 2.508364 
0.250000 	 2.508364 	 2.508364 
0.260000 	 2.508364 	 2.508364 
0.270000 	 2.509651 	 2.509651 
0.280000 	 2.508364 	 2.508364 
0.290000 	 2.508364 	 2.508364 
0.300000 	 2.508364 	 2.508364 
0.310000 	 2.508364 	 2.508364 
0.320000 	 2.508364 	 2.508364 
0.330000 	 2.508364 	 2.508364 
0.340000 	 2.508364 	 2.508364 
0.350000 	 2.508364 	 2.508364 
0.360000 	 2.508364 	 2.508364 
0.370000 	 2.508364 	 2.508364 
0.380000 	 2.508364 	 2.508364 
0.390000 	 2.508364 	 2.508364 
0.400000 	 2.508364 	 2.508364 
0.410000 	 2.508364 	 2.508364 
0.420000 	 2.508364 	 2.508364 
0.430000 	 2.508364 	 2.508364 
0.440000 	 2.508364 	 2.508364 
0.450000 	 2.508364 	 2.508364 
0.460000 	 2.508364 	 2.508364 
0.470000 	 2.509651 	 2.509651 
0.480000 	 2.508364 	 2.508364 
0.490000 	 2.508364 	 2.508364 
0.500000 	 2.508364 	 2.508364 
0.510000 	 2.508364 	 2.508364 
0.520000 	 2.508364 	 2.508364 
0.530000 	 2.508364 	 2.508364 
0.540000 	 2.508364 	 2.508364 
0.550000 	 2.508364 	 2.508364 
0.560000 	 2.508364 	 2.508364 
0.570000 	 2.508364 	 2.508364 
0.580000 	 2.508364 	 2.508364 
0.590000 	 2.508364 	 2.508364 
0.600000 	 2.508364 	 2.508364 
0.610000 	 2.508364 	 2.508364 
0.620000 	 2.508364 	 2.508364 
0.630000 	 2.508364 	 2.508364 
0.640000 	 2.508364 	 2.508364 
0.650000 	 2.508364 	 2.508364 
0.660000 	 2.508364 	 2.508364 
0.670000 	 2.508364 	 2.508364 
0.680000 	 2.509651 	 2.509651 
0.690000 	 2.508364 	 2.508364 
0.700000 	 2.508364 	 2.508364 
0.710000 	 2.508364 	 2.508364 
0.720000 	 2.508364 	 2.508364 
0.730000 	 2.508364 	 2.508364 
0.740000 	 2.508364 	 2.508364 
0.750000 	 2.508364 	 2.508364 
0.760000 	 2.508364 	 2.508364 
0.770000 	 2.508364 	 2.508364 
0.780000 	 2.508364 	 2.508364 
0.790000 	 2.508364 	 2.508364 
0.800000 	 2.508364 	 2.508364 
0.810000 	 2.508364 	 2.508364 
0.820000 	 2.508364 	 2.508364 
0.830000 	 2.508364 	 2.508364 
0.840000 	 2.508364 	 2.508364 
0.850000 	 2.508364 	 2.508364 
0.860000 	 2.508364 	 2.508364 
0.870000 	 2.508364 	 2.508364 
0.880000 	 2.508364 	 2.508364 
0.890000 	 2.508364 	 2.508364 
0.900000 	 2.508364 	 2.508364 
0.910000 	 2.508364 	 2.508364 
0.920000 	 2.508364 	 2.508364 
0.930000 	 2.508364 	 2.508364 
0.940000 	 2.508364 	 2.508364 
0.950000 	 2.509651 	 2.509651 
0.960000 	 2.508364 	 2.508364 
0.970000 	 2.508364 	 2.508364 
0.980000 	 2.508364 	 2.508364 
0.990000 	 2.508364 	 2.508364 
1.000000 	 2.509651 	 2.509651 
1.010000 	 2.508364 	 2.508364 
1.020000 	 2.508364 	 2.508364 
1.030000 	 2.508364 	 2.508364 
1.040000 	 2.508364 	 2.508364 
1.050000 	 2.508364 	 2.508364 
1.060000 	 2.508364 	 2.508364 
1.070000 	 2.508364 	 2.508364 
1.080000 	 2.509651 	 2.509651 
1.090000 	 2.508364 	 2.508364 
1.100000 	 2.508364 	 2.508364 
1.110000 	 2.508364 	 2.508364 
1.120000 	 2.508364 	 2.508364 
1.130000 	 2.508364 	 2.508364 
1.140000 	 2.508364 	 2.508364 
1.150000 	 2.509651 	 2.509651 
1.160000 	 2.508364 	 2.508364 
1.170000 	 2.508364 	 2.508364 
1.180000 	 2.508364 	 2.508364 
1.190000 	 2.508364 	 2.508364 
1.200000 	 2.508364 	 2.508364 
1.210000 	 2.508364 	 2.508364 
1.220000 	 2.508364 	 2.508364 
1.230000 	 2.508364 	 2.508364 
1.240000 	 2.508364 	 2.508364 
1.250000 	 2.508364 	 2.508364 
1.260000 	 2.508364 	 2.508364 
1.270000 	 2.508364 	 2.508364 
1.280000 	 2.508364 	 2.508364 
1.290000 	 2.508364 	 2.508364 
1.300000 	 2.508364 	 2.508364 
1.310000 	 2.508364 	 2.508364 
1.320000 	 2.509651 	 2.509651 
1.330000 	 2.508364 	 2.508364 
1.340000 	 2.508364 	 2.508364 
1.350000 	 2.509651 	 2.509651 
1.360000 	 2.508364 	 2.508364 
1.370000 	 2.508364 	 2.508364 
1.380000 	 2.508364 	 2.508364 
1.390000 	 2.508364 	 2.508364 
1.400000 	 2.508364 	 2.508364 
1.410000 	 2.508364 	 2.508364 
1.420000 	 2.508364 	 2.508364 
1.430000 	 2.508364 	 2.508364 
1.440000 	 2.508364 	 2.508364 
1.450000 	 2.508364 	 2.508364 
1.460000 	 2.508364 	 2.508364 
1.470000 	 2.509651 	 2.509651 
1.480000 	 2.508364 	 2.508364 
1.490000 	 2.508364 	 2.508364 
1.500000 	 2.508364 	 2.508364 
1.510000 	 2.508364 	 2.508364 
1.520000 	 2.508364 	 2.508364 
1.530000 	 2.508364 	 2.508364 
1.540000 	 2.508364 	 2.508364 
1.550000 	 2.509651 	 2.509651 
1.560000 	 2.508364 	 2.508364 
1.570000 	 2.508364 	 2.508364 
1.580000 	 2.508364 	 2.508364 
1.590000 	 2.508364 	 2.508364 
1.600000 	 2.509651 	 2.509651 
1.610000 	 2.508364 	 2.508364 
1.620000 	 2.508364 	 2.508364 
1.630000 	 2.508364 	 2.508364 
1.640000 	 2.508364 	 2.508364 
1.650000 	 2.508364 	 2.508364 
1.660000 	 2.508364 	 2.508364 
1.670000 	 2.509651 	 2.509651 
1.680000 	 2.508364 	 2.508364 
1.690000 	 2.508364 	 2.508364 
1.700000 	 2.508364 	 2.508364 
1.710000 	 2.508364 	 2.508364 
1.720000 	 2.508364 	 2.508364 
1.730000 	 2.508364 	 2.508364 
1.740000 	 2.508364 	 2.508364 
1.750000 	 2.509651 	 2.509651 
1.760000 	 2.508364 	 2.508364 
1.770000 	 2.508364 	 2.508364 
1.780000 	 2.508364 	 2.508364 
1.790000 	 2.508364 	 2.508364 
1.800000 	 2.508364 	 2.508364 
1.810000 	 2.508364 	 2.508364 
1.820000 	 2.509651 	 2.509651 
1.830000 	 2.508364 	 2.508364 
1.840000 	 2.508364 	 2.508364 
1.850000 	 2.508364 	 2.508364 
1.860000 	 2.508364 	 2.508364 
1.870000 	 2.508364 	 2.508364 
1.880000 	 2.508364 	 2.508364 
1.890000 	 2.508364 	 2.508364 
1.900000 	 2.508364 	 2.508364 
1.910000 	 2.508364 	 2.508364 
1.920000 	 2.508364 	 2.508364 
1.930000 	 2.508364 	 2.508364 
1.940000 	 2.508364 	 2.508364 
1.950000 	 2.508364 	 2.508364 
1.960000 	 2.508364 	 2.508364 
1.970000 	 2.508364 	 2.508364 
1.980000 	 2.508364 	 2.508364 
1.990000 	 2.508364 	 2.508364 
2.000000 	 2.508364 	 2.508364 
2.010000 	 2.508364 	 2.508364 
