time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 0.22763432 	 0.07444388 
0.00500000 	 0.24321301 	 0.07898766 
0.01000000 	 0.25651981 	 0.08385600 
0.01500000 	 0.27242305 	 0.08937345 
0.02000000 	 0.28735263 	 0.09424179 
0.02500000 	 0.30390498 	 0.10040836 
0.03000000 	 0.31883456 	 0.10462759 
0.03500000 	 0.33343958 	 0.10917137 
0.04000000 	 0.34772005 	 0.11468882 
0.04500000 	 0.36329874 	 0.11955716 
0.05000000 	 0.37887743 	 0.12475006 
0.05500000 	 0.39575434 	 0.12896929 
0.06000000 	 0.41068392 	 0.13481130 
0.06500000 	 0.42496438 	 0.13967964 
0.07000000 	 0.44151674 	 0.14422342 
0.07500000 	 0.45482353 	 0.14974087 
0.08000000 	 0.47007767 	 0.15428466 
0.08500000 	 0.48630547 	 0.15850389 
0.09000000 	 0.50285783 	 0.16434589 
0.09500000 	 0.51778740 	 0.16953879 
0.10000000 	 0.53044509 	 0.17375802 
0.10500000 	 0.54667289 	 0.17927547 
0.11000000 	 0.56160247 	 0.18381926 
0.11500000 	 0.57718115 	 0.18966126 
0.12000000 	 0.59275984 	 0.19388049 
0.12500000 	 0.60704031 	 0.19842428 
0.13000000 	 0.62132077 	 0.20394173 
0.13500000 	 0.63819769 	 0.20945918 
0.14000000 	 0.65280271 	 0.21530119 
0.14500000 	 0.66870595 	 0.21887131 
0.15000000 	 0.68428464 	 0.22406420 
0.15500000 	 0.69953878 	 0.22990621 
0.16000000 	 0.71414380 	 0.23445000 
0.16500000 	 0.72972249 	 0.23931834 
0.17000000 	 0.74335384 	 0.24418668 
0.17500000 	 0.75893253 	 0.25002868 
0.18000000 	 0.77483577 	 0.25489702 
0.18500000 	 0.78944079 	 0.25944081 
0.19000000 	 0.80566859 	 0.26398459 
0.19500000 	 0.82059817 	 0.26950205 
0.20000000 	 0.83552775 	 0.27437039 
0.20500000 	 0.85175555 	 0.27923873 
0.21000000 	 0.86603601 	 0.28378251 
0.21500000 	 0.88226382 	 0.28994908 
0.22000000 	 0.89751795 	 0.29449286 
0.22500000 	 0.91277208 	 0.30001031 
0.23000000 	 0.92705255 	 0.30422954 
0.23500000 	 0.94328035 	 0.30942244 
0.24000000 	 0.95820992 	 0.31461533 
0.24500000 	 0.97054305 	 0.31883456 
0.25000000 	 0.98774452 	 0.32402746 
0.25500000 	 1.00397232 	 0.32857124 
0.26000000 	 1.01922646 	 0.33538692 
0.26500000 	 1.03350692 	 0.33993070 
0.27000000 	 1.04811194 	 0.34382537 
0.27500000 	 1.06563797 	 0.34999194 
0.28000000 	 1.07926932 	 0.35421117 
0.28500000 	 1.09419890 	 0.36037773 
0.29000000 	 1.10912847 	 0.36427240 
0.29500000 	 1.12632994 	 0.36946530 
0.30000000 	 1.13996130 	 0.37465820 
0.30500000 	 1.15651365 	 0.37952654 
0.31000000 	 1.17209234 	 0.38471943 
0.31500000 	 1.18604825 	 0.38926322 
0.32000000 	 1.20260061 	 0.39478067 
0.32500000 	 1.21688107 	 0.39997357 
0.33000000 	 1.23181065 	 0.40549102 
0.33500000 	 1.24803845 	 0.41035936 
0.34000000 	 1.26199436 	 0.41522770 
0.34500000 	 1.27789761 	 0.41912237 
0.35000000 	 1.29185352 	 0.42463982 
0.35500000 	 1.30678309 	 0.42983272 
0.36000000 	 1.32203723 	 0.43437651 
0.36500000 	 1.33664225 	 0.44021851 
0.37000000 	 1.35319460 	 0.44476230 
0.37500000 	 1.36812418 	 0.45060431 
0.38000000 	 1.38467654 	 0.45449898 
0.38500000 	 1.39993067 	 0.45969187 
0.39000000 	 1.41291291 	 0.46423566 
0.39500000 	 1.43011438 	 0.47007767 
0.40000000 	 1.44536851 	 0.47559512 
0.40500000 	 1.46256998 	 0.47948979 
0.41000000 	 1.47490311 	 0.48468269 
0.41500000 	 1.49113091 	 0.48987558 
0.42000000 	 1.50443771 	 0.49409481 
0.42500000 	 1.51904273 	 0.49961227 
0.43000000 	 1.53462142 	 0.50480516 
0.43500000 	 1.55182289 	 0.51032261 
0.44000000 	 1.56675247 	 0.51486640 
0.44500000 	 1.58103293 	 0.51908563 
0.45000000 	 1.59790984 	 0.52460308 
0.45500000 	 1.61186575 	 0.52914686 
0.46000000 	 1.62776900 	 0.53401520 
0.46500000 	 1.64432135 	 0.54050632 
