time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 0.21854675 	 0.07444388 
0.00500000 	 0.23574822 	 0.07833855 
0.01000000 	 0.24937957 	 0.08450511 
0.01500000 	 0.26398459 	 0.08937345 
0.02000000 	 0.27891417 	 0.09359268 
0.02500000 	 0.29579108 	 0.09975925 
0.03000000 	 0.31072066 	 0.10462759 
0.03500000 	 0.32500113 	 0.10917137 
0.04000000 	 0.33830792 	 0.11403971 
0.04500000 	 0.35583395 	 0.11923261 
0.05000000 	 0.36914074 	 0.12410095 
0.05500000 	 0.38536855 	 0.12994296 
0.06000000 	 0.39964901 	 0.13383763 
0.06500000 	 0.41522770 	 0.13967964 
0.07000000 	 0.42983272 	 0.14487253 
0.07500000 	 0.44573597 	 0.14974087 
0.08000000 	 0.45806909 	 0.15396010 
0.08500000 	 0.47494601 	 0.15882844 
0.09000000 	 0.49020014 	 0.16467045 
0.09500000 	 0.50512972 	 0.16921424 
0.10000000 	 0.52038385 	 0.17375802 
0.10500000 	 0.53433976 	 0.17862636 
0.11000000 	 0.54862022 	 0.18414381 
0.11500000 	 0.56354980 	 0.19031038 
0.12000000 	 0.57912849 	 0.19452960 
0.12500000 	 0.59405807 	 0.19939795 
0.13000000 	 0.60996131 	 0.20426629 
0.13500000 	 0.62618911 	 0.20945918 
0.14000000 	 0.63917135 	 0.21465208 
0.14500000 	 0.65604827 	 0.22049409 
0.15000000 	 0.67065329 	 0.22503787 
0.15500000 	 0.68655653 	 0.22958166 
0.16000000 	 0.69986333 	 0.23509911 
0.16500000 	 0.71511746 	 0.23931834 
0.17000000 	 0.73004704 	 0.24418668 
0.17500000 	 0.74465206 	 0.24905502 
0.18000000 	 0.76055531 	 0.25457247 
0.18500000 	 0.77418666 	 0.25911625 
0.19000000 	 0.78911624 	 0.26528282 
0.19500000 	 0.80437037 	 0.26982660 
0.20000000 	 0.82059817 	 0.27469494 
0.20500000 	 0.83455408 	 0.27923873 
0.21000000 	 0.84980821 	 0.28410707 
0.21500000 	 0.86408868 	 0.28962452 
0.22000000 	 0.87999192 	 0.29481742 
0.22500000 	 0.89427239 	 0.29968576 
0.23000000 	 0.90985108 	 0.30422954 
0.23500000 	 0.92445610 	 0.30974699 
0.24000000 	 0.94100846 	 0.31493989 
0.24500000 	 0.95496436 	 0.31915912 
0.25000000 	 0.96892027 	 0.32565024 
0.25500000 	 0.98547263 	 0.32954491 
0.26000000 	 0.99975310 	 0.33506236 
0.26500000 	 1.01533178 	 0.33960615 
0.27000000 	 1.02993681 	 0.34447449 
0.27500000 	 1.04519094 	 0.35031650 
0.28000000 	 1.05849774 	 0.35453572 
0.28500000 	 1.07537465 	 0.36005318 
0.29000000 	 1.08965511 	 0.36459696 
0.29500000 	 1.10523380 	 0.36946530 
0.30000000 	 1.12081249 	 0.37368453 
0.30500000 	 1.13476840 	 0.37985109 
0.31000000 	 1.14937342 	 0.38471943 
0.31500000 	 1.16592578 	 0.38893866 
0.32000000 	 1.18085536 	 0.39510523 
0.32500000 	 1.19610949 	 0.39899990 
0.33000000 	 1.21071451 	 0.40451735 
0.33500000 	 1.22402131 	 0.41035936 
0.34000000 	 1.24057366 	 0.41490314 
0.34500000 	 1.25550324 	 0.41944693 
0.35000000 	 1.27010826 	 0.42561349 
0.35500000 	 1.28438873 	 0.42983272 
0.36000000 	 1.29931830 	 0.43470106 
0.36500000 	 1.31327421 	 0.43956940 
0.37000000 	 1.32820379 	 0.44378863 
0.37500000 	 1.34410703 	 0.44995519 
0.38000000 	 1.36033484 	 0.45514809 
0.38500000 	 1.37558897 	 0.46066554 
0.39000000 	 1.38922032 	 0.46456022 
0.39500000 	 1.40577268 	 0.46877944 
0.40000000 	 1.42070226 	 0.47559512 
0.40500000 	 1.43400905 	 0.47884068 
0.41000000 	 1.44893863 	 0.48533180 
0.41500000 	 1.46614010 	 0.48890192 
0.42000000 	 1.48074512 	 0.49409481 
0.42500000 	 1.49567470 	 0.50091049 
0.43000000 	 1.50833238 	 0.50545427 
0.43500000 	 1.52488474 	 0.50967350 
0.44000000 	 1.53981432 	 0.51486640 
0.44500000 	 1.55441934 	 0.51973474 
0.45000000 	 1.56740158 	 0.52395397 
0.45500000 	 1.58492760 	 0.52979598 
0.46000000 	 1.60018174 	 0.53401520 
0.46500000 	 1.61413764 	 0.54018177 
0.47000000 	 1.62809355 	 0.54472555 
0.47500000 	 1.64497047 	 0.54991845 
0.48000000 	 1.66054916 	 0.55576046 
0.48500000 	 1.67547873 	 0.56062880 
0.49000000 	 1.68878553 	 0.56452347 
0.49500000 	 1.70339055 	 0.56971637 
0.50000000 	 1.71994291 	 0.57458471 
0.50500000 	 1.73487249 	 0.58010216 
0.51000000 	 1.74882839 	 0.58464594 
0.51500000 	 1.76473164 	 0.58918973 
0.52000000 	 1.77966122 	 0.59470718 
0.52500000 	 1.79491535 	 0.60022463 
0.53000000 	 1.80919581 	 0.60476842 
0.53500000 	 1.82412539 	 0.60931220 
0.54000000 	 1.83808130 	 0.61450510 
0.54500000 	 1.85463366 	 0.62034711 
0.55000000 	 1.87086146 	 0.62586456 
0.55500000 	 1.88546648 	 0.63008379 
0.56000000 	 1.89974694 	 0.63495213 
0.56500000 	 1.91370285 	 0.64014502 
0.57000000 	 1.92895699 	 0.64468881 
0.57500000 	 1.94356201 	 0.64988170 
0.58000000 	 1.95946525 	 0.65475004 
0.58500000 	 1.97536850 	 0.65994294 
0.59000000 	 1.98997352 	 0.66578495 
0.59500000 	 2.00360487 	 0.66903051 
0.60000000 	 2.01885900 	 0.67519707 
0.60500000 	 2.03476225 	 0.68006541 
0.61000000 	 2.05066549 	 0.68525831 
0.61500000 	 2.06462140 	 0.68947754 
0.62000000 	 2.07987554 	 0.69499499 
0.62500000 	 2.09448056 	 0.69953878 
