time (s) 	 Temperature (C) 
0.000000 	 35.980812 
0.001000 	 36.329807 
0.002000 	 36.075993 
0.003000 	 36.075993 
0.004000 	 36.424987 
0.005000 	 36.107719 
0.006000 	 35.980812 
0.007000 	 36.234626 
0.008000 	 36.075993 
0.009000 	 36.107719 
0.010000 	 36.107719 
0.011000 	 36.075993 
0.012000 	 36.202900 
0.013000 	 36.298080 
0.014000 	 36.424987 
0.015000 	 36.171173 
0.016000 	 36.329807 
0.017000 	 36.361533 
0.018000 	 36.329807 
0.019000 	 36.139446 
0.020000 	 36.234626 
0.021000 	 35.917359 
0.022000 	 35.980812 
0.023000 	 35.980812 
0.024000 	 36.107719 
0.025000 	 36.234626 
0.026000 	 36.012539 
0.027000 	 36.266353 
0.028000 	 36.139446 
0.029000 	 36.234626 
0.030000 	 35.885632 
0.031000 	 36.202900 
0.032000 	 35.917359 
0.033000 	 36.012539 
0.034000 	 36.202900 
0.035000 	 36.234626 
0.036000 	 35.980812 
0.037000 	 36.171173 
0.038000 	 36.075993 
0.039000 	 36.139446 
0.040000 	 36.012539 
0.041000 	 36.171173 
0.042000 	 36.202900 
0.043000 	 36.298080 
0.044000 	 36.329807 
0.045000 	 36.044266 
0.046000 	 36.107719 
0.047000 	 36.202900 
0.048000 	 36.234626 
0.049000 	 36.139446 
0.050000 	 36.107719 
0.051000 	 36.171173 
0.052000 	 36.424987 
0.053000 	 36.234626 
0.054000 	 36.075993 
0.055000 	 36.234626 
0.056000 	 36.202900 
0.057000 	 36.202900 
0.058000 	 36.044266 
0.059000 	 36.298080 
0.060000 	 36.044266 
0.061000 	 36.393260 
0.062000 	 36.171173 
0.063000 	 36.329807 
0.064000 	 36.266353 
0.065000 	 36.171173 
0.066000 	 36.075993 
0.067000 	 36.139446 
0.068000 	 36.139446 
0.069000 	 36.266353 
0.070000 	 36.298080 
0.071000 	 36.012539 
0.072000 	 35.980812 
0.073000 	 36.075993 
0.074000 	 36.107719 
0.075000 	 36.107719 
0.076000 	 36.266353 
0.077000 	 36.234626 
0.078000 	 36.202900 
0.079000 	 36.488440 
0.080000 	 36.139446 
0.081000 	 36.361533 
0.082000 	 35.949086 
0.083000 	 36.266353 
0.084000 	 35.949086 
0.085000 	 35.949086 
0.086000 	 36.044266 
0.087000 	 35.980812 
0.088000 	 35.980812 
0.089000 	 36.012539 
0.090000 	 36.202900 
0.091000 	 36.202900 
0.092000 	 36.329807 
0.093000 	 36.012539 
0.094000 	 36.361533 
0.095000 	 36.139446 
0.096000 	 36.234626 
0.097000 	 36.107719 
0.098000 	 35.980812 
0.099000 	 36.075993 
0.100000 	 36.044266 
0.101000 	 36.171173 
0.102000 	 36.107719 
0.103000 	 36.107719 
0.104000 	 36.075993 
0.105000 	 36.107719 
0.106000 	 36.234626 
0.107000 	 36.107719 
0.108000 	 36.107719 
0.109000 	 36.107719 
0.110000 	 36.044266 
0.111000 	 36.266353 
0.112000 	 36.075993 
0.113000 	 36.139446 
