time (s) 	 Flowrate (scfm) 
0.000000 	 20.365050 
0.001000 	 20.743043 
0.002000 	 20.617045 
0.003000 	 20.491048 
0.004000 	 20.491048 
0.005000 	 20.365050 
0.006000 	 20.617045 
0.007000 	 20.617045 
0.008000 	 20.491048 
0.009000 	 20.491048 
0.010000 	 20.365050 
0.011000 	 20.491048 
0.012000 	 20.491048 
0.013000 	 20.617045 
0.014000 	 20.743043 
0.015000 	 20.617045 
0.016000 	 20.491048 
0.017000 	 20.617045 
0.018000 	 20.869041 
0.019000 	 20.743043 
0.020000 	 20.743043 
0.021000 	 20.617045 
0.022000 	 20.617045 
0.023000 	 20.365050 
0.024000 	 20.491048 
0.025000 	 20.491048 
0.026000 	 20.365050 
0.027000 	 20.239052 
0.028000 	 20.491048 
0.029000 	 20.617045 
0.030000 	 20.869041 
0.031000 	 20.869041 
0.032000 	 20.743043 
0.033000 	 20.365050 
0.034000 	 20.617045 
0.035000 	 20.743043 
0.036000 	 20.491048 
0.037000 	 20.617045 
0.038000 	 20.617045 
0.039000 	 20.491048 
0.040000 	 20.491048 
0.041000 	 20.365050 
0.042000 	 20.617045 
0.043000 	 20.491048 
0.044000 	 20.617045 
0.045000 	 20.491048 
0.046000 	 20.869041 
0.047000 	 20.491048 
0.048000 	 20.617045 
0.049000 	 20.491048 
0.050000 	 20.491048 
0.051000 	 20.869041 
0.052000 	 20.743043 
0.053000 	 20.617045 
0.054000 	 20.869041 
0.055000 	 20.617045 
0.056000 	 20.617045 
0.057000 	 20.365050 
0.058000 	 20.617045 
0.059000 	 20.239052 
0.060000 	 20.239052 
0.061000 	 20.617045 
0.062000 	 20.491048 
0.063000 	 20.491048 
0.064000 	 20.743043 
0.065000 	 20.617045 
0.066000 	 20.491048 
0.067000 	 20.491048 
0.068000 	 20.743043 
0.069000 	 20.743043 
0.070000 	 20.743043 
0.071000 	 20.491048 
0.072000 	 20.617045 
0.073000 	 20.365050 
0.074000 	 20.743043 
0.075000 	 20.365050 
0.076000 	 20.617045 
0.077000 	 20.365050 
0.078000 	 20.491048 
0.079000 	 20.617045 
0.080000 	 20.743043 
0.081000 	 20.743043 
0.082000 	 20.491048 
0.083000 	 20.365050 
0.084000 	 20.491048 
0.085000 	 20.491048 
0.086000 	 20.617045 
0.087000 	 20.491048 
0.088000 	 20.365050 
0.089000 	 20.491048 
0.090000 	 20.491048 
0.091000 	 20.617045 
0.092000 	 20.491048 
0.093000 	 20.491048 
0.094000 	 20.491048 
0.095000 	 20.491048 
0.096000 	 20.491048 
0.097000 	 20.743043 
