time (s) 	 Temperature (C) 
0.000000 	 27.654032 
0.001000 	 26.676768 
0.002000 	 26.676768 
0.003000 	 26.676768 
0.004000 	 26.676768 
0.005000 	 27.654032 
0.006000 	 26.676768 
0.007000 	 26.676768 
0.008000 	 26.676768 
0.009000 	 26.676768 
0.010000 	 26.676768 
0.011000 	 26.676768 
0.012000 	 26.676768 
0.013000 	 26.676768 
0.014000 	 26.676768 
0.015000 	 26.676768 
0.016000 	 26.676768 
0.017000 	 26.676768 
0.018000 	 26.676768 
0.019000 	 26.676768 
0.020000 	 26.676768 
0.021000 	 26.676768 
0.022000 	 27.654032 
0.023000 	 26.676768 
0.024000 	 26.676768 
0.025000 	 26.676768 
0.026000 	 25.699504 
0.027000 	 26.676768 
0.028000 	 26.676768 
0.029000 	 26.676768 
0.030000 	 27.654032 
0.031000 	 26.676768 
0.032000 	 26.676768 
0.033000 	 26.676768 
0.034000 	 26.676768 
0.035000 	 26.676768 
0.036000 	 26.676768 
0.037000 	 27.654032 
0.038000 	 26.676768 
0.039000 	 26.676768 
0.040000 	 26.676768 
0.041000 	 26.676768 
0.042000 	 26.676768 
0.043000 	 27.654032 
0.044000 	 26.676768 
0.045000 	 26.676768 
0.046000 	 26.676768 
0.047000 	 26.676768 
0.048000 	 26.676768 
0.049000 	 26.676768 
0.050000 	 26.676768 
0.051000 	 26.676768 
0.052000 	 26.676768 
0.053000 	 26.676768 
0.054000 	 26.676768 
0.055000 	 26.676768 
0.056000 	 26.676768 
0.057000 	 26.676768 
0.058000 	 26.676768 
0.059000 	 26.676768 
0.060000 	 26.676768 
0.061000 	 26.676768 
0.062000 	 26.676768 
0.063000 	 26.676768 
0.064000 	 26.676768 
0.065000 	 26.676768 
0.066000 	 27.654032 
0.067000 	 26.676768 
0.068000 	 26.676768 
0.069000 	 26.676768 
0.070000 	 26.676768 
0.071000 	 26.676768 
0.072000 	 26.676768 
0.073000 	 26.676768 
0.074000 	 26.676768 
0.075000 	 26.676768 
0.076000 	 26.676768 
0.077000 	 26.676768 
0.078000 	 26.676768 
0.079000 	 26.676768 
0.080000 	 25.699504 
0.081000 	 26.676768 
0.082000 	 26.676768 
0.083000 	 26.676768 
0.084000 	 26.676768 
0.085000 	 26.676768 
0.086000 	 26.676768 
0.087000 	 26.676768 
0.088000 	 26.676768 
0.089000 	 26.676768 
0.090000 	 26.676768 
0.091000 	 26.676768 
0.092000 	 26.676768 
0.093000 	 26.676768 
0.094000 	 26.676768 
0.095000 	 26.676768 
0.096000 	 26.676768 
0.097000 	 26.676768 
0.098000 	 26.676768 
0.099000 	 26.676768 
0.100000 	 26.676768 
0.101000 	 26.676768 
0.102000 	 26.676768 
0.103000 	 26.676768 
0.104000 	 26.676768 
0.105000 	 26.676768 
0.106000 	 27.654032 
0.107000 	 26.676768 
0.108000 	 26.676768 
0.109000 	 26.676768 
0.110000 	 26.676768 
0.111000 	 26.676768 
0.112000 	 26.676768 
0.113000 	 26.676768 
0.114000 	 26.676768 
0.115000 	 26.676768 
0.116000 	 26.676768 
0.117000 	 27.654032 
0.118000 	 26.676768 
0.119000 	 26.676768 
0.120000 	 26.676768 
0.121000 	 26.676768 
0.122000 	 26.676768 
0.123000 	 26.676768 
0.124000 	 26.676768 
