time (s) 	 Flowrate (scfm) 
0.000000 	 22.255017 
0.001000 	 22.129019 
0.002000 	 22.255017 
0.003000 	 22.381014 
0.004000 	 22.381014 
0.005000 	 22.381014 
0.006000 	 22.633010 
0.007000 	 22.381014 
0.008000 	 22.255017 
0.009000 	 22.381014 
0.010000 	 22.507012 
0.011000 	 22.255017 
0.012000 	 22.381014 
0.013000 	 22.507012 
0.014000 	 22.255017 
0.015000 	 22.255017 
0.016000 	 22.381014 
0.017000 	 21.877023 
0.018000 	 22.255017 
0.019000 	 22.507012 
0.020000 	 22.129019 
0.021000 	 22.381014 
0.022000 	 22.507012 
0.023000 	 22.381014 
0.024000 	 22.255017 
0.025000 	 22.381014 
0.026000 	 22.633010 
0.027000 	 22.255017 
0.028000 	 22.255017 
0.029000 	 22.381014 
0.030000 	 22.381014 
0.031000 	 22.255017 
0.032000 	 22.129019 
0.033000 	 22.381014 
0.034000 	 22.129019 
0.035000 	 22.129019 
0.036000 	 22.381014 
0.037000 	 22.255017 
0.038000 	 22.255017 
0.039000 	 22.633010 
0.040000 	 22.381014 
0.041000 	 22.255017 
0.042000 	 22.255017 
0.043000 	 22.633010 
0.044000 	 22.507012 
0.045000 	 22.633010 
0.046000 	 22.255017 
0.047000 	 22.507012 
0.048000 	 22.255017 
0.049000 	 22.255017 
0.050000 	 22.381014 
0.051000 	 22.129019 
0.052000 	 22.381014 
0.053000 	 22.003021 
0.054000 	 22.129019 
0.055000 	 22.255017 
0.056000 	 22.759008 
0.057000 	 22.381014 
0.058000 	 22.381014 
0.059000 	 22.633010 
0.060000 	 22.507012 
0.061000 	 22.507012 
0.062000 	 22.381014 
0.063000 	 22.255017 
0.064000 	 22.129019 
0.065000 	 22.381014 
0.066000 	 22.255017 
0.067000 	 22.129019 
0.068000 	 22.129019 
0.069000 	 22.381014 
0.070000 	 22.381014 
0.071000 	 22.381014 
0.072000 	 22.507012 
0.073000 	 22.507012 
0.074000 	 22.129019 
0.075000 	 22.129019 
0.076000 	 22.507012 
0.077000 	 22.507012 
0.078000 	 22.255017 
0.079000 	 22.255017 
0.080000 	 22.381014 
0.081000 	 22.129019 
0.082000 	 22.255017 
0.083000 	 22.255017 
0.084000 	 22.129019 
0.085000 	 22.255017 
0.086000 	 22.381014 
0.087000 	 22.255017 
0.088000 	 22.381014 
0.089000 	 22.381014 
0.090000 	 22.381014 
0.091000 	 22.255017 
0.092000 	 22.381014 
0.093000 	 22.381014 
0.094000 	 22.003021 
0.095000 	 22.381014 
0.096000 	 22.129019 
0.097000 	 22.381014 
0.098000 	 22.129019 
0.099000 	 22.507012 
0.100000 	 22.129019 
0.101000 	 22.255017 
0.102000 	 22.381014 
0.103000 	 22.255017 
0.104000 	 22.381014 
0.105000 	 22.255017 
0.106000 	 22.255017 
0.107000 	 22.255017 
0.108000 	 22.129019 
0.109000 	 22.507012 
0.110000 	 22.381014 
0.111000 	 22.381014 
0.112000 	 22.381014 
0.113000 	 22.129019 
0.114000 	 22.255017 
0.115000 	 22.381014 
0.116000 	 22.129019 
0.117000 	 22.381014 
0.118000 	 22.129019 
0.119000 	 22.381014 
0.120000 	 22.255017 
0.121000 	 22.507012 
0.122000 	 22.255017 
0.123000 	 22.255017 
0.124000 	 22.255017 
0.125000 	 22.129019 
0.126000 	 22.381014 
0.127000 	 22.381014 
0.128000 	 22.381014 
0.129000 	 22.255017 
0.130000 	 22.381014 
0.131000 	 22.129019 
0.132000 	 22.507012 
0.133000 	 22.381014 
0.134000 	 22.129019 
0.135000 	 22.255017 
0.136000 	 22.255017 
0.137000 	 22.381014 
0.138000 	 22.507012 
