time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 0.10544487 	 0.10027029 
0.00100000 	 0.10544487 	 0.10157228 
0.00200000 	 0.10609587 	 0.10287428 
0.00300000 	 0.10642137 	 0.10385077 
0.00400000 	 0.10707236 	 0.10580376 
0.00500000 	 0.10674686 	 0.10612926 
0.00600000 	 0.10837436 	 0.10873325 
0.00700000 	 0.10804886 	 0.10905875 
0.00800000 	 0.10869986 	 0.11068624 
0.00900000 	 0.10804886 	 0.11166274 
0.01000000 	 0.10902536 	 0.11329023 
0.01100000 	 0.11000185 	 0.11329023 
0.01200000 	 0.11032735 	 0.11524323 
0.01300000 	 0.11000185 	 0.11719622 
0.01400000 	 0.11097835 	 0.11849821 
0.01500000 	 0.11065285 	 0.11914921 
0.01600000 	 0.11097835 	 0.12012571 
0.01700000 	 0.11162934 	 0.12240420 
0.01800000 	 0.11195484 	 0.12370619 
0.01900000 	 0.11358234 	 0.12435719 
0.02000000 	 0.11260584 	 0.12565918 
0.02100000 	 0.11325684 	 0.12696118 
0.02200000 	 0.11423333 	 0.12793767 
0.02300000 	 0.11455883 	 0.12923967 
0.02400000 	 0.11520983 	 0.12989067 
0.02500000 	 0.11586083 	 0.13184366 
0.02600000 	 0.11553533 	 0.13282015 
0.02700000 	 0.11553533 	 0.13444765 
0.02800000 	 0.11651182 	 0.13509864 
0.02900000 	 0.11716282 	 0.13607514 
0.03000000 	 0.11748832 	 0.13802813 
0.03100000 	 0.11781382 	 0.13933013 
0.03200000 	 0.11813932 	 0.13998112 
0.03300000 	 0.11944131 	 0.14095762 
0.03400000 	 0.12041781 	 0.14323611 
0.03500000 	 0.12009231 	 0.14421261 
0.03600000 	 0.12074331 	 0.14518910 
0.03700000 	 0.12074331 	 0.14714209 
0.03800000 	 0.12171980 	 0.14811859 
0.03900000 	 0.12237080 	 0.14909509 
0.04000000 	 0.12302180 	 0.15039708 
0.04100000 	 0.12269630 	 0.15235007 
0.04200000 	 0.12334730 	 0.15365207 
0.04300000 	 0.12399829 	 0.15430307 
0.04400000 	 0.12399829 	 0.15593056 
0.04500000 	 0.12562579 	 0.15625606 
0.04600000 	 0.12562579 	 0.15755805 
0.04700000 	 0.12627678 	 0.15918555 
0.04800000 	 0.12627678 	 0.16048754 
0.04900000 	 0.12692778 	 0.16178953 
0.05000000 	 0.12855528 	 0.16341703 
0.05100000 	 0.12855528 	 0.16471902 
0.05200000 	 0.12822978 	 0.16602102 
0.05300000 	 0.12985727 	 0.16732301 
0.05400000 	 0.12985727 	 0.16862501 
0.05500000 	 0.13083377 	 0.16992700 
0.05600000 	 0.13148476 	 0.16992700 
0.05700000 	 0.13148476 	 0.17155449 
0.05800000 	 0.13148476 	 0.17285649 
0.05900000 	 0.13278676 	 0.17383299 
0.06000000 	 0.13343776 	 0.17578598 
0.06100000 	 0.13376325 	 0.17643697 
0.06200000 	 0.13441425 	 0.17806447 
0.06300000 	 0.13506525 	 0.17936646 
0.06400000 	 0.13571625 	 0.17969196 
0.06500000 	 0.13539075 	 0.18099396 
0.06600000 	 0.13669274 	 0.18359795 
0.06700000 	 0.13799474 	 0.18327245 
0.06800000 	 0.13799474 	 0.18522544 
0.06900000 	 0.13897123 	 0.18750393 
0.07000000 	 0.13864573 	 0.18848043 
0.07100000 	 0.13962223 	 0.18978242 
0.07200000 	 0.13994773 	 0.19075892 
0.07300000 	 0.14124972 	 0.19206091 
0.07400000 	 0.14157522 	 0.19401390 
0.07500000 	 0.14255172 	 0.19499040 
0.07600000 	 0.14255172 	 0.19531590 
0.07700000 	 0.14320272 	 0.19694339 
0.07800000 	 0.14320272 	 0.19824539 
0.07900000 	 0.14450471 	 0.19889638 
0.08000000 	 0.14515571 	 0.20084937 
