time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 -0.07419700 	 0.01368764 
0.05000000 	 -0.07940498 	 0.02540559 
0.10000000 	 -0.08656595 	 0.03777454 
0.15000000 	 -0.09470341 	 0.04949249 
0.20000000 	 -0.10349188 	 0.06348894 
0.25000000 	 -0.11325684 	 0.07553239 
0.30000000 	 -0.12334730 	 0.08855233 
0.35000000 	 -0.13343776 	 0.09994479 
0.40000000 	 -0.14483021 	 0.11263924 
0.45000000 	 -0.15557166 	 0.12565918 
0.50000000 	 -0.16696412 	 0.13867913 
0.55000000 	 -0.17803107 	 0.14974608 
0.60000000 	 -0.19040002 	 0.16309153 
0.65000000 	 -0.20244347 	 0.17611148 
0.70000000 	 -0.21383593 	 0.18880592 
0.75000000 	 -0.22555388 	 0.20084937 
0.80000000 	 -0.23824833 	 0.21289283 
0.85000000 	 -0.24964078 	 0.22493628 
0.90000000 	 -0.26233523 	 0.23730523 
0.95000000 	 -0.27405318 	 0.25097617 
1.00000000 	 -0.28707313 	 0.26269412 
1.05000000 	 -0.29879108 	 0.27603957 
1.10000000 	 -0.31050903 	 0.28710652 
1.15000000 	 -0.32352898 	 0.30012647 
1.20000000 	 -0.33459593 	 0.31249542 
1.25000000 	 -0.34794138 	 0.32486437 
1.30000000 	 -0.35998483 	 0.33755881 
1.35000000 	 -0.37235378 	 0.34927677 
1.40000000 	 -0.38407173 	 0.36197121 
1.45000000 	 -0.39676618 	 0.37401466 
1.50000000 	 -0.40946062 	 0.38605812 
1.55000000 	 -0.42117858 	 0.39972906 
1.60000000 	 -0.43354753 	 0.41079601 
1.65000000 	 -0.44624197 	 0.42316496 
1.70000000 	 -0.45828542 	 0.43553391 
1.75000000 	 -0.47032887 	 0.44790286 
1.80000000 	 -0.48302332 	 0.45962081 
1.85000000 	 -0.49506677 	 0.47231526 
1.90000000 	 -0.50613373 	 0.48403321 
1.95000000 	 -0.51947917 	 0.49770416 
2.00000000 	 -0.53087163 	 0.50942211 
2.05000000 	 -0.54389157 	 0.52114006 
2.10000000 	 -0.55560953 	 0.53253252 
2.15000000 	 -0.56732748 	 0.54522696 
2.20000000 	 -0.57969643 	 0.55759591 
2.25000000 	 -0.59206538 	 0.56898837 
2.30000000 	 -0.60443433 	 0.58103182 
2.35000000 	 -0.61647778 	 0.59340077 
2.40000000 	 -0.62819573 	 0.60479322 
2.45000000 	 -0.63991368 	 0.61748767 
2.50000000 	 -0.65228263 	 0.62920562 
2.55000000 	 -0.66400058 	 0.64157457 
2.60000000 	 -0.67604403 	 0.65329252 
2.65000000 	 -0.68776198 	 0.66468497 
2.70000000 	 -0.69882894 	 0.67705392 
2.75000000 	 -0.71152339 	 0.68812088 
2.80000000 	 -0.72356684 	 0.69983883 
2.85000000 	 -0.73528479 	 0.71188228 
2.90000000 	 -0.74732824 	 0.72392573 
2.95000000 	 -0.75839519 	 0.73564368 
3.00000000 	 -0.77043864 	 0.74605964 
3.05000000 	 -0.78215660 	 0.75907959 
3.10000000 	 -0.79387455 	 0.76982104 
3.15000000 	 -0.80559250 	 0.78218999 
3.20000000 	 -0.81698495 	 0.79358245 
3.25000000 	 -0.82902840 	 0.80497490 
3.30000000 	 -0.84009536 	 0.81604185 
3.35000000 	 -0.85213881 	 0.82841080 
3.40000000 	 -0.86385676 	 0.83980326 
3.45000000 	 -0.87427272 	 0.85119571 
3.50000000 	 -0.88631617 	 0.86226266 
3.55000000 	 -0.89868512 	 0.87365512 
3.60000000 	 -0.90975207 	 0.88374558 
3.65000000 	 -0.92081903 	 0.89578903 
3.70000000 	 -0.93188598 	 0.90685598 
3.75000000 	 -0.94327844 	 0.91824843 
3.80000000 	 -0.95499639 	 0.92866439 
3.85000000 	 -0.96541235 	 0.94070784 
3.90000000 	 -0.97680480 	 0.95177480 
3.95000000 	 -0.98819725 	 0.96284175 
4.00000000 	 -0.99926421 	 0.97325771 
4.05000000 	 -1.01033116 	 0.98432466 
4.10000000 	 -1.02139812 	 0.99506612 
4.15000000 	 -1.03311607 	 1.00645857 
4.20000000 	 -1.04320653 	 1.01785103 
4.25000000 	 -1.05394798 	 1.02794148 
4.30000000 	 -1.06534044 	 1.03868294 
4.35000000 	 -1.07608189 	 1.04909890 
4.40000000 	 -1.08682335 	 1.05984035 
4.45000000 	 -1.09756480 	 1.07123281 
4.50000000 	 -1.10895726 	 1.08164876 
4.55000000 	 -1.11937321 	 1.09108823 
4.60000000 	 -1.12913817 	 1.10215518 
4.65000000 	 -1.13987963 	 1.11289664 
4.70000000 	 -1.14997009 	 1.12363809 
4.75000000 	 -1.16168804 	 1.13340305 
4.80000000 	 -1.17145300 	 1.14381901 
4.85000000 	 -1.18284545 	 1.15390947 
